year,longs_ADJ essais_NOUN
1800,1.2576657937302116e-08
1801,2.6193008650921e-08
1802,1.7902721083373763e-08
1803,7.801356893821776e-09
1804,2.4718509461507665e-09
1805,1.1371510844071508e-08
1806,5.4751712497136396e-08
1807,2.8469550272802735e-08
1808,4.5321479902327155e-09
1809,6.7770917766551975e-09
1810,4.680253518074551e-09
1811,6.769107585569145e-08
1812,1.3336041604361526e-08
1813,2.8757416004054903e-08
1814,4.405347908686963e-08
1815,2.697223555614414e-09
1816,2.3176038865813098e-09
1817,1.0898113522728181e-08
1818,2.384235386898581e-08
1819,1.6561680027393777e-08
1820,1.4239777357261119e-08
1821,6.903041693817613e-09
1822,1.0025615893027862e-09
1823,3.5577674140085946e-08
1824,2.863178316658832e-08
1825,2.0252519661312363e-08
1826,7.927186018719112e-09
1827,3.133872894522938e-08
1828,1.834460228167245e-08
1829,3.1720752247110795e-08
1830,7.305785310052215e-09
1831,2.182768810143898e-08
1832,1.488296597074168e-08
1833,4.40177885252524e-08
1834,1.5868701908061666e-08
1835,3.6302822081779595e-08
1836,3.024337402735e-08
1837,2.7135774516295896e-08
1838,2.1461350030449466e-08
1839,3.2859933440931854e-08
1840,2.8026629905752998e-08
1841,3.0818632978935057e-08
1842,6.037438549100216e-09
1843,1.594865928211675e-08
1844,8.781698035420504e-09
1845,2.7343116215661212e-08
1846,2.9272506196775794e-08
1847,1.6179670936367074e-08
1848,1.045878850192139e-08
1849,1.005529792763582e-08
1850,2.987158254086353e-08
1851,2.3862924081186065e-08
1852,2.9948509450150596e-08
1853,5.6136158832487126e-08
1854,4.000661490977109e-08
1855,3.237231638308913e-08
1856,1.863788057221427e-08
1857,4.002837528105374e-08
1858,3.1808895073481835e-08
1859,3.819129901216911e-08
1860,1.7393299245327398e-08
1861,2.971057178058345e-08
1862,1.671654992208005e-08
1863,3.1965573299430616e-08
1864,2.205574922697906e-08
1865,3.153585836912498e-08
1866,4.2330832172865485e-08
1867,3.88224918879132e-08
1868,2.5193358510477992e-08
1869,2.24641887314192e-08
1870,2.5803219116937726e-08
1871,5.3105885911008954e-08
1872,2.6003558417642125e-08
1873,2.334541804316359e-08
1874,1.5533982988813477e-08
1875,1.8881038954532414e-08
1876,3.4462285469771814e-08
1877,2.288381928394756e-08
1878,2.2344627481629686e-08
1879,2.932476128592043e-08
1880,2.1178893305773272e-08
1881,3.2073533162702006e-08
1882,2.0631693686823382e-08
1883,2.401348808689363e-08
1884,2.706695667598069e-08
1885,3.8029249083137984e-08
1886,3.291266637006629e-08
1887,2.8727267675776602e-08
1888,2.028996703984376e-08
1889,1.2530273707511697e-08
1890,3.736000309118026e-08
1891,4.971891698346553e-08
1892,3.8864776286118285e-08
1893,2.9560400349737392e-08
1894,2.835692747282792e-08
1895,1.745398137131815e-08
1896,3.538217541176891e-08
1897,3.204692333724779e-08
1898,2.2067583316243145e-08
1899,2.04520400615138e-08
1900,2.180242297811219e-08
1901,4.526878427668635e-08
1902,3.928226988136885e-08
1903,2.6461078661554893e-08
1904,3.0097901060344157e-08
1905,3.4577084306874895e-08
1906,4.1153477070565714e-08
1907,2.7257069490360664e-08
1908,5.058730678797474e-08
1909,5.115914802900079e-08
1910,3.473697773870299e-08
1911,4.4691141454222816e-08
1912,3.64659484830554e-08
1913,4.8787505591008085e-08
1914,4.955590426902745e-08
1915,1.8849219074468238e-08
1916,3.735737053034427e-08
1917,4.605898240583883e-08
1918,5.6283244731503146e-08
1919,5.985101125816072e-08
1920,3.256059599721084e-08
1921,5.14946840723951e-08
1922,3.9103056792555435e-08
1923,4.352538596208433e-08
1924,4.898817351772777e-08
1925,4.3992713472107425e-08
1926,3.343841470382358e-08
1927,3.5677519605314956e-08
1928,5.141718517620575e-08
1929,3.230717737778832e-08
1930,2.520864939015155e-08
1931,4.219981875053236e-08
1932,5.698959171240858e-08
1933,4.244144946596862e-08
1934,5.751158482780738e-08
1935,3.590485420090772e-08
1936,4.9711328387047615e-08
1937,3.399602022113868e-08
1938,3.5006078036303734e-08
1939,2.4470480752825097e-08
1940,3.550096039361961e-08
1941,2.6563522936839945e-08
1942,3.944475324146879e-08
1943,4.3548528338988035e-08
1944,1.927911696952833e-08
1945,1.5249527862692958e-08
1946,2.0881657292193267e-08
1947,1.907339353124371e-08
1948,1.6307831529616124e-08
1949,3.043272656100271e-08
1950,2.1270722072586068e-08
1951,2.7719645245838365e-08
1952,4.007025466989944e-08
1953,4.201792691560513e-08
1954,2.8340354063516315e-08
1955,3.0972504561077585e-08
1956,2.1802854632824165e-08
1957,2.9155623693100097e-08
1958,2.8125628048769613e-08
1959,1.9376869886400527e-08
1960,2.7683332959327345e-08
1961,2.987708569435199e-08
1962,2.663621678777872e-08
1963,1.7458344103715717e-08
1964,4.4412967525886415e-08
1965,1.641613067704384e-08
1966,2.3818021332999706e-08
1967,1.824224149515885e-08
1968,1.1677681044375277e-08
1969,2.2708789515490935e-08
1970,2.1614008360870685e-08
1971,3.339958354331429e-08
1972,2.4624704053621826e-08
1973,8.821126051827832e-09
1974,1.2376257352286757e-08
1975,7.4249242310031605e-09
1976,1.656922776760439e-08
1977,1.1753563455840776e-08
1978,1.6633656230169436e-08
1979,1.521513048885481e-08
1980,1.3075846183596695e-08
1981,7.590659656386833e-09
1982,5.586751949948621e-09
1983,9.47297440490047e-09
1984,7.538710988796993e-09
1985,9.624892882698077e-09
1986,6.593933843390687e-09
1987,1.1610551631235921e-08
1988,1.3192418713003917e-08
1989,6.036934507847036e-09
1990,1.198703181159999e-08
1991,1.2309077312977479e-08
1992,6.060938417817852e-09
1993,7.754890063438324e-09
1994,8.967375286772494e-09
1995,1.2471637056421514e-08
1996,1.0676184380997711e-08
1997,1.1507746755512471e-08
1998,1.0013071261028017e-08
1999,1.0054442611817649e-08
2000,8.394259509714175e-09
2001,6.133696661692056e-09
2002,5.257465574004527e-09
2003,5.000307723435071e-09
2004,3.523833003171717e-09
2005,1.170974872621855e-08
2006,8.235780057930242e-09
2007,5.991719120856942e-09
2008,7.2376473703172906e-09
2009,5.721831008997924e-09
2010,7.558068837454357e-09
2011,9.177532511728259e-09
2012,9.872333173177594e-09
2013,4.741512515948898e-09
2014,1.017759210242275e-08
2015,9.087958829923082e-09
2016,7.45682449121432e-09
2017,8.804639684001359e-09
2018,9.551427204712581e-09
2019,8.16316081397872e-09
