year,petits_ADJ yeux_NOUN,petits_ADJ dieux_NOUN
1800,1.2733866014968953e-06,6.288328968651058e-09
1801,2.295460035384167e-06,7.143547975374531e-09
1802,1.8484558950149221e-06,5.147032311469957e-08
1803,3.093238092333195e-06,5.460949736857401e-08
1804,1.4633357068305486e-06,1.9774807569206132e-08
1805,3.9231713344634045e-07,3.4114532532214525e-08
1806,2.9681191904273874e-07,1.4408345627714425e-08
1807,5.978605486234301e-07,1.9928686256776018e-08
1808,7.478043926312239e-07,4.5321479902327155e-09
1809,3.7048101830805535e-07,4.5180611252249037e-08
1810,7.160787731663731e-07,9.360507036149102e-09
1811,8.248282483691582e-07,5.0141535368197765e-09
1812,5.841185952704109e-07,2.6672082320544632e-09
1813,2.7894694198948855e-07,2.8757416448144113e-09
1814,2.800542517888971e-07,3.1466771410748606e-09
1815,1.9420009778059466e-07,1.3486118000116676e-08
1816,2.0371737718960503e-06,1.5296185829072328e-07
1817,1.9912411062250612e-06,1.8682480895648723e-08
1818,7.176548706411268e-07,1.192117760062672e-08
1819,6.1692259123447e-07,3.415846538956657e-08
1820,4.995788458472816e-07,1.4239777357261119e-08
1821,2.7316323780723906e-07,1.2819934447350079e-08
1822,4.962680009157339e-07,2.105379337535851e-08
1823,3.577532652343507e-07,5.929612356680991e-09
1824,3.1831805813453684e-07,4.29476756380609e-08
1825,8.585307114117313e-07,1.584979791857677e-08
1826,3.549617701992247e-07,1.9377565996236967e-08
1827,3.806733843703114e-07,4.6086365279585095e-09
1828,4.815458396478789e-07,1.46756822805294e-08
1829,6.035515980329365e-07,4.286587973467704e-09
1830,5.47933893813024e-07,2.7135772739939057e-08
1831,5.301010332914302e-07,1.09138444948087e-08
1832,5.736707180403755e-07,2.976593194148336e-08
1833,4.96937673233333e-07,1.6217079790159517e-08
1834,5.302013619257195e-07,2.6136687480970977e-08
1835,1.1541271760506788e-06,1.2100940693926532e-08
1836,5.020400521971169e-07,3.427582573323207e-08
1837,5.100134217173036e-07,6.2621018370734305e-09
1838,5.52314190827019e-07,5.680945491803868e-09
1839,6.110549293225631e-07,1.6080392573059044e-08
1840,3.961946219988022e-07,1.9109066329292546e-08
1841,3.0048167332097364e-07,3.659712799475301e-08
1842,3.957876515414682e-07,9.391571076378114e-09
1843,5.009060828342626e-07,5.31621990873532e-09
1844,4.154840951287042e-07,2.5796237590469673e-08
1845,4.6985519475128967e-07,2.1762888213761045e-08
1846,4.3674580751940084e-07,3.571245699163228e-08
1847,2.3676251714732643e-07,1.1325769655456952e-08
1848,2.7514658995642094e-07,5.63165514222419e-09
1849,3.418801384214021e-07,6.703531951757213e-09
1850,3.6117458535045444e-07,4.073397619208663e-09
1851,2.470135029852827e-07,1.7413483988093503e-08
1852,4.2123230059587513e-07,1.0416872697760482e-08
1853,5.01642261951929e-07,1.9110181659343084e-08
1854,3.434334132634831e-07,2.0263091649042053e-08
1855,5.6518882729506e-07,3.02495415382964e-08
1856,3.960549861403706e-07,9.3189408967298e-09
1857,4.583737052143988e-07,4.5886185517929334e-08
1858,4.741972077226819e-07,3.474510013035115e-08
1859,4.6186011104509817e-07,2.036869295451993e-08
1860,5.37819119017513e-07,2.1055045706930287e-08
