year,six_DET ans_NOUN,six_DET dents_NOUN
1800,6.759953720347767e-06,4.496155243671751e-07
1801,7.886476510066132e-06,2.547865396440585e-07
1802,7.107380127990837e-06,7.00443933965289e-07
1803,7.389835104731901e-06,1.1214450736929393e-06
1804,7.1930861622604425e-06,2.768473166270269e-07
1805,7.68145565643863e-06,4.6907481987545907e-07
1806,6.962112436781354e-06,1.9307182519412436e-07
1807,6.9693459607833574e-06,1.6512339584551228e-07
1808,8.413932434336857e-06,2.764610353978014e-07
1809,9.476632953919761e-06,2.3493917122863195e-07
1810,7.1186657208954784e-06,1.497681161310993e-07
1811,9.504328119191996e-06,2.1059445387550113e-07
1812,7.758908907362638e-06,1.920389998133487e-07
1813,8.233248465217002e-06,1.1502966579257645e-08
1814,8.341840668890654e-06,6.608021863030444e-08
1815,8.078184919213527e-06,1.5643897199879575e-07
1816,7.103455928358926e-06,7.648092559264796e-07
1817,7.508800294431239e-06,9.014297006615379e-07
1818,9.274676045833985e-06,3.5882744242599074e-07
1819,8.741461670069839e-06,3.229527525405729e-07
1820,9.78510053073478e-06,1.38837833674188e-07
1821,9.401943003695123e-06,9.762873531826699e-08
1822,8.174887526024577e-06,1.513867999847207e-07
1823,8.049448595670583e-06,2.0951296164639643e-07
1824,8.182794758226919e-06,1.532642528445649e-07
1825,8.92431688725992e-06,1.8403376600417687e-07
1826,8.252200728975367e-06,2.2372280783500287e-07
1827,8.277110993049064e-06,1.8618891317601083e-07
1828,8.341290694602321e-06,2.870930302378838e-07
1829,8.215674355938063e-06,1.9203913703691455e-07
1830,7.826583114933783e-06,2.2334828186920674e-07
1831,8.09495422515738e-06,1.4187997066095193e-07
1832,8.316872239788609e-06,1.352996914505411e-07
1833,8.112014782568622e-06,1.1931137589016316e-07
1834,8.397344146260366e-06,1.69888461520884e-07
1835,7.983595736504867e-06,1.187404805591541e-07
1836,9.062259721304144e-06,1.6264214641736885e-07
1837,9.680513755938591e-06,2.2404409261156388e-07
1838,8.56118555248031e-06,8.963269793049733e-08
1839,8.098225379171708e-06,1.0417297791054381e-07
1840,8.282506257728528e-06,7.579929217627068e-08
1841,8.23692136009413e-06,1.6115576473296755e-07
1842,8.677811962343185e-06,9.928232458378261e-08
1843,9.178749195370983e-06,7.501777166130097e-08
1844,8.18783567524406e-06,1.416048793778657e-07
1845,8.483620376864565e-06,6.13825040796101e-08
1846,8.659393159859974e-06,9.542836920672926e-08
1847,8.745651399522103e-06,6.310071398729633e-08
1848,9.116845689050024e-06,8.688839248094382e-08
1849,7.959606250551587e-06,1.5250535856381475e-07
1850,8.359969399407419e-06,5.634866706571984e-08
1851,7.934099699014041e-06,5.675506131730401e-08
1852,8.295086217913195e-06,9.179868953879122e-08
1853,8.6885632697431e-06,1.4392355929260248e-07
1854,8.29332003604577e-06,5.299577843231873e-08
1855,8.936351576949164e-06,7.482781327894372e-08
1856,8.318707813259607e-06,1.2787656744617237e-07
1857,8.520673929979239e-06,4.832694178169561e-08
1858,8.792957231662513e-06,6.557525611405879e-08
1859,8.425509747667093e-06,6.212451397757945e-08
1860,8.256781939053326e-06,1.4006183368664438e-07
1861,8.391113908601255e-06,1.792066159911343e-07
1862,8.504657046159991e-06,6.867339408245243e-08
1863,9.00729875752404e-06,5.993545126870004e-08
1864,8.913879014471604e-06,1.0500454550310678e-07
1865,8.438900920282322e-06,8.66059388648921e-08
1866,8.401940647217998e-06,4.719644453032856e-08
1867,9.219371634117124e-06,1.1064410010419579e-07
1868,8.474848101513999e-06,5.285665238830006e-08
1869,8.290750784567535e-06,6.05556376154226e-08
1870,9.004749870200612e-06,9.575861215083137e-08
1871,7.561216136764415e-06,1.678146048789131e-07
1872,8.254617711145329e-06,9.071009121619511e-08
1873,8.536042628293217e-06,9.15858695549332e-08
1874,8.848395907534723e-06,6.870800772773578e-08
1875,9.37243396492704e-06,6.179249356641492e-08
1876,1.0109541591418747e-05,7.0133774343617e-08
1877,8.723682753952744e-06,7.359931242234552e-08
1878,9.005488635693837e-06,7.488469844219026e-08
1879,9.308778459171663e-06,9.530547595559824e-08
