year,toutes_DET âmes_NOUN,toutes_DET ames_NOUN,toutes_DET dames_NOUN
1800,0.0,6.288328968651058e-09,0.0
1801,0.0,0.0,0.0
1802,0.0,0.0,0.0
1803,0.0,0.0,9.751696339321825e-09
1804,0.0,0.0,0.0
1805,0.0,2.842877755426798e-08,0.0
1806,1.729001475325731e-08,2.881669125542885e-09,0.0
1807,2.8469551160981155e-09,0.0,0.0
1808,2.2660739951163578e-09,0.0,3.852325836106729e-08
1809,0.0,0.0,0.0
1810,2.3401267590372754e-09,0.0,2.3401267590372754e-09
1811,0.0,0.0,5.0141535368197765e-09
1812,5.3344164641089264e-09,5.3344164641089264e-09,2.6672083208723052e-08
1813,2.8757416448144113e-09,0.0,2.8757416448144113e-09
1814,0.0,9.440031423224582e-09,5.349351184236184e-08
1815,0.0,2.1577788000826104e-08,0.0
1816,0.0,0.0,4.6352077731626196e-09
1817,0.0,4.670620334934483e-09,1.556873407970727e-09
1818,3.5763532135746345e-09,1.7881765401739358e-08,0.0
1819,3.1053151161586356e-09,9.315945348475907e-09,5.3825459644940565e-08
1820,3.5599443393152796e-09,7.119888678630559e-09,3.678609061807947e-08
1821,5.9168927535324656e-09,0.0,0.0
1822,0.0,6.015369535816717e-09,1.5038423839541792e-08
1823,0.0,2.174191138237802e-08,4.941343334508019e-09
1824,4.210556348027694e-09,2.189489300974401e-08,1.2126402548773285e-07
1825,2.641632912414593e-09,4.4027217427355936e-09,9.862095851076447e-08
1826,8.807984341885344e-10,0.0,7.927185663447744e-08
1827,3.6869092223668076e-09,9.217273055917019e-10,2.673009252829317e-08
1828,9.172301251858528e-10,8.255071293206129e-09,3.485474309172787e-08
1829,1.714635211591542e-09,3.429270478694235e-09,2.4862210956655417e-08
1830,1.0436835840010872e-09,9.39315203396518e-09,6.262101504006523e-09
1831,3.1182412207897414e-09,7.795603274018958e-09,6.236482441579483e-09
1832,0.0,5.411987746839486e-09,1.3529969367098715e-09
1833,1.1583628500844156e-09,0.0,1.9692168451435066e-08
1834,4.667265685043276e-09,0.0,2.9870498963191494e-08
1835,2.2689263801112247e-09,5.294161553592858e-09,7.033671778344797e-08
1836,3.36037508930076e-09,6.048674894287842e-09,3.696412420595152e-08
1837,2.1569462660409044e-08,1.0436836284100082e-08,4.035576572913868e-08
1838,1.2624323808552163e-09,1.2624323808552163e-09,5.996553653631054e-08
1839,6.29232765891885e-09,6.9914751765765e-10,5.593180252283503e-09
1840,2.547875410652267e-09,2.5478754661634184e-09,4.012903848105154e-08
1841,0.0,6.420548537278137e-10,3.017657945747487e-08
1842,2.0124795163667386e-09,1.341653010911159e-08,4.494537630961304e-08
1843,4.7255288571079745e-09,0.0,3.1306629344474146e-08
1844,5.708103856250091e-08,1.3721403568922597e-08,7.1351298203126134e-09
1845,4.464182357111213e-09,7.812318791877715e-09,1.7298706467272496e-08
1846,5.854501328173001e-09,5.854501328173001e-10,5.269050973311096e-09
