year,quelques_DET ans_NOUN,quelques_DET dents_NOUN
1800,3.458580977167003e-08,2.9555144998028027e-07
1801,2.857419123536431e-08,1.8811342994418112e-07
1802,6.713520406265161e-09,2.752543366568716e-07
1803,3.900678446910888e-09,4.7003175041027134e-07
1804,4.2021465418429216e-08,3.0403767037334717e-07
1805,1.9900143755080535e-08,7.76105594013643e-07
1806,2.5935023018064385e-08,2.3341519295172475e-07
1807,3.131650672116848e-08,6.263301344233696e-08
1808,6.798221985349073e-09,2.1301095731729447e-07
1809,5.421673243688474e-08,1.5135503872443223e-07
1810,3.978215445954447e-08,1.0296557917399696e-07
1811,1.504245972228091e-08,9.025476321866677e-08
1812,2.1337665856435706e-08,1.8670458246106136e-07
1813,1.1502966579257645e-08,1.2365688917270745e-07
1814,1.2586708564299443e-08,2.454408121188578e-07
1815,2.966945888971395e-08,4.7471135644627793e-07
1816,2.5493642752394408e-08,3.221469455638726e-07
1817,1.5568734412774177e-08,2.7089598120255687e-07
1818,1.907388358368678e-08,2.6941862074636447e-07
1819,1.9666995143552413e-08,2.960400182772105e-07
1820,1.7799721696576398e-08,1.8393045309039735e-07
1821,7.297501347647284e-08,2.0906355047145553e-07
1822,6.115625694746996e-08,2.386096582540631e-07
1823,2.371844876059015e-08,2.895627364551956e-07
1824,1.0021123841852386e-07,1.793697066432287e-07
1825,2.2894151241459326e-08,2.298220636021142e-07
1826,2.201995996653494e-08,1.497357402513444e-07
1827,2.1199728195142598e-08,4.4335082360902334e-07
1828,1.742737265608696e-08,2.5040381945728996e-07
1829,1.2859763920403111e-08,1.8603792417692944e-07
1830,2.817945699007396e-08,1.3776622731498378e-07
1831,9.510635434750725e-08,3.632750953386221e-07
1832,1.488296597074168e-08,1.71830612183399e-07
1833,9.26690302271993e-09,3.7878463921003913e-07
1834,1.866906118586087e-08,1.708219179441528e-07
1835,3.025235173481633e-08,2.2538002042438166e-07
1836,3.22596004909137e-08,2.735345274729184e-07
1837,5.427154992077021e-08,2.9988509275824526e-07
1838,3.1560809521380406e-08,1.470733685948744e-07
1839,1.1186360504567006e-08,1.684945489799361e-07
1840,4.458782187910515e-08,1.191131797639855e-07
1841,2.6966304744746594e-08,1.7977535504698494e-07
1842,3.287049921141261e-08,9.928232458378261e-08
1843,4.193906921745594e-08,1.6598420504720934e-07
1844,2.3600813969792966e-08,1.3227433282025913e-07
1845,1.729870580113868e-08,1.5847847212313582e-07
1846,1.5807153586067102e-08,2.072493501259487e-07
1847,1.833696128272777e-08,1.4130246128729596e-07
1848,2.413566457803995e-08,1.3596424652817518e-07
1849,3.2679717376637996e-08,2.463548076647726e-07
1850,2.7834883731259197e-08,1.2016523331936924e-07
1851,2.063820425668439e-08,1.3414832111813269e-07
1852,2.018269107395554e-08,1.4974254014532562e-07
1853,2.6276500530997282e-08,3.421916900947508e-07
1854,3.013485427860729e-08,1.5535036990144135e-07
1855,4.139410947345823e-08,1.7831307985716194e-07
1856,2.381507024917795e-08,1.5531567276738656e-07
1857,3.465871334373816e-08,1.3131259679610707e-07
1858,2.88726889063895e-08,1.1891632789584605e-07
1859,1.680417205385254e-08,1.262859008477335e-07
1860,3.7532908503390416e-08,1.5745513337606099e-07
1861,2.4994607272788016e-08,1.2921740683013994e-07
1862,2.5752522003763545e-08,1.0662447680331866e-07
1863,2.0977407033662132e-08,1.4284616067783418e-07
1864,1.7740493518658695e-08,2.4501059137094217e-07
1865,1.3179164426446732e-08,1.8403761625762627e-07
1866,2.5787747603978062e-08,1.0753004708874414e-07
1867,3.445495977416613e-08,1.4509905810200507e-07
1868,2.519335706718806e-08,1.3979843593858732e-07
1869,2.7347706321734222e-08,1.592027203400903e-07
1870,2.6376624884250077e-08,1.7431507970400162e-07
1871,2.2304472935275044e-08,1.879948381411367e-07
1872,1.9956219454719815e-08,2.2858942561043705e-07
1873,2.454261771589472e-08,2.1729196664210804e-07
1874,1.1351757034372412e-08,1.9118749960966852e-07
1875,2.6891177895560503e-08,1.7279011910176223e-07
1876,2.176565305767042e-08,1.3301232115736639e-07
1877,2.906863472151855e-08,1.69463960197902e-07
1878,1.8721174777081018e-08,1.4010685756016272e-07
1879,5.8649524126153096e-08,1.8694534720253841e-07
1880,2.9522092326317306e-08,1.7713255395790384e-07
1881,2.5798277791810875e-08,2.3288175388103127e-07
1882,4.725323421439498e-08,1.6705017102935926e-07
1883,4.297150424381613e-08,1.320741853660934e-07
