year,soyez_VERB en_ADP,soyez_VERB dans_ADP
1800,2.0122652699683385e-07,9.746909768182377e-08
1801,6.572063853127474e-07,2.0001933354052426e-07
1802,2.2825969381301547e-07,7.161088433349505e-08
1803,2.7304750460643845e-07,1.1897069462918353e-07
1804,3.9549615848955e-07,2.6943175868154867e-07
1805,3.3261667908845993e-07,1.9047280197526106e-07
1806,6.743105700479646e-07,1.930718314113733e-07
1807,1.7366426163789583e-07,1.736642651906095e-07
1808,2.22075257738652e-07,1.0877155354194201e-07
1809,1.2650571079575457e-07,9.487928309681593e-08
1810,3.603795164508483e-07,2.223120389999167e-07
1811,2.6575014544505393e-07,1.0028307251275237e-07
1812,2.1337666566978442e-07,8.801786854917282e-08
1813,1.6104152678053651e-07,1.3803560250380542e-07
1814,1.4160046646338742e-07,1.4789382873914292e-07
1815,1.6183341244868643e-07,1.0788894577729025e-07
1816,2.0858435334503156e-07,2.757948678322464e-07
1817,2.1796228111270466e-07,1.3544798527220792e-07
1818,4.172412104708201e-07,1.680886043686769e-07
1819,3.5090059213871427e-07,1.5837106204230622e-07
1820,4.0227371300716186e-07,1.7799721874212082e-07
1821,3.7375039596554416e-07,2.2188349291241138e-07
1822,3.1480433904107485e-07,2.6467625957593555e-07
1823,4.081549604961765e-07,2.0061854755226705e-07
1824,2.913704975071596e-07,1.3642202745245413e-07
1825,3.0554886620848265e-07,1.461703487137811e-07
1826,2.589547420939198e-07,1.9553725660870214e-07
1827,3.336652980578947e-07,1.9724964062106665e-07
1828,3.824849557076959e-07,1.9812170393151973e-07
1829,2.297611132462407e-07,1.628903412154159e-07
1830,1.9203777412712952e-07,1.388099217791705e-07
1831,2.1204040479005926e-07,1.7306238397907237e-07
1832,2.0700852587651752e-07,1.691246147572656e-07
1833,2.108220371610514e-07,9.035230519316428e-08
1834,2.00692412022363e-07,1.5588667423571678e-07
1835,3.1991862670111004e-07,2.3672465232493778e-07
1836,3.635925907019555e-07,1.7742780045182371e-07
1837,3.103219228250964e-07,1.607272839265761e-07
1838,2.789975610539841e-07,1.5275431586303512e-07
1839,2.9713768867623003e-07,9.57832071435405e-08
1840,2.0828882441037422e-07,1.6433796989900884e-07
1841,2.7544152203518024e-07,1.5666138963865706e-07
1842,2.36130929920364e-07,1.7709819033484564e-07
1843,2.6462961955076025e-07,1.7248179773332595e-07
1844,2.3820355465886678e-07,1.520331505133754e-07
1845,3.119347411484341e-07,2.0088820029684484e-07
1846,2.4881632043616264e-07,1.4811888071619705e-07
1847,1.7851570532911865e-07,9.86959900473039e-08
1848,2.2607072480695933e-07,1.4079138743738895e-07
1849,2.32109798048441e-07,9.301150338814068e-08
1850,2.545873485360062e-07,1.3034872381467721e-07
1851,2.5088317556765105e-07,1.109303493507241e-07
1852,2.884171692585369e-07,1.2174720076529866e-07
1853,2.2932218257665227e-07,2.0662883670752308e-07
1854,3.190137931596837e-07,1.9535698925210454e-07
1855,2.8710530841635773e-07,1.7725169954019293e-07
1856,2.485050742961903e-07,2.956175055857102e-07
1857,2.650659496339358e-07,1.3912300822482848e-07
1858,2.911737340127729e-07,1.7519359651885225e-07
1859,2.749773670984723e-07,1.481822451410153e-07
1860,2.572377297838102e-07,1.2816115280145368e-07
1861,2.971057142531208e-07,1.551552033518533e-07
1862,4.671597935157479e-07,1.9743600265798023e-07
1863,3.401336812203226e-07,1.3934991560660137e-07
1864,2.8432737053663004e-07,1.380881702317538e-07
1865,3.2618430623188033e-07,1.727411875762641e-07
1866,2.5009251203300664e-07,1.5959209687110842e-07
1867,2.906834026816796e-07,1.3248175001479012e-07
1868,2.3513800329055812e-07,9.879748485985829e-08
1869,2.515012340609246e-07,1.352734830817326e-07
1870,2.328023782638411e-07,1.5711294132358944e-07
1871,2.8783389893760614e-07,1.0833600505577579e-07
1872,2.6729239266387594e-07,1.6872077246432582e-07
1873,2.909198144607217e-07,9.936767320084527e-08
1874,2.037341744198784e-07,7.169530924500123e-08
1875,2.345826146665786e-07,8.639505999497032e-08
1876,2.3095776668924373e-07,9.371322562401474e-08
1877,2.2512730879498122e-07,9.710161075204837e-08
1878,2.0532901601200138e-07,7.307297078540387e-08
1879,2.510932688437606e-07,1.124115871498077e-07
1880,2.37460312746407e-07,1.0589446297615268e-07
1881,2.3009275196272938e-07,1.1922987663837148e-07
1882,2.15634472056081e-07,6.655385220710741e-08
1883,2.5024581873367424e-07,5.624211762977893e-08
1884,2.099339582173343e-07,6.073561031882946e-08
1885,2.1721791654272238e-07,5.865528374116025e-08
1886,1.755342111664504e-07,7.292414183623919e-08
1887,2.3438839491518593e-07,7.769420551362316e-08
1888,1.7183066347570275e-07,6.150396103521416e-08
1889,1.5349584714385855e-07,5.76392569229256e-08
1890,1.7434668109217455e-07,7.013193581428823e-08
1891,1.5808065256806003e-07,3.76078996833229e-08
1892,1.5107114847978664e-07,5.014810078307619e-08
1893,1.250158589982675e-07,4.803564879196642e-08
1894,1.4304494300176884e-07,5.5453545755312916e-08
1895,1.3120579467340576e-07,4.694519151193788e-08
1896,1.2501701007749944e-07,5.543207159952601e-08
1897,1.637306468182942e-07,7.166857685092509e-08
1898,1.5956560162067035e-07,4.130599062790452e-08
1899,1.475863484756701e-07,4.753717597338891e-08
1900,1.3548648780670192e-07,6.852190148620707e-08
1901,1.005972976031444e-07,5.253414503414433e-08
1902,1.1637372665518342e-07,5.352209431208621e-08
1903,1.3338544135876873e-07,6.37226005295588e-08
1904,1.580139752377363e-07,3.6009988768626044e-08
1905,1.3727618863867974e-07,5.470404662588635e-08
1906,1.208883304570918e-07,4.989858926052193e-08
1907,1.2497109480591462e-07,5.657127633007519e-08
1908,1.3064294535070076e-07,6.777716921035903e-08
1909,1.6943029379490326e-07,7.536347190750803e-08
1910,1.1383040998680372e-07,6.306097777297737e-08
1911,1.0481137024953568e-07,7.501727350422982e-08
1912,1.3440306645406963e-07,5.0010442009806866e-08
1913,1.320444482644234e-07,6.522677664655419e-08
1914,1.2857748288297444e-07,3.549274052438989e-08
1915,1.425472220262236e-07,3.534228643076176e-08
1916,1.4723198660249182e-07,4.9443579008823235e-08
