year,belles_ADJ âmes_NOUN,belles_ADJ ames_NOUN,belles_ADJ dames_NOUN
1800,8.803660733747165e-08,1.8550569791386806e-07,3.11272285280495e-07
1801,5.476719877606229e-08,5.595779271061474e-07,3.0241019022270166e-07
1802,6.489736392722989e-08,2.64065135979763e-07,3.401517005841015e-07
1803,5.070882025393075e-08,2.340407121437238e-07,2.6914680795186996e-07
1804,5.438072037122765e-08,3.58418390078441e-07,3.238124772764195e-07
1805,3.695740957709859e-08,3.553597025529598e-07,4.406460387684774e-07
1806,1.9595350408962986e-07,2.996935961618874e-07,1.9595349343148882e-07
1807,8.54086508184082e-08,2.306033621835013e-07,3.3024680590187927e-07
1808,1.0197332755979005e-07,2.719288829666766e-07,2.673967252064813e-07
1809,7.680704072754452e-08,1.8975856619363185e-07,2.575294866247191e-07
1810,1.0530570193623134e-07,4.329234570832341e-07,4.844062511111247e-07
1811,2.1811567307850055e-07,6.267691787797958e-08,3.2591999143960493e-07
1812,1.7870294755084615e-07,6.934741492159446e-08,7.44151068765575e-07
1813,1.5241430162404868e-07,2.415623043816595e-07,4.1123105143370253e-07
1814,2.7061423679697327e-07,2.580275122454623e-07,2.6746754766548975e-07
1815,1.726223075593225e-07,9.170560133497929e-08,2.2386955400577335e-07
1816,1.1356259221884102e-07,1.2515060632267705e-07,2.387132056469454e-07
1817,2.646684720275516e-07,1.9616605584360514e-07,3.6430838046275227e-07
1818,1.5378319062619994e-07,1.9073883095188648e-07,3.6240379097662867e-07
1819,2.3393373282942775e-07,7.556266723440785e-08,4.0265585765641987e-07
1820,3.275148685588647e-07,1.5663755448258598e-07,4.699126483487248e-07
1821,4.033348659504554e-07,1.715899031751178e-07,6.646643324614843e-07
1822,1.7244059336007922e-07,1.3434325296657335e-07,6.98785427744042e-07
1823,1.1365089847004128e-07,1.7294702558956487e-07,4.842516561076593e-07
1824,1.212640228231976e-07,1.8610658969464566e-07,5.406354137704739e-07
1825,2.764909083907696e-07,1.47050897680856e-07,6.630498603499291e-07
1826,1.35642963527971e-07,1.699940952448742e-07,4.817967658166111e-07
1827,8.664236617050847e-08,1.115290046982409e-07,4.101686386093206e-07
1828,1.008953134373769e-07,1.2199160437376122e-07,5.108971992129341e-07
1829,9.944884027390799e-08,2.297611132462407e-07,5.109612750686665e-07
1830,1.1584887715798686e-07,1.2419835115906608e-07,4.404344604580501e-07
1831,7.483778574624012e-08,1.4343909526814969e-07,4.4746761318492645e-07
1832,1.3800568865462992e-07,3.6395618963069865e-07,6.710864681735984e-07
1833,1.158362863407092e-07,1.7027933552071772e-07,6.973344360838851e-07
1834,1.1948199585276598e-07,1.7268882857024437e-07,4.4619056560613046e-07
1835,1.376482003934143e-07,1.0815215745196838e-07,7.26812743323535e-07
1836,1.209734961094e-07,9.476257645246733e-08,6.102441036937023e-07
1837,1.704683256775752e-07,1.0019363116953173e-07,6.060323273215928e-07
1838,1.0415067208668916e-07,8.205810786421353e-08,5.725131018152751e-07
1839,1.307405881334489e-07,9.508406151326199e-08,6.488089185907597e-07
1840,1.6242705669355928e-07,2.8663599493938818e-08,5.681762358378251e-07
1841,1.6115576784159202e-07,1.9903700021473014e-08,6.645267713878411e-07
1842,1.7575653998846974e-07,4.360372329870188e-08,6.433226200641684e-07
1843,2.8235035642865114e-07,5.1390127708828004e-08,5.717889735024073e-07
1844,1.8112251609636587e-07,5.708103856250091e-08,6.08132609158929e-07
1845,1.847055415282739e-07,2.3436957263811564e-08,4.6427496158685244e-07
1846,2.054929950645601e-07,1.4636253098387897e-08,5.263196953819715e-07
1847,1.3051601399638457e-07,9.707802561820245e-09,3.586493653173761e-07
1848,1.3998685233218566e-07,2.252662056889676e-08,6.96716184300783e-07
1849,8.044238342108656e-08,1.8434713311421547e-08,3.854530759017649e-07
1850,1.7040379418631346e-07,1.5614691761811628e-08,3.944406614664331e-07
1851,1.4188765362632694e-07,9.674158363282004e-09,4.3469216226554863e-07
1852,2.141969446256553e-07,5.208436348880241e-09,4.6615505766567367e-07
1853,2.669453635917307e-07,1.0749477752369785e-08,5.733054768697343e-07
1854,1.9327872280427982e-07,3.3252252507054436e-08,5.325556241553286e-07
1855,3.4176673580077477e-07,2.3350523292720027e-08,7.190899715681098e-07
1856,2.334912352353058e-07,1.7602443946884705e-08,5.249669947637869e-07
1857,2.2357311024734372e-07,4.8326938895115745e-08,7.600509779326359e-07
1858,2.6279039389009995e-07,1.7127865348243176e-08,8.084352551840368e-07
1859,3.040027536371781e-07,2.189634606963864e-08,8.071095005668383e-07
1860,3.565626229828922e-07,8.696649622663699e-09,6.714728861823005e-07
1861,3.305890459159855e-07,8.017138064531082e-09,6.984342180160752e-07
1862,2.7559715931602113e-07,1.671654992208005e-08,6.853785238236654e-07
1863,2.816966286900424e-07,7.491931519609807e-09,6.008528725676143e-07
1864,4.531017907538626e-07,9.109982990196386e-09,5.485168657060058e-07
1865,3.544253672771447e-07,8.001635798393636e-09,5.822366500041198e-07
1866,2.9582926686089195e-07,1.1190909532388105e-08,6.237716014823036e-07
1867,3.416379286136362e-07,4.85281148598915e-09,6.459092158905833e-07
1868,2.6082534532179125e-07,1.2843672791973404e-08,6.194601978037895e-07
