year,suis_VERB en_PRON,suis_VERB dans_ADP
1800,2.829747991484055e-08,1.5752264062030008e-06
1801,4.0480102825313224e-08,2.274029384352616e-06
1802,8.951360541686881e-09,1.727612584545568e-06
1803,3.9006784247064274e-08,1.648036686674459e-06
1804,1.730295728918918e-08,2.8895938157802448e-06
1805,1.9900143755080535e-08,2.3482170945499092e-06
1806,5.76333825108577e-09,2.674188863238669e-06
1807,5.124519120158766e-08,1.2384255114739062e-06
1808,6.798222074166915e-08,1.4162962997943396e-06
1809,1.581321384946932e-08,1.7055680245903204e-06
1810,4.212228077449254e-08,2.620942041176022e-06
1811,2.5070767684098882e-09,1.8226447764391196e-06
1812,4.000812481308458e-08,2.0964257601008285e-06
1813,3.163315653864629e-08,1.7139419696832192e-06
1814,9.440030979135372e-09,1.4569114910045755e-06
1815,8.091670444798638e-09,1.4565007404598873e-06
1816,3.0128852301913867e-08,1.5945114455462317e-06
1817,3.269434145636296e-08,2.3757888811815064e-06
1818,3.814776761146277e-08,2.477220732544083e-06
1819,6.210630232317271e-09,2.111614094246761e-06
1820,4.9839222526770754e-08,2.3922825675981585e-06
1821,9.861488337037372e-08,3.448562438279623e-06
1822,5.012807946513931e-08,2.5866088435577694e-06
1823,6.917881023582595e-08,2.3629504539712798e-06
1824,4.7158231097910175e-08,1.9343294752616202e-06
1825,2.201360693732113e-08,2.012043751165038e-06
1826,9.688783109140786e-09,1.5801523431946407e-06
1827,3.502563927781921e-08,1.4213035228749504e-06
1828,2.0179061976932644e-08,1.984886011996423e-06
1829,3.1720752247110795e-08,1.5963254327289178e-06
1830,3.757260813586072e-08,2.059187636405113e-06
1831,7.639690835503643e-08,2.0019108433189103e-06
1832,2.841293600397421e-08,2.4854552975739352e-06
1833,5.21263281427764e-08,1.9506830994941993e-06
1834,2.42697808516823e-08,1.587803694746981e-06
1835,6.277362984974388e-08,2.0715297068818472e-06
1836,3.36037508930076e-08,1.756131950969575e-06
1837,4.453050195252217e-08,1.610055960554746e-06
