year,nombreux_ADJ doutes_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,2.6672082320544632e-09
1813,5.751483289628823e-09
1814,3.1466771410748606e-09
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,7.017931125119503e-09
1823,0.0
1824,8.421112696055388e-10
1825,0.0
1826,3.5231937367541377e-09
1827,2.7651818612639545e-09
1828,0.0
1829,8.573175946935407e-09
1830,4.174734336004349e-09
1831,4.677361609140007e-09
1832,0.0
1833,0.0
1834,7.467624740797874e-09
1835,0.0
1836,6.720750067579218e-10
1837,5.5663127440652715e-09
1838,1.199310784016916e-08
1839,0.0
1840,0.0
1841,3.2102742686390684e-09
1842,0.0
1843,6.497602011990011e-09
1844,3.841992946007622e-09
1845,5.022205318283568e-09
1846,8.781752214304106e-09
1847,5.393223645455691e-10
1848,3.218088684420195e-09
1849,1.6758829879393033e-09
1850,6.788996032014438e-10
1851,0.0
1852,0.0
1853,1.1943863675867306e-09
1854,0.0
1855,0.0
1856,0.0
1857,5.857811125054013e-09
1858,1.3212924976357954e-08
1859,2.036869339860914e-09
1860,9.154367819341758e-10
1861,2.8295783494058924e-09
1862,1.3553959066214816e-09
1863,3.496234635136375e-09
1864,4.794728170054441e-09
1865,6.589582213223366e-09
1866,1.216403244796993e-08
1867,8.73506067478047e-09
1868,4.93987406535723e-10
1869,0.0
1870,1.7202146374017957e-09
1871,4.248470908407853e-09
1872,3.628403577593531e-09
1873,4.788803575905831e-09
1874,5.974609140757536e-10
1875,7.437985338754061e-09
1876,6.650616057868319e-09
1877,1.2369631985365004e-09
1878,2.4156354694326865e-09
1879,9.774920428640144e-09
1880,1.2835692508872398e-09
1881,1.3945015142624584e-09
1882,1.0648616211028639e-08
1883,2.5277355764075082e-09
1884,7.2618666635548834e-09
1885,0.0
1886,3.872078213618124e-09
1887,1.3057849246322917e-09
1888,1.268122939990235e-09
1889,6.891650361495749e-09
1890,4.5880703680722945e-09
1891,7.649063604731055e-09
1892,6.268512375839919e-10
1893,5.542574843531156e-09
1894,1.3863386882917439e-08
1895,3.0093072478365457e-09
1896,5.89702897624278e-10
1897,6.409385022720926e-09
1898,5.6583546736987955e-09
1899,4.4220627160029835e-09
1900,1.038210584169974e-08
1901,6.147612641171918e-09
1902,2.455141867585553e-09
1903,8.640352433531007e-09
1904,9.13686282189019e-09
1905,1.4966200723165457e-08
1906,2.572092316910357e-09
1907,8.742834012309686e-09
1908,9.822778146428846e-09
1909,6.0510818578052294e-09
1910,8.550641084070776e-09
1911,2.128149656499545e-09
1912,5.730363294986773e-09
1913,1.113627856597077e-08
1914,2.678697486047099e-09
1915,1.1780762143587253e-08
1916,8.789969641043172e-09
1917,1.864292187292449e-08
1918,4.594550517822427e-09
1919,2.762354567309444e-09
