year,aux_ADP eaux_NOUN,aux_ADP dos_NOUN
1800,3.361111790667337e-06,0.0
1801,2.771696440362348e-06,4.7623651688866175e-09
1802,3.0389869323244056e-06,4.475680270843441e-09
1803,3.5242629508047685e-06,1.950339223455444e-09
1804,3.8115940714789076e-06,9.887403784603066e-09
1805,3.5933974196211693e-06,2.842877711017877e-09
1806,3.942123427691513e-06,1.152667650217154e-08
1807,2.7359237684265736e-06,1.1387820464392462e-08
1808,2.984419516849357e-06,1.1330369531492579e-08
1809,3.535382673724996e-06,2.259030518203531e-09
1810,3.3908437382379475e-06,7.020380277111826e-09
1811,2.9458152894790146e-06,0.0
1812,3.7740995573187774e-06,0.0
1813,3.3847480125359652e-06,1.7254450312975678e-08
1814,3.2379308390062533e-06,6.293354282149721e-09
1815,3.1935125974769107e-06,2.697223555614414e-09
1816,2.6374332460221694e-06,4.6352077731626196e-09
1817,2.7930308359458422e-06,9.341240669868967e-09
1818,3.6979491540023446e-06,1.7881765401739358e-08
1819,2.961435393800116e-06,1.6561680027393777e-08
1820,2.535867004382908e-06,3.5599443393152796e-09
1821,3.0827011983092234e-06,7.88919063410276e-09
1822,3.5129758657603816e-06,8.02049271442229e-09
1823,2.967770878825604e-06,0.0
1824,2.752019703677888e-06,4.210556348027694e-09
1825,3.0484444017986334e-06,1.1447076175841175e-08
1826,2.805343047640463e-06,6.1655889282974385e-09
1827,3.2039241801840035e-06,1.3825909306319772e-08
1828,3.0020940897657056e-06,8.255071293206129e-09
1829,3.2749532152820393e-06,4.286587973467704e-09
1830,3.222894797261233e-06,0.0
1831,4.0007034911582195e-06,1.5591206548037917e-08
1832,3.7302125157623323e-06,4.058990921151917e-09
1833,4.814155886379012e-06,1.853380560135065e-08
1834,3.110265744510343e-06,9.334531370086552e-09
1835,3.806502121506128e-06,1.9664028627630614e-08
1836,2.7373615081316416e-06,1.1425274948351216e-08
1837,3.3655317466241286e-06,2.0873671680021744e-09
1838,3.2791682169630576e-06,1.4517972601879592e-08
1839,2.9154452469981607e-06,4.194885327990505e-09
1840,2.9867470612288116e-06,3.821813088222825e-09
1841,3.1569836771438986e-06,9.630822805917205e-09
1842,2.960357287307147e-06,6.037438549100216e-09
1843,2.984171503683797e-06,7.678984559333912e-09
1844,3.0132201809252024e-06,1.811225303072206e-08
1845,3.1840780287950565e-06,2.399498022498392e-08
1846,3.3522874929303725e-06,1.5807152919933287e-08
1847,2.8972396854953786e-06,1.294373674909366e-08
1848,2.8616852807417104e-06,1.6090443422100975e-09
1849,3.248699144364764e-06,5.027648741773305e-09
1850,2.825580084575563e-06,2.4440385715251978e-08
1851,3.3221058104437873e-06,7.739326512989919e-09
1852,3.4011089322660837e-06,1.3021090872200602e-09
1853,3.696625697102718e-06,5.971931837933653e-09
1854,3.664502229661082e-06,7.273930457962763e-09
1855,3.744044054343476e-06,6.8990182455763716e-09
1856,3.5986641719887302e-06,5.694908267184218e-09
1857,4.2073725019520225e-06,1.5620829074691756e-08
1858,3.873833929191051e-06,8.808616946964776e-09
1859,4.611981612612226e-06,7.129042689513199e-09
1860,4.119007746439252e-06,5.034902272882391e-09
1861,3.6874119793139926e-06,1.4147891747029462e-09
1862,3.82718618041622e-06,4.969784916930564e-09
1863,3.674542448095508e-06,9.489779628779615e-09
1864,3.6171427453268734e-06,6.712619238236073e-09
1865,3.7061691671169683e-06,9.41368871743009e-10
1866,3.5197844674428325e-06,5.352174259343201e-09
1867,3.5323615446003487e-06,2.426405742994575e-09
