year,plusieurs_DET doutes_NOUN
1800,4.4018303668735825e-08
1801,5.2386017301842e-08
1802,1.3427040812530322e-08
1803,4.095712391460893e-08
1804,3.4605911691798497e-08
1805,1.990014353303593e-08
1806,1.152667650217154e-08
1807,6.547996633798903e-08
1808,3.172503681980743e-08
1809,9.036122294858728e-09
1810,6.084329484679074e-08
1811,9.025476543911282e-08
1812,1.8670456736202823e-08
1813,4.026038169513413e-08
1814,1.5733386149463513e-08
1815,4.8550024445148665e-08
1816,1.2746821020925836e-07
1817,6.071806257779144e-08
1818,4.053200308717919e-08
1819,4.140419918030602e-08
1820,5.3399165977907614e-08
1821,4.7335142028259725e-08
1822,3.709477880420309e-08
1823,2.9648060007048116e-08
1824,4.463189728909356e-08
1825,2.6416328680056722e-08
1826,2.9947145208097936e-08
1827,4.055600122399028e-08
1828,4.677873732816806e-08
1829,1.4574399687106165e-08
1830,4.905312933622952e-08
1831,5.924658275091588e-08
1832,2.9765932163527964e-08
1833,3.475088417026484e-08
1834,2.426977996350388e-08
1835,2.8739734148075513e-08
1836,3.091544975575289e-08
1837,2.2961040180291548e-08
1838,4.039783707554534e-08
1839,9.788065580274008e-09
1840,1.0828471008750284e-08
1841,1.4767261191650505e-08
1842,4.561620370324704e-08
1843,2.7762481424886687e-08
1844,1.9758820579696135e-08
1845,1.6740683339566687e-08
1846,1.9905304071698993e-08
1847,1.941560601181891e-08
1848,1.3676876908785829e-08
1849,3.351765798242923e-08
1850,3.8018377779280854e-08
1851,1.4188765051770247e-08
1852,3.906327350478023e-08
1853,1.6124216628554677e-08
1854,4.000661490977109e-08
1855,2.388121700391821e-08
1856,2.329735160344626e-08
1857,1.4156376071383647e-08
1858,2.1532175153993194e-08
1859,6.619825576592575e-09
1860,2.0597326955140716e-08
1861,7.073945429425521e-09
1862,2.5752521920496818e-08
1863,1.598278720482682e-08
1864,1.965838469786263e-08
1865,1.2237795665726026e-08
1866,1.3623715933164249e-08
1867,1.455843445796745e-08
1868,1.926550852182629e-08
1869,1.6115613288292252e-08
1870,5.160643912205387e-09
1871,1.6993883855676017e-08
1872,2.2979888658625214e-08
1873,1.1972009161809183e-08
1874,2.9873046258899194e-09
1875,6.86583251363615e-09
1876,8.464420719889176e-09
1877,1.793596560162314e-08
1878,9.662541877730746e-09
1879,7.94212295929242e-09
1880,1.4119262203848848e-08
1881,1.4642266066289267e-08
1882,7.320923423037584e-09
1883,1.579834751908038e-08
1884,1.3203393933736152e-08
1885,2.0626034324955356e-08
1886,7.098810428374236e-09
1887,8.48760173255414e-09
1888,6.340614699951175e-09
1889,1.253027342995594e-08
1890,6.5543866445416654e-09
1891,1.529812720946211e-08
1892,1.2537024751679837e-08
1893,8.005941354305435e-09
1894,5.041231432301174e-09
1895,2.9491211250842753e-08
1896,5.307326134129653e-09
1897,4.078699600285063e-09
1898,1.6975064687230201e-09
1899,1.1607914629507832e-08
1900,5.191053031872173e-09
1901,5.58873880507349e-09
1902,9.820567692386817e-10
1903,3.2401321625741275e-09
1904,5.374625189347171e-09
1905,6.192911072844254e-09
1906,6.6874399351490865e-09
1907,2.057137349353866e-09
1908,2.9468334439286537e-09
1909,1.0451868703853506e-08
1910,2.67207544979442e-09
1911,2.128149656499545e-09
1912,4.167536871158006e-09
1913,1.060597942803554e-09
1914,6.027069510139427e-09
1915,1.1780761699498044e-08
1916,2.197492410260793e-09
1917,9.869782324756216e-09
1918,0.0
1919,9.207848372660976e-10
1920,9.843901693784574e-09
1921,2.2718242842501013e-09
1922,0.0
1923,1.0615948120573648e-08
1924,6.445812328337297e-09
1925,1.0998178368026856e-08
1926,6.687683296036084e-09
1927,6.689535148041159e-09
1928,5.713020723163709e-09
1929,0.0
1930,4.201441416995522e-09
1931,1.1405356659111021e-09
1932,4.383814644626227e-09
1933,1.1470662419910127e-08
1934,0.0
1935,7.180970484910176e-09
1936,8.487299751891442e-09
1937,2.5182236296217297e-09
1938,3.8895642262559704e-09
1939,4.588215141154706e-09
1940,5.0715658339584024e-09
1941,1.1806010391524069e-08
1942,3.034211770724937e-09
1943,0.0
1944,0.0
1945,2.178504043826024e-09
1946,1.3921104269343232e-09
1947,3.5762612871081956e-09
1948,3.2615663503321457e-09
1949,2.945102384188658e-09
1950,5.317680518146517e-09
