year,serais_VERB en_ADP,serais_VERB dans_ADP
1800,5.65949598296811e-08,9.118077315406481e-08
1801,9.28661236798689e-08,8.334139067756041e-08
1802,5.594600338554301e-08,3.8043282302169246e-08
1803,5.265916058760922e-08,5.070882025393075e-08
1804,5.9324420931261557e-08,1.1370514130248921e-07
1805,1.02343598484822e-07,1.7057265822018053e-08
1806,6.627838899930794e-08,3.458002950651462e-08
1807,7.686778502602465e-08,2.2775640928784924e-08
1808,3.6257183921861724e-08,3.3991110370834576e-08
1809,7.228897658251299e-08,4.292158095609011e-08
1810,5.3822915901946544e-08,4.212228077449254e-08
1811,3.008491944456182e-08,3.008491944456182e-08
1812,6.13457871168066e-08,8.00162425207418e-09
1813,6.326631307729258e-08,3.163315653864629e-08
1814,1.0069366851439554e-07,4.405347908686963e-08
1815,7.821948599939788e-08,8.091670622434322e-08
1816,6.721051448721482e-08,4.1716869958463576e-08
1817,1.370048607896024e-07,9.652615062805125e-08
1818,1.1801965627000754e-07,5.364529798157491e-08
1819,8.073818946741085e-08,1.1386155129855524e-08
1820,1.0679833195581523e-07,6.645229433388522e-08
1821,1.3017164235407108e-07,1.2129630988511053e-07
1822,1.2130995230563713e-07,7.619468078701175e-08
1823,1.946889369719429e-07,1.087095569118901e-07
1824,1.4484314192486636e-07,5.3053010873327366e-08
1825,1.1182912373897125e-07,8.541280038798504e-08
1826,9.600702810530493e-08,6.165588928297439e-08
1827,1.4194600339578756e-07,3.3182182335167454e-08
1828,1.0181254594954225e-07,5.595103758082587e-08
1829,1.2345373079369892e-07,3.0006116702452346e-08
1830,1.711641033352862e-07,6.262101237552997e-08
1831,1.387617345471881e-07,5.3010101197514814e-08
1832,1.6912461830997927e-07,5.141388470519814e-08
1833,1.482704448108052e-07,5.79181431703546e-08
1834,1.4095141409598e-07,7.187588835222414e-08
1835,1.467239059138592e-07,5.294161553592858e-08
1836,1.0349955203992067e-07,4.032450107160912e-08
1837,1.349830824892706e-07,7.584100814028716e-08
1838,1.04781889831429e-07,4.607878167917079e-08
1839,1.3283802502428443e-07,6.781731087812659e-08
1840,1.0382592563473736e-07,5.095751021144679e-08
1841,1.515249437034072e-07,5.778493772368165e-08
1842,1.18065464960182e-07,9.525736288651387e-08
1843,1.559424589459013e-07,4.902736350231862e-08
1844,1.229437742722439e-07,7.683986069650928e-08
1845,1.3448349989175767e-07,7.14269177137794e-08
1846,1.1533367683114193e-07,7.025401771443285e-08
1847,1.1919023990003552e-07,4.7460368080010085e-08
1848,1.504456434986423e-07,7.240699773092274e-08
1849,1.5585712276333652e-07,5.279031256577582e-08
1850,9.640374543096186e-08,5.295417082606946e-08
1851,1.1802472954514087e-07,5.93348374877678e-08
1852,1.1002821764805049e-07,5.7943854159248076e-08
1853,1.1167512781184996e-07,8.062107781370287e-08
1854,1.3612640259452746e-07,6.702406807335137e-08
1855,1.5230909866659204e-07,6.262185792138553e-08
1856,1.2735885945858172e-07,6.419714537742038e-08
1857,1.2984814645733422e-07,7.51752367023073e-08
1858,1.2968241946964554e-07,5.334106845111819e-08
1859,1.5123754337764694e-07,7.078121200265741e-08
1860,1.1900678487108962e-07,7.735440732403731e-08
1861,1.4147890681215358e-07,7.262584489353685e-08
1862,1.0075109457829967e-07,5.91856199605445e-08
1863,1.1737358818209032e-07,8.640694204586907e-08
1864,9.349719221063424e-08,6.041356925834407e-08
1865,1.445001203137508e-07,8.189908839995041e-08
1866,1.0655692506134073e-07,6.665889884516218e-08
1867,8.686532737556263e-08,6.842464017609018e-08
1868,1.4473830844963231e-07,8.397785933311752e-08
1869,1.3820358901739382e-07,8.594993516908289e-08
1870,1.4621824107052817e-07,8.142349372519675e-08
1871,1.1046024184224734e-07,1.1046024184224734e-07
1872,1.663018309727704e-07,7.075387031818536e-08
1873,1.711997299480572e-07,7.66208572144933e-08
1874,1.3562362255470362e-07,7.647499700169647e-08
1875,1.5963060207013768e-07,8.467860368455149e-08
1876,1.2757091383264196e-07,7.678438862512849e-08
1877,1.329735397348486e-07,9.339072448710795e-08
1878,1.1111923470252805e-07,7.126124756950958e-08
1879,1.1668811339404783e-07,9.163987613192148e-08
1880,1.257897821460574e-07,1.01401973040538e-07
1881,1.2411064176376385e-07,6.414706632540401e-08
1882,1.457529350545883e-07,5.523969548448804e-08
1883,1.1248422993048734e-07,7.709593319304986e-08
1884,1.1222884666040045e-07,6.535680086017237e-08
1885,1.1022036972008209e-07,3.545099502844096e-08
1886,8.454037470073672e-08,5.937186742244194e-08
1887,1.0185122079064968e-07,5.549586035158427e-08
1888,8.306205501185104e-08,5.960177773545183e-08
1889,9.335053618997335e-08,4.573549716724301e-08
1890,9.569404113562996e-08,4.391439034634459e-08
1891,1.2429728712959331e-07,6.69293100941104e-08
1892,8.023695841075096e-08,3.5103667528346705e-08
1893,8.929703909643649e-08,4.557228194812524e-08
1894,9.263262512604342e-08,5.4823392048319874e-08
1895,1.3602068804630107e-07,8.60661870660806e-08
1896,1.179405799689448e-07,5.248355705589347e-08
1897,5.5936450138460714e-08,4.253501018069983e-08
1898,6.224190229886517e-08,5.714938566825367e-08
1899,8.623022296205818e-08,5.693405569218157e-08
1900,1.0434016672888902e-07,7.838490034828283e-08
1901,1.089804086973345e-07,5.197527030986748e-08
1902,8.200174050898568e-08,5.2049010434984666e-08
1903,9.990407789928213e-08,3.834156458992766e-08
1904,6.71828175313749e-08,3.815983973254333e-08
1905,9.599011718819384e-08,4.076999715607599e-08
1906,7.922044176211784e-08,4.1153477070565714e-08
