year,trois_DET hivers_NOUN,trois_DET divers_ADJ
1800,4.087413785214267e-08,9.432493897065797e-09
1801,3.095537337571841e-08,5.000483582762172e-08
1802,3.3567602031325805e-08,3.3567602031325805e-08
1803,5.655983770225248e-08,3.315576790896557e-08
1804,4.69651695311768e-08,5.9324420931261557e-08
1805,8.528632911009026e-09,8.52863308864471e-08
1806,3.1698360380971735e-08,1.3255677799861587e-07
1807,2.8469550272802735e-08,1.4234775846944103e-07
1808,1.5862518409903714e-08,8.157866204783204e-08
1809,4.0662548883574345e-08,2.25903047379461e-08
1810,7.020380365929668e-08,6.552355102940055e-08
1811,7.270522450752992e-08,8.022645658911642e-08
1812,5.601137242905452e-08,2.6672083208723052e-08
1813,3.738464116054274e-08,2.300593315851529e-08
1814,4.72001566720337e-08,7.866692897096073e-08
1815,2.697223555614414e-09,3.776112933451259e-08
1816,2.3176038865813098e-09,3.7081662185300956e-08
1817,1.401186100480345e-08,2.490997452753163e-08
1818,6.4374356956165e-08,2.5034472272977837e-08
1819,1.6561680027393777e-08,6.107119787657211e-08
1820,3.322614716694261e-08,9.374520004712394e-08
1821,2.3667571014129862e-08,1.0946251904897508e-07
1822,2.0051231786055723e-08,9.724847416237026e-08
1823,3.2612866740500124e-08,1.640526079427218e-07
1824,4.210556348027694e-08,2.1052781562502787e-07
1825,5.107157075023849e-08,5.723537910284904e-08
1826,3.435113882233054e-08,2.6423952803611428e-08
1827,2.027800150017356e-08,5.8068820862899884e-08
1828,3.485474309172787e-08,6.512333783348367e-08
1829,1.8860987438529264e-08,8.230249193275085e-08
1830,3.235419265834594e-08,8.662573947049168e-08
1831,6.860130952190957e-08,3.1182413096075834e-08
1832,5.68258712307923e-08,2.4353944638733083e-08
1833,9.151066393542351e-08,3.938433579264711e-08
1834,4.667265507407592e-08,2.8003592333902816e-08
1835,3.2521278114927554e-08,9.22696727911898e-08
1836,3.091545064393131e-08,1.8414854707771156e-07
1837,4.244313567269842e-08,9.114837240531415e-08
1838,5.23909449157145e-08,1.754781067120348e-07
1839,2.3771015378315496e-08,7.341049013120937e-08
1840,4.395085184683012e-08,3.9492068282243054e-08
1841,4.55858959469424e-08,7.76886395215115e-08
1842,4.360372107825583e-08,3.287049921141261e-08
1843,2.9534554579768724e-08,3.898561473647533e-08
1844,6.31184581267874e-08,4.335963410539989e-08
1845,7.421703474008723e-08,3.850357188639464e-08
1846,2.751615646445771e-08,7.786486833083472e-08
1847,3.289866423727972e-08,3.721324404182269e-08
1848,2.574471036353998e-08,4.263967667839097e-08
1849,1.7596770485184265e-08,1.6758829879393033e-09
1850,2.2403686017469226e-08,3.326607966869233e-08
1851,2.3862924081186065e-08,3.5471913406581734e-08
1852,4.101643669152111e-08,6.705861466116403e-08
1853,4.59838740418661e-08,3.941475057445132e-08
1854,3.844791596208097e-08,7.273930435758302e-08
1855,6.04990830765928e-08,3.714855978387277e-08
1856,3.624032601790006e-08,3.727576114442854e-08
1857,3.368241174861453e-08,5.516105261449411e-08
1858,3.1808895073481835e-08,3.425573069648635e-08
1859,4.0228171016565284e-08,3.0043821652725455e-08
1860,4.2567810609739354e-08,1.6935580049448618e-08
1861,6.555189663304262e-08,2.7352589526685733e-08
1862,3.478849586180388e-08,2.710791768834042e-08
1863,3.396342079797776e-08,3.596127129412707e-08
1864,2.4453112201783256e-08,5.6098315326380543e-08
1865,3.4359965317420915e-08,3.7654753981541944e-08
1866,2.6760870852626795e-08,5.303517980337347e-08
1867,4.949867538073249e-08,2.7661025470138156e-08
1868,2.8651269023960424e-08,5.0386717020955984e-08
1869,2.0999132210874905e-08,1.953407746668745e-08
1870,2.8670243068518175e-08,2.5229814681893004e-08
1871,1.5931766128574054e-08,9.559059321873065e-09
1872,2.4794092001734214e-08,5.019291648977742e-08
1873,4.070482972906575e-08,4.549363552541763e-08
1874,3.764003908557356e-08,2.8678122987457755e-08
1875,3.3757009632040536e-08,3.2612703648737806e-08
