year,voudrais_VERB écrire_VERB,voudrais_VERB décrire_VERB
1800,9.432493897065797e-09,3.144164484325529e-09
1801,2.3811825844433088e-09,0.0
1802,2.2378401354217203e-09,0.0
1803,3.900678446910888e-09,0.0
1804,7.4155526164076946e-09,9.887403784603066e-09
1805,5.685755422035754e-09,0.0
1806,0.0,2.881669125542885e-09
1807,0.0,0.0
1808,0.0,4.5321479902327155e-09
1809,0.0,0.0
1810,9.360507036149102e-09,0.0
1811,0.0,0.0
1812,2.6672082320544632e-09,5.3344164641089264e-09
1813,8.627225156487839e-09,0.0
1814,6.293354282149721e-09,0.0
1815,0.0,0.0
1816,1.3905623319487859e-08,0.0
1817,2.9580593974287694e-08,0.0
1818,5.960588467246453e-09,0.0
1819,3.1053151161586356e-09,0.0
1820,7.119888678630559e-09,1.1866481131050932e-09
1821,3.648750634965836e-08,0.0
1822,2.0051231786055723e-08,0.0
1823,1.3835761869529506e-08,0.0
1824,1.6842225392110777e-08,5.052667617633233e-09
1825,1.0566531649658373e-08,8.805443041381977e-10
1826,7.0463874735082754e-09,0.0
1827,1.7512819638909605e-08,0.0
1828,1.2841221419535032e-08,3.668920500743411e-09
1829,5.143905745796928e-09,5.143905745796928e-09
1830,7.305785310052215e-09,0.0
1831,2.0268567268999504e-08,3.274153215215847e-08
1832,9.470978667991403e-09,2.976593194148336e-08
1833,1.1583628500844156e-09,4.6334514003376626e-09
1834,4.667265685043276e-09,4.667265685043276e-09
1835,2.4201881387853064e-08,6.806779140333674e-09
1836,6.72075017860152e-09,6.720750067579218e-10
1837,1.3219993100221927e-08,4.87052354003481e-09
1838,3.1560809521380406e-09,0.0
1839,4.194885327990505e-09,0.0
1840,5.732719632334238e-09,0.0
1841,1.0272877659645019e-08,1.2841097074556274e-09
1842,6.037438549100216e-09,0.0
1843,1.5357969118667825e-08,7.088293507706567e-09
1844,8.232841963717874e-09,1.097712254427563e-09
1845,1.1718478631905782e-08,3.348136878855712e-09
1846,4.0981511517657054e-09,2.3418005312692003e-09
1847,1.941560512364049e-08,0.0
1848,1.6090443422100975e-09,8.045221711050488e-10
1849,0.0,0.0
1850,1.2899092460827433e-08,0.0
1851,1.9348316282474798e-09,0.0
1852,1.0416872697760482e-08,2.6042181744401205e-09
1853,4.180352064508952e-09,1.7915795513800958e-09
1854,6.234797567117312e-09,3.63696517347023e-09
1855,1.0083180512765466e-08,0.0
1856,1.9673318973900678e-08,3.1063134287023786e-09
1857,1.0739319655783675e-08,7.810414537345878e-09
1858,8.31924928945682e-09,8.31924928945682e-09
1859,8.656694916453489e-09,2.036869339860914e-09
1860,1.2816115280145368e-08,1.8308735638683515e-09
1861,1.3676294763342867e-08,9.431927461278633e-10
1862,8.132375661773494e-09,0.0
1863,2.1976331865403154e-08,0.0
1864,2.0137857603685916e-08,3.835782358407869e-09
1865,2.6829013677343028e-08,1.4120533631256649e-09
1866,1.556996132023869e-08,1.1190909532388105e-08
1867,3.202855580752839e-08,3.88224918879132e-09
1868,2.0253484223076157e-08,3.951899252285784e-09
1869,1.4162205630441349e-08,5.371870948067681e-09
1870,2.5803219116937726e-08,1.7202146374017957e-09
1871,5.3105884134652115e-09,0.0
1872,1.2094679036067646e-08,6.047339295989218e-10
1873,1.0176207432266438e-08,5.986004469882289e-10
1874,2.2106053876314036e-08,2.3898436563030145e-09
1875,1.8881038954532414e-08,0.0
1876,7.859819461941697e-09,1.209202959984168e-09
1877,1.7317484335421796e-08,7.421779191219002e-09
1878,9.662541877730746e-09,4.22736201599605e-09
