year,leurs_DET hommages_NOUN,leurs_DET dommages_NOUN
1800,1.0344301699660718e-06,3.458580977167003e-08
1801,8.38176276829472e-07,1.4287095950749062e-08
1802,7.765305554130464e-07,2.0140561218795483e-08
1803,8.679009511070035e-07,3.1205427575287104e-08
1804,7.761611868772889e-07,4.2021465418429216e-08
1805,8.841349767862994e-07,2.2743021688143017e-08
1806,8.24157382339763e-07,6.916005901302924e-08
1807,8.768622024035722e-07,7.686778502602465e-08
1808,1.2825978501496138e-06,1.8128591960930862e-08
1809,1.021081743601826e-06,8.132509776714869e-08
1810,1.2683486829700996e-06,5.8503168531842675e-08
1811,8.122928534248786e-07,6.267691787797958e-08
1812,9.788653869691188e-07,3.467370746079723e-08
1813,7.534442829637555e-07,2.5881675469463516e-08
1814,1.865979584181332e-06,4.72001566720337e-08
1815,1.4888673831592314e-06,4.315557688983063e-08
1816,9.571704140398651e-07,4.6352077731626196e-09
1817,9.154415465673083e-07,3.42512151974006e-08
1818,8.583247677051986e-07,4.410835785506606e-08
1819,1.010262508316373e-06,2.3807414706311647e-08
1820,1.2436072438504198e-06,5.22125169766241e-08
1821,1.2060600056429394e-06,4.339054981983281e-08
1822,1.0356461643823422e-06,3.0076847679083585e-08
1823,9.971630561267375e-07,3.854247765389118e-08
1824,1.1545345159902354e-06,8.42111234078402e-08
1825,1.263581111743406e-06,1.1006803646296248e-07
1826,1.1344683343850193e-06,7.04638765114396e-08
1827,1.0350997854402522e-06,5.438191053031005e-08
1828,9.5850543857523e-07,7.246117661452445e-08
1829,8.307407597385463e-07,1.1573787617180642e-07
1830,8.944368232732813e-07,7.201416707403041e-08
1831,8.154200941135059e-07,2.9623292263636358e-08
1832,9.43038855893974e-07,1.2176972319366541e-08
1833,1.1479376098577632e-06,3.243415847009601e-08
1834,1.003462102744379e-06,7.841006066655609e-08
1835,1.0323615242668893e-06,5.067268915581735e-08
1836,7.507077839363774e-07,3.091545153210973e-08
1837,6.081196488594287e-07,2.365682938432201e-08
