year,leurs_DET oies_NOUN,leurs_DET doigts_NOUN
1800,6.288328968651058e-09,1.2733866530112437e-06
1801,0.0,1.3239375036278034e-06
1802,2.2378401354217203e-09,8.570927718665189e-07
1803,2.3404069793286908e-08,1.2560184075027792e-06
1804,4.943701892301533e-09,9.862685281802896e-07
1805,5.685755422035754e-09,8.10220148750318e-07
1806,0.0,1.0633358655809388e-06
1807,2.8469551160981155e-09,9.081786593867491e-07
1808,2.2660739951163578e-09,7.908598469441586e-07
1809,3.6144488291256494e-08,8.832809115233431e-07
1810,1.1700633351097167e-08,6.55235471214155e-07
1811,0.0,5.089365777699584e-07
1812,5.3344164641089264e-09,7.17478998435439e-07
1813,8.627225156487839e-09,5.377636966841237e-07
1814,0.0,3.178143774817954e-07
1815,0.0,4.3964745000124594e-07
1816,0.0,9.757112273689472e-07
1817,1.556873407970727e-09,1.4167547846000161e-06
1818,2.384235386898581e-08,8.177927810493202e-07
1819,0.0,9.015764383946134e-07
1820,3.322614716694261e-08,7.511482351674204e-07
1821,1.2819934447350079e-08,3.776949903944171e-07
1822,2.0051231786055723e-09,6.73721402222327e-07
1823,8.894418535021487e-09,7.085886615243453e-07
1824,1.431589158329416e-08,4.496874304038556e-07
1825,7.924898959288385e-09,8.127423924975119e-07
1826,3.5231937367541377e-09,7.108043629244776e-07
1827,1.3825909306319772e-08,5.419756798907827e-07
1828,1.4675682002973645e-08,7.493769977884313e-07
1829,3.3435387791769244e-08,8.410285552429286e-07
1830,2.0873671680021744e-09,5.917686110024079e-07
1831,1.5591206103948707e-09,6.719810059507836e-07
1832,5.411987746839486e-09,7.779732289492358e-07
1833,3.4750886612755494e-09,1.0425265983826648e-06
1834,5.600718555598405e-09,1.0249315156585226e-06
1835,0.0,8.773182074151009e-07
1836,3.36037508930076e-09,1.0134891184065964e-06
1837,5.5663127440652715e-09,7.973742732758637e-07
1838,1.3886756633496589e-08,7.700837763024992e-07
1839,9.788065469251706e-09,6.06860044882751e-07
1840,0.0,5.592586846958625e-07
1841,3.852329122366882e-09,9.097917441636127e-07
1842,0.0,7.177843528438643e-07
1843,1.7720733769266417e-09,5.895097228147961e-07
1844,5.488561272137815e-10,6.152676910176069e-07
1845,6.138250796539069e-09,6.249855379891756e-07
1846,5.269050973311096e-09,5.80181103160271e-07
1847,8.089835468183537e-09,6.169847601711353e-07
1848,2.172209789819135e-08,5.816695249905024e-07
1849,0.0,5.890728598245687e-07
1850,6.788996032014438e-10,5.852114446369683e-07
1851,7.739326512989919e-09,5.249843066934545e-07
1852,2.278690836021724e-08,7.103004886488407e-07
1853,1.0749477752369785e-08,7.578381442385762e-07
1854,6.754363734984281e-09,6.884255654426852e-07
1855,4.2455496895854594e-09,7.228048168883561e-07
1856,3.6240324075009767e-09,5.757034315934106e-07
1857,3.905207268672939e-09,6.917098431813429e-07
1858,7.34051397444091e-09,5.720707418888082e-07
1859,2.036869339860914e-09,6.253188953309063e-07
1860,1.373155145145688e-09,6.595722243929458e-07
1861,1.8863854922557266e-09,6.281663456064734e-07
1862,1.0391368654438793e-08,5.692662430334394e-07
1863,2.9967726078439227e-09,5.47410418771932e-07
1864,9.589456340108882e-09,5.518731835962853e-07
1865,1.2237795665726026e-08,5.521128363383809e-07
1866,5.838735717134114e-09,5.678169996414795e-07
1867,9.7056229719783e-10,5.43029582189547e-07
1868,2.9639244392143382e-09,5.992067038107507e-07
