year,des_DET oies_NOUN,des_DET doigts_NOUN
1800,3.772997354545282e-07,9.306727086766386e-07
1801,4.643306181772999e-07,9.524730444354645e-07
1802,4.1400042505301826e-07,9.376550167417008e-07
1803,4.5442904728076883e-07,1.162402199383905e-06
1804,3.3617172467970136e-07,5.339198061449224e-07
1805,4.0368864784312564e-07,8.414917935795074e-07
1806,1.9595349609602408e-07,7.290622647815326e-07
1807,2.9893028363758845e-07,7.572900511121361e-07
1808,2.809931678449118e-07,7.749973054416159e-07
1809,5.195770000909761e-07,6.66414012195915e-07
1810,3.9314129374190543e-07,5.452495170921168e-07
1811,3.183987451471637e-07,5.315002518102574e-07
1812,1.520308643421231e-07,8.188329250202742e-07
1813,2.0705340375570813e-07,7.074324290812228e-07
1814,3.27254436438551e-07,5.758419012735772e-07
1815,2.751168040049379e-07,7.552225724793971e-07
1816,2.2248996955909206e-07,8.992303150989756e-07
1817,1.9149542329621738e-07,1.1645413060534793e-06
1818,3.31408723130977e-07,8.83359266623529e-07
1819,2.1944226169523517e-07,9.554019353430476e-07
1820,2.385162769513727e-07,5.838308769767764e-07
1821,2.790801291174816e-07,6.60719735701143e-07
1822,2.1254305693219067e-07,6.426420071647954e-07
1823,2.15442573114899e-07,6.156913698873723e-07
1824,1.5158002586446173e-07,4.631611876249053e-07
1825,2.4391076713925486e-07,7.695957151554467e-07
1826,2.3164998708136153e-07,7.495594815942752e-07
1827,2.2582319425534791e-07,6.101834619798296e-07
1828,2.1830077412410276e-07,6.906742786583209e-07
1829,2.3490502504275312e-07,7.750150885499352e-07
1830,2.536151120224872e-07,7.034427333962867e-07
1831,3.3053355763534853e-07,6.392394347187746e-07
1832,2.1783250325757564e-07,9.146259301040516e-07
1833,3.475088590221276e-07,7.911618054023961e-07
1834,2.623003139134994e-07,8.289063524458129e-07
1835,2.6243915129953166e-07,1.0716895602058685e-06
1836,2.473235943822871e-07,8.011134166596712e-07
1837,2.9710193816256947e-07,9.970658059188509e-07
1838,2.1650715620324945e-07,6.463653807742276e-07
1839,2.481973737644694e-07,9.424508444766388e-07
1840,1.9427551034567614e-07,7.58629942865241e-07
1841,2.2471919214339664e-07,9.393262363488475e-07
1842,2.508891068231378e-07,6.829013630138547e-07
1843,1.8665839540688012e-07,7.507683861263104e-07
1844,2.3820356265247256e-07,7.447977772301329e-07
1845,2.985421990731041e-07,7.561209134365754e-07
1846,1.8266044810033577e-07,6.510205583509787e-07
1847,2.3244794267185398e-07,6.03501741025525e-07
1848,2.260707319123867e-07,7.425739596556014e-07
1849,1.9188860278518405e-07,6.80408467346183e-07
1850,1.8058729089887038e-07,7.121657041864182e-07
1851,2.4636856132964624e-07,6.53328163124911e-07
1852,1.5950836518285882e-07,8.724130911019756e-07
1853,2.573902571079145e-07,1.092863533891375e-06
1854,1.8860262152031737e-07,7.57008309815177e-07
1855,2.2819829226250476e-07,7.737514451378047e-07
1856,1.8948512314764798e-07,6.523258244683916e-07
1857,1.6694761151292425e-07,6.52657737632012e-07
1858,1.942789422115787e-07,7.531367109958609e-07
1859,2.2762014584287726e-07,8.009988441415317e-07
1860,2.1970482655397916e-07,7.469963989592543e-07
1861,2.5371885348235423e-07,7.25786845734433e-07
1862,2.4442305335270476e-07,8.846217274260937e-07
1863,2.3075147836948418e-07,6.982479892059246e-07
1864,2.1672170014142011e-07,6.808513921541248e-07
1865,2.1557346707723468e-07,7.069679965887588e-07
1866,1.761351877682671e-07,7.337344101188137e-07
1867,2.4167001555497336e-07,8.007138792009982e-07
1868,2.4402978426874e-07,7.434510651549431e-07
1869,2.1389813420480408e-07,8.345934032760738e-07
1870,2.2534811972008129e-07,7.752433681673665e-07
1871,2.2729319937297987e-07,8.018989037239521e-07
1872,2.2737995664101618e-07,7.770831258469002e-07
1873,2.789478137366075e-07,8.703650333785617e-07
1874,2.168783148626119e-07,8.101569992646773e-07
1875,2.2428386659001376e-07,9.486291743243669e-07
1876,2.4788660191177314e-07,8.119797922923055e-07
1877,2.5172201389978e-07,8.133032753931957e-07
1878,2.451869884900759e-07,8.913694866663491e-07
1879,2.107717258503783e-07,8.827975221947781e-07
1880,2.2205747929326947e-07,6.655306461489374e-07
1881,2.175422397776572e-07,8.78535937554048e-07
1882,2.549012436681153e-07,6.934911311873293e-07
1883,2.6414836507004935e-07,7.911812351935055e-07
1884,2.983967073433291e-07,9.684689530331525e-07
1885,1.946581920653223e-07,7.85078438703124e-07
1886,2.110282685263698e-07,9.292988067954866e-07
1887,2.5136359083077764e-07,9.055618477304961e-07
1888,2.390411708574902e-07,7.7038468759838e-07
1889,2.1802676442028712e-07,8.326366995881074e-07
1890,2.3005895988248426e-07,7.648968782802967e-07
1891,2.2692223011766544e-07,7.891284177219404e-07
1892,2.0811460554881478e-07,7.998621698313002e-07
1893,2.1492873392148226e-07,8.486297824461531e-07
1894,2.0290956026514095e-07,7.813908702303252e-07
1895,1.7273423869035298e-07,8.937642652639965e-07
1896,1.8929463729833174e-07,9.511907483883419e-07
1897,2.1442305975227782e-07,9.54415664722319e-07
1898,1.8559404235674037e-07,9.04770937282251e-07
1899,2.2884174910586808e-07,9.524017379192173e-07
1900,2.2944454647344514e-07,8.077278801366106e-07
1901,1.5201369540918108e-07,8.824618520364425e-07
1902,1.5663804786569813e-07,1.3768436204486534e-06
1903,1.8900771436847208e-07,8.445944494894775e-07
1904,1.795124813241955e-07,7.497602396711045e-07
1905,2.1417150541935825e-07,7.173454870113005e-07
1906,2.1142598782830646e-07,8.760546439390282e-07
1907,2.0571374115263552e-07,8.475405852692575e-07
1908,2.3329098497448797e-07,9.036956001295948e-07
1909,2.06286882686868e-07,1.0094305036290052e-06
1910,2.3353938516379458e-07,9.015582307370096e-07
1911,1.5961122912244718e-07,8.337026446980644e-07
1912,1.963951848926726e-07,7.66305840116388e-07
1913,2.0310450832283777e-07,7.551457574805909e-07
1914,2.05590032109626e-07,8.705766685324079e-07
1915,2.2265640298169131e-07,8.635298485160092e-07
1916,2.0326804528458808e-07,1.0119452511503368e-06
1917,2.006855638336802e-07,1.058259994302091e-06
1918,1.780388352301543e-07,9.820851598618674e-07
1919,1.556126307811212e-07,8.047659321164247e-07
1920,2.0672191913817528e-07,9.601590047481068e-07
1921,1.8098865894877747e-07,1.0768447324949193e-06
1922,1.9403969986342418e-07,1.0904589125004804e-06
1923,1.7940952901085438e-07,7.654098794773745e-07
1924,1.753260949755031e-07,8.134615274713042e-07
1925,2.144644692947395e-07,9.24946743197097e-07
1926,1.905989606143521e-07,8.080950166799994e-07
1927,1.97341287533348e-07,9.710974762100477e-07
1928,1.999557204257485e-07,8.203897774450297e-07
1929,1.7267630436634818e-07,7.998811639708947e-07
1930,1.2709360419638216e-07,7.384033295920744e-07
1931,1.6081552534075172e-07,7.356454911899846e-07
1932,1.3699420930990414e-07,6.44420726558792e-07
1933,1.9156006159093408e-07,7.180634735703961e-07
1934,1.833181748622792e-07,7.081113935214489e-07
1935,1.555876947278989e-07,8.341893966701264e-07
1936,1.4549657834095342e-07,7.51732286197182e-07
1937,1.4353875066319688e-07,6.33333256061519e-07
1938,1.8669909152002617e-07,7.908781078924676e-07
1939,1.6058752638770102e-07,7.723495389910795e-07
1940,1.5721854085271048e-07,6.719824767742466e-07
1941,3.099077856560939e-07,7.467301337271692e-07
1942,1.9115534288793867e-07,8.010319305640223e-07
1943,2.5548469428926524e-07,9.261320208509005e-07
1944,1.8636479559575037e-07,8.386415792926982e-07
1945,1.655663024457965e-07,8.888296498810178e-07
1946,1.8654280431462666e-07,9.2296919973478e-07
1947,1.5497132821451487e-07,9.250595773835357e-07
1948,1.5764236893645034e-07,1.0980606255373004e-06
1949,1.4431001538195432e-07,7.421658487771765e-07
1950,1.8611882524055545e-07,7.710637213165228e-07
1951,1.7271470653668075e-07,8.64639666531275e-07
1952,1.4868173003890206e-07,7.83478924404335e-07
