year,pourrions_VERB écrire_VERB,pourrions_VERB décrire_VERB
1800,6.288328968651058e-09,9.432493897065797e-09
1801,1.6668277424969347e-08,0.0
1802,2.2378401354217203e-09,0.0
1803,4.095712213825209e-08,0.0
1804,4.2021465418429216e-08,2.9662210465630778e-08
1805,1.1371510844071508e-08,0.0
1806,2.881669125542885e-09,2.881669125542885e-09
1807,0.0,0.0
1808,6.798221985349073e-09,9.064295980465431e-09
1809,2.259030518203531e-09,0.0
1810,7.020380277111826e-09,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,5.751483289628823e-09,0.0
1814,0.0,0.0
1815,2.697223555614414e-09,4.5852800667489646e-08
1816,2.3176038865813098e-09,0.0
1817,1.0898113522728181e-08,0.0
1818,3.5763532135746345e-09,1.1921177378582115e-09
1819,2.6912729822470283e-08,4.140420006848444e-09
1820,0.0,0.0
1821,2.2681422962023134e-08,0.0
1822,4.010246357211145e-09,0.0
1823,2.9648061783404955e-09,0.0
1824,1.6842225392110777e-09,0.0
1825,2.641632912414593e-09,0.0
1826,1.2331177856594877e-08,0.0
1827,2.1199728195142598e-08,3.6869092223668076e-09
1828,3.0268594741755805e-08,1.0089530988466322e-08
1829,2.4862210068476998e-08,4.286587973467704e-09
1830,4.174734336004349e-09,2.0873671680021744e-09
1831,1.091384405071949e-08,1.5591206103948707e-09
1832,4.058990921151917e-09,1.0823975493678972e-08
1833,8.108539617524002e-09,3.4750886612755494e-09
1834,1.120143711119681e-08,0.0
1835,4.5378527602224494e-09,7.563087933704082e-09
1836,1.008112526790228e-08,3.36037508930076e-09
1837,1.1132625488130543e-08,2.5048407792382932e-08
1838,4.418513555037862e-09,3.787297142565649e-09
1839,5.5931801412612e-09,4.894032734625853e-09
1840,5.732719632334238e-09,1.2102408852854296e-08
1841,5.1364388298225094e-09,1.9903700021473014e-08
1842,1.0733224087289273e-08,5.366612043644636e-09
1843,1.4767278067040479e-08,2.3627644285539873e-09
1844,1.4270259640625227e-08,7.683985892015244e-09
1845,4.464182357111213e-09,1.674068439427856e-09
1846,7.025401593807601e-09,7.610851504580296e-09
1847,5.9325460100012606e-09,7.011190739092399e-09
1848,1.367687652020777e-08,4.82713291560799e-09
1849,1.508294644736452e-08,0.0
1850,1.0183494048021657e-08,2.0366988096043315e-09
1851,8.384270167027807e-09,1.1608989325395669e-08
1852,2.408901877970493e-08,1.3021090872200602e-09
1853,7.166318205520383e-09,2.9859659189668264e-09
1854,2.5978321716024766e-09,1.558699391779328e-09
1855,7.429711956774554e-09,5.306937111981824e-09
1856,6.212626857404757e-09,1.2942972915652717e-08
1857,5.857811125054013e-09,1.1715622250108026e-08
1858,6.361778659424999e-09,6.8511463169329545e-09
1859,4.582956236731661e-09,1.5276520048956854e-09
1860,1.1900677776566226e-08,8.696649622663699e-09
1861,1.7920662287451705e-08,1.0846716413936974e-08
1862,7.228778020618165e-09,3.6143890103090826e-09
1863,1.0988165932701577e-08,2.4973103585068657e-09
1864,6.712618905169165e-09,8.63051052846231e-09
1865,1.0825742080555756e-08,7.530950973944073e-09
1866,1.0704348518686402e-08,3.8924903300596725e-09
1867,2.523461972714358e-08,9.7056229719783e-09
1868,1.6301584082611953e-08,1.2843672791973404e-08
1869,5.371870948067681e-09,1.4650557433881772e-09
1870,1.0321287824410774e-08,6.307453670473251e-09
1871,6.37270636261178e-09,7.434824311758348e-09
1872,1.8746751706544273e-08,3.0236697590169115e-09
1873,1.7958013742713774e-08,1.1972008939764578e-09
1874,7.766991494406739e-09,1.7923826867161097e-09
1875,2.8607636259891933e-09,1.1443054281912168e-09
1876,1.269663130187837e-08,6.650616057868319e-09
1877,9.895705588292003e-09,2.4739264858908427e-08
1878,1.69094480639842e-08,6.039088784604019e-09
1879,1.221865097988939e-08,6.109325489944695e-09
1880,2.0537108014195837e-08,6.417846254436199e-10
1881,3.4862537301449947e-09,6.9725074602899895e-09
1882,1.1314154946262533e-08,1.3310770263785798e-09
1883,1.579834751908038e-08,6.319338829996468e-09
1884,2.0465261485469455e-08,8.582206056928499e-09
1885,6.445635580831777e-09,1.933690763067375e-09
1886,1.2906927970846027e-08,1.2906927748801422e-09
1887,1.4363633837888301e-08,6.528924623161458e-10
1888,1.6485598663962264e-08,8.242799331981132e-09
1889,1.50363277384713e-08,1.8795409673089125e-09
1890,1.2453334363726754e-08,1.9663159989136147e-09
1891,1.0836173736095134e-08,3.1871101313640793e-09
1892,1.9432388143059143e-08,7.522214851007902e-09
1893,2.278614097406262e-08,6.774258043407144e-09
1894,1.6384001710889606e-08,1.2603078580752936e-09
1895,2.1065151400989635e-08,6.018614495673091e-09
1896,1.1794058174530164e-08,6.486732040400511e-09
1897,1.9228155068162778e-08,2.330685422435863e-09
1898,1.0185038590293516e-08,7.921697076085366e-09
1899,1.5477219506010442e-08,2.7637891975018647e-09
1900,1.453494924419374e-08,1.5573159428683425e-09
1901,1.0618603774048552e-08,2.235495566438317e-09
1902,1.6203935970793282e-08,9.820567692386817e-10
1903,1.7280704867062013e-08,6.480264325148255e-09
1904,8.599400302955473e-09,0.0
1905,1.7030505006232488e-08,2.0643036169332163e-09
1906,1.0802787109298606e-08,4.115347618238729e-09
1907,8.742834012309686e-09,2.057137349353866e-09
1908,9.822778146428846e-09,4.911389073214423e-10
1909,2.7504918342913243e-09,4.400786846048277e-09
1910,1.0153886620400954e-08,6.947395991829808e-09
1911,1.1704822888702893e-08,4.25629931299909e-09
1912,8.856016364688912e-09,3.125652625612929e-09
1913,1.2727175757731857e-08,2.121195885607108e-09
1914,6.027069510139427e-09,6.027069510139427e-09
1915,1.767114277129167e-08,4.712304768617059e-09
1916,1.8678685265172135e-08,2.197492410260793e-09
1917,1.5352993543160665e-08,0.0
1918,2.412139110674616e-08,2.2972752589112133e-09
1919,1.4732557396257562e-08,9.207848372660976e-10
1920,7.572231730534895e-09,9.086678076641874e-09
1921,1.9689142760626055e-08,4.543648568500203e-09
1922,1.770704471937279e-08,3.6889677978990676e-09
1923,1.1677542488541803e-08,0.0
1924,3.867487219366694e-09,0.0
1925,1.5397448649423495e-08,0.0
1926,6.687683296036084e-09,3.343841648018042e-09
1927,1.8953683067479687e-08,2.2298449753321847e-09
1928,1.0283437212876834e-08,7.998228745975666e-09
1929,1.6710609784809094e-08,1.1140406375176326e-09
1930,1.2604324695075775e-08,0.0
1931,1.0264820993199919e-08,6.843213995466613e-09
1932,8.767629289252454e-09,1.0959536611565568e-09
1933,6.882397318719313e-09,2.2941324395731044e-09
1934,1.5576054224197833e-08,1.1981580172459871e-09
1935,2.752705441366743e-08,2.393656828303392e-09
1936,1.9399543305098632e-08,4.849885826274658e-09
1937,8.813782592653752e-09,6.295559185076627e-09
1938,1.8151300906765755e-08,6.482607339819424e-09
1939,1.988226472349197e-08,6.117620188206274e-09
1940,1.7750480196809804e-08,2.5357829169792012e-09
1941,8.854508237732261e-09,0.0
1942,1.517105907566929e-08,3.034211770724937e-09
1943,2.9032352077962287e-09,5.806470415592457e-09
1944,9.639558484764166e-09,0.0
1945,3.267756198965799e-08,4.357008087652048e-09
1946,3.3410650246423756e-08,8.352662561605939e-09
1947,1.549713246618012e-08,1.1920870957027319e-09
1948,1.195907639583993e-08,4.348755133776194e-09
1949,2.0615717133409817e-08,4.908504269707237e-09
1950,3.084254984742074e-08,3.190608444114673e-09
1951,1.1727541604500402e-08,3.1984206394497505e-09
1952,1.2653764258629963e-08,1.0544803918932644e-09
1953,1.0773827163745864e-08,4.3095309543161875e-09
1954,1.3681550115052232e-08,5.863521668203475e-09
1955,1.595553378308523e-08,1.8771215692936494e-09
1956,1.4825940475304833e-08,3.488456634670456e-09
1957,1.6786572132332367e-08,3.534015080575159e-09
1958,1.4890038535497752e-08,2.4816730892496253e-09
1959,1.9376869886400527e-08,3.8753737996444215e-09
1960,1.2457499920515147e-08,6.920833239831836e-09
1961,1.250668635321972e-08,4.86371165564492e-09
1962,1.7123282347597524e-08,5.7077609305622445e-09
1963,8.405868889838075e-09,7.1126584622049904e-09
1964,2.1902286206909594e-08,7.909158661334459e-09
1965,1.0396882466068291e-08,5.47204326295514e-09
1966,1.0524241922382771e-08,1.6617224263271169e-09
1967,1.4791006641701188e-08,7.395503320850594e-09
1968,1.7965662735264232e-08,6.737123747768692e-09
1969,1.7712855182594467e-08,1.090021850558287e-08
1970,1.5635665207014426e-08,5.058597540852361e-09
1971,1.7470551227916076e-08,5.138397263237948e-09
1972,1.6416469961200164e-08,4.6171320100540925e-09
1973,9.37244681864513e-09,3.859242703185828e-09
1974,1.2376257352286757e-08,7.313243344242437e-09
1975,1.3707552426467373e-08,5.711480177694739e-09
1976,8.570290255249802e-09,7.427584769459372e-09
1977,2.4094806150287695e-08,1.1165885105413054e-08
1978,8.316828115084718e-09,2.3762365408686037e-09
1979,1.1118749476679568e-08,6.437170796402825e-09
1980,1.3075846183596695e-08,3.97960553399912e-09
1981,1.5813874654213578e-08,4.427884725544118e-09
1982,1.8001756529884005e-08,8.690503427999374e-09
1983,9.47297440490047e-09,8.209910973278056e-09
1984,1.739702604197646e-08,4.059305780401701e-09
1985,1.6843562988810845e-08,4.812446441349039e-09
1986,1.6784559520033326e-08,3.5966913891627428e-09
1987,2.3832186002437084e-08,7.944062296871834e-09
1988,1.139345240375178e-08,7.195864348830128e-09
1989,9.329808037250586e-09,2.7440609784434855e-09
