year,anciens_ADJ yeux_NOUN,anciens_ADJ dieux_NOUN
1800,0.0,9.432493452976587e-09
1801,0.0,3.5717739876872656e-08
1802,0.0,1.5888664961494214e-07
1803,0.0,7.801356893821776e-09
1804,0.0,3.9549615138412264e-08
1805,0.0,7.391481915419718e-08
1806,0.0,8.645007376628655e-09
1807,8.540865792383556e-09,2.8469552049159574e-08
1808,2.2660739951163578e-09,4.078933235618365e-08
1809,0.0,7.228897480615615e-08
1810,0.0,2.574139346123161e-08
1811,2.5070767684098882e-09,5.2648610804340024e-08
1812,0.0,3.467370657261881e-08
1813,0.0,2.3005932492381476e-08
1814,0.0,6.293354104514037e-08
1815,0.0,2.697223555614414e-09
1816,0.0,1.622322720606917e-08
1817,0.0,2.0239354414641753e-08
1818,0.0,1.0729059418679299e-08
1819,0.0,1.4491469912947252e-08
1820,0.0,2.3732963150280284e-08
1821,0.0,1.9722976807301507e-08
1822,0.0,5.514088741165324e-08
1823,0.0,3.261286618538861e-08
1824,0.0,4.378978424313118e-08
1825,0.0,2.3774695545597524e-08
1826,0.0,1.5854371593349015e-08
1827,0.0,3.2260456528376835e-08
1828,0.0,3.3937515242499217e-08
1829,0.0,7.372931332128019e-08
1830,0.0,2.9223141018164256e-08
1831,0.0,5.76874619184764e-08
1832,0.0,1.7588959622116818e-08
1833,0.0,6.255159235024621e-08
1834,9.334530925997342e-10,3.733812548034621e-08
1835,0.0,9.378229037793062e-08
1836,0.0,5.779845224651581e-08
1837,0.0,4.5226290268374214e-08
1838,0.0,4.355391669541575e-08
1839,0.0,3.0063343814390464e-08
1840,6.369688665408546e-10,2.7389661205745597e-08
1841,0.0,3.9165346077396634e-08
1842,0.0,3.7566284305512454e-08
1843,0.0,5.1390127708828004e-08
1844,0.0,6.696044918541588e-08
1845,0.0,4.6873913861489314e-08
1846,0.0,7.669396850928933e-08
1847,0.0,3.829188699455699e-08
1848,8.045221711050488e-10,2.896279749364794e-08
1849,1.6758829879393033e-09,6.28456133799915e-08
1850,0.0,6.110096428812994e-08
1851,3.8696632564949596e-09,6.191461299209777e-08
1852,0.0,3.385483537954315e-08
1853,0.0,3.1054045557254994e-08
1854,0.0,4.468271530555512e-08
1855,5.306937111981824e-10,8.119613426060823e-08
1856,0.0,4.193523306383895e-08
1857,0.0,9.958278424093692e-08
1858,0.0,6.166031685239659e-08
1859,0.0,5.9578429745243966e-08
1860,0.0,7.32349441090463e-08
1861,3.772770984511453e-09,7.734180229590493e-08
1862,0.0,7.048058581204941e-08
1863,0.0,6.343168434952418e-08
1864,0.0,6.185198841990314e-08
1865,0.0,5.6482133636848175e-08
1866,0.0,5.498142519044791e-08
1867,3.88224918879132e-09,7.958610837022206e-08
1868,2.9639244392143382e-09,7.95319721191845e-08
1869,0.0,8.057806599737205e-08
1870,1.7202146374017957e-09,8.027668130239363e-08
