year,cents_ADJ années_NOUN
1800,1.6349655140857067e-07
1801,1.4763331535050384e-07
1802,1.857407312400028e-07
1803,9.751695984050457e-08
1804,9.39303390623536e-08
1805,2.04687196969644e-07
1806,9.221341201737232e-08
1807,2.6761378535411495e-07
1808,1.2690014727922971e-07
1809,4.743964154840796e-08
1810,1.8955026348521642e-07
1811,6.518399686683551e-08
1812,1.360276229434021e-07
1813,6.614205716459765e-08
1814,1.195737269199526e-07
1815,5.664169577812572e-08
1816,1.7613788827475219e-07
1817,6.912517847013078e-07
1818,3.6240379586161e-07
1819,8.34294610285724e-07
1820,2.966620229472028e-07
1821,4.092517542630958e-07
1822,2.0652768739637395e-07
1823,1.324279992331867e-07
1824,1.9536980744305765e-07
1825,2.3686641270614928e-07
1826,3.038754528006393e-07
1827,3.8528202139787027e-07
1828,2.595761259271967e-07
1829,6.652784350080765e-07
1830,2.46309326712435e-07
1831,3.8978015481916373e-07
1832,4.7219592147484946e-07
1833,1.0656938087549861e-07
1834,2.0162586622518575e-07
1835,2.9798565037708613e-07
1836,2.2648927711088618e-07
1837,2.1708619613036717e-07
1838,2.436494526136812e-07
1839,2.0065533590241103e-07
1840,1.834470282346956e-07
1841,1.8170152316088206e-07
1842,1.9856464916756522e-07
1843,2.3036953678001737e-07
1844,1.7069424984583748e-07
1845,1.6182660544927785e-07
1846,2.628671040838526e-07
1847,2.3514455449458183e-07
1848,1.3515972341338056e-07
1849,1.2150151462719805e-07
1850,1.330643186747693e-07
1851,1.6381574141632882e-07
1852,1.1133032984389502e-07
1853,1.713944470793649e-07
1854,1.257350845662586e-07
1855,1.5867742320097022e-07
1856,1.3357147565784544e-07
1857,1.0983395526409367e-07
1858,1.1402265442939097e-07
1859,1.7618920367112878e-07
1860,1.858336702298402e-07
1861,1.2638783175589197e-07
1862,1.572259265003595e-07
1863,1.1038112290862045e-07
1864,1.107582150439157e-07
1865,1.6568091609769908e-07
1866,1.2018064410312945e-07
1867,1.6645142864035734e-07
1868,1.155930533514038e-07
1869,1.4699392636430275e-07
1870,9.059797179133966e-08
1871,6.266494523288202e-08
1872,1.009905687965329e-07
1873,8.08110627303904e-08
1874,1.3084394367979257e-07
1875,1.350280456335895e-07
1876,1.4449975083152822e-07
1877,1.5833128941267205e-07
1878,3.0678569373776554e-07
1879,3.6900325994793093e-07
1880,1.296404974482357e-07
1881,1.0249586068766803e-07
1882,7.786800892972678e-08
1883,9.984555759956493e-08
1884,9.770511155693384e-08
1885,7.734762874633816e-08
1886,8.841245602297931e-08
1887,8.226444947467826e-08
1888,7.672143453874014e-08
1889,4.009687515349469e-08
1890,8.32407067719032e-08
1891,5.864282570655632e-08
1892,7.396844381446499e-08
1893,7.328515749804865e-08
1894,5.230277722034771e-08
1895,5.416752912879019e-08
1896,6.958494225273171e-08
1897,4.8944393427063915e-08
1898,5.8846890027552945e-08
1899,6.246163763989898e-08
1900,6.125442553184257e-08
1901,4.359216276839106e-08
1902,5.2049010434984666e-08
1903,8.046328048294527e-08
1904,4.83716249277677e-08
1905,8.20560686065619e-08
1906,3.035068729673185e-08
1907,5.142843306771283e-08
1908,6.974172350737717e-08
1909,5.4459736276157855e-08
1910,4.3287620599130605e-08
1911,5.852411533169288e-08
1912,4.688478938419394e-08
1913,5.780258760523793e-08
1914,8.036092680185902e-08
1915,9.424609714869803e-08
1916,4.9443578120644815e-08
1917,9.979446247143642e-08
1918,7.121553124989077e-08
1919,8.194984957299312e-08
1920,5.7548959375708364e-08
1921,7.572747762196741e-08
1922,5.4596721810185045e-08
1923,6.263409346729532e-08
1924,9.153053071031536e-08
1925,7.91868828287079e-08
1926,8.582526334066642e-08
1927,5.9090890403012963e-08
1928,4.6846768242403414e-08
1929,4.9017788938954254e-08
1930,6.302162347537887e-08
1931,5.1324104077821175e-08
1932,5.8085543486186e-08
1933,5.6206243215228824e-08
1934,7.308764082836205e-08
1935,9.454944205344873e-08
1936,8.244806082302603e-08
1937,6.547381303789734e-08
1938,5.0564334941327616e-08
1939,5.964679417047591e-08
1940,4.81798743123818e-08
1941,1.0330258959356797e-07
1942,1.153000468434584e-07
1943,6.67744117777147e-08
1944,5.462416652335378e-08
1945,8.278315277721049e-08
1946,4.315542412314244e-08
1947,3.099426493236024e-08
1948,4.566192757238241e-08
1949,5.2030145525350235e-08
1950,3.296961992305114e-08
1951,9.168805803483338e-08
1952,6.959570697517847e-08
1953,5.386913670690774e-08
1954,4.49536656788041e-08
1955,4.411235821066839e-08
1956,4.883839466174322e-08
1957,9.806891654307037e-08
1958,5.7905705119765116e-08
1959,6.045583234026708e-08
1960,5.7442917977823527e-08
1961,6.878677538679767e-08
1962,8.688480335194981e-08
1963,7.435961180135564e-08
1964,9.247631993503092e-08
1965,6.238129657276659e-08
1966,8.751737823331496e-08
1967,6.015009290649687e-08
1968,6.512552630510982e-08
1969,6.721801781850445e-08
1970,5.7484061954937715e-08
1971,4.932861585871251e-08
1972,4.2580218462262565e-08
1973,5.843995865006946e-08
1974,5.006758740933037e-08
1975,5.3687912782152125e-08
1976,6.170608912725584e-08
1977,5.05403221495726e-08
1978,4.217819693508318e-08
1979,6.320131262782525e-08
1980,5.400893243745486e-08
1981,6.57857128771866e-08
1982,4.034876610603533e-08
1983,5.115406054301275e-08
1984,4.929157171318366e-08
1985,4.271046094572739e-08
1986,2.8174081734277934e-08
1987,4.0331389783432314e-08
1988,4.8572086797094016e-08
1989,6.201577917863688e-08
1990,4.576866885486197e-08
1991,4.2202550787351356e-08
1992,5.289546578524096e-08
1993,3.932837344677864e-08
1994,7.437646587504787e-08
1995,4.7175323203418884e-08
1996,5.97866289808735e-08
1997,5.4182308417694e-08
1998,5.2449422582867555e-08
1999,4.5702012840820316e-08
2000,3.35770380388567e-08
2001,3.1544725942467267e-08
2002,6.17752249354453e-08
2003,4.000246178748057e-08
2004,4.052407831522942e-08
2005,5.809836878256647e-08
2006,5.0650047711542356e-08
2007,3.7947554432093966e-08
2008,4.2148652568130274e-08
2009,4.672828524121542e-08
2010,4.7237929123866707e-08
2011,5.009403380995536e-08
2012,7.251058065094185e-08
2013,7.949006430862937e-08
2014,9.701194159106308e-08
2015,7.602853457910896e-08
2016,8.471780432728337e-08
2017,6.641214156388742e-08
2018,6.479481129417763e-08
2019,8.137651263950829e-08
