year,énormes_ADJ dents_NOUN
1800,2.829747991484055e-08
1801,5.2386017301842e-08
1802,7.832440473976021e-08
1803,6.436119548425268e-08
1804,3.213406074564773e-08
1805,2.842877711017877e-09
1806,2.0171682990621775e-08
1807,3.131650672116848e-08
1808,4.5321478125970316e-08
1809,2.9367397402779716e-08
1810,2.574139479349924e-08
1811,1.7549536934780008e-08
1812,6.668020802180763e-08
1813,0.0
1814,3.1466771410748606e-09
1815,0.0
1816,0.0
1817,9.808302792180257e-08
1818,2.6226590676969863e-08
1819,2.070210003424222e-09
1820,0.0
1821,2.9584463767662328e-09
1822,2.5064039732569654e-08
1823,9.882686669016039e-09
1824,1.6842225392110777e-08
1825,1.7610886970942374e-08
1826,9.688783109140786e-09
1827,3.6869092667757286e-08
1828,1.559291185060374e-08
1829,3.8579290873030914e-08
1830,3.026682549034376e-08
1831,4.677361609140007e-09
1832,1.6235963684607668e-08
1833,1.2741991461950875e-08
1834,2.7070139907436896e-08
1835,3.479020449503878e-08
1836,2.4866775305554256e-08
1837,2.5048407792382932e-08
1838,2.4617431648721322e-08
1839,4.1249702320556025e-08
1840,1.52872523528913e-08
1841,1.0914932957462042e-08
1842,3.018719141323345e-08
1843,2.008349753168659e-08
1844,3.951764071530306e-08
1845,1.3392547515422848e-08
1846,1.4636253098387897e-08
1847,1.88762818709165e-08
1848,4.02261068899179e-09
1849,1.256912263158938e-08
1850,3.326607966869233e-08
1851,1.7413483988093503e-08
1852,2.6042181744401205e-09
1853,2.7470886010405593e-08
1854,3.013485283531736e-08
1855,3.131092896069276e-08
1856,1.9155599773057475e-08
1857,1.610898081594314e-08
1858,1.565976326389773e-08
1859,1.1202780925145817e-08
1860,1.327383358784573e-08
1861,1.131831339762357e-08
1862,2.3041730301542884e-08
1863,2.1976331865403154e-08
1864,3.068625886726295e-08
1865,1.97687466396701e-08
1866,5.838735717134114e-09
1867,1.067618526917613e-08
1868,1.0373735648272486e-08
1869,9.278686263769487e-09
1870,3.612450782952692e-08
1871,1.0621176826930423e-08
1872,1.7537283625301825e-08
1873,1.1972009161809183e-08
1874,1.1351757756017378e-08
