year,légers_ADJ doutes_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,3.900678446910888e-09
1804,0.0
1805,1.9900143755080535e-08
1806,0.0
1807,2.562259560079383e-08
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,3.467370746079723e-08
1813,5.751483289628823e-09
1814,1.8880061958270744e-08
1815,2.4275012222574333e-08
1816,2.3176038865813098e-09
1817,1.2454987263765815e-08
1818,1.1921176934492905e-08
1819,1.1386155129855524e-08
1820,4.2719332071783356e-08
1821,7.88919063410276e-09
1822,1.804610860745015e-08
1823,5.929612356680991e-09
1824,1.3473780313688621e-08
1825,2.0252519661312363e-08
1826,3.5231937367541377e-09
1827,1.2904182611350734e-08
1828,1.1006761724274838e-08
1829,1.714635211591542e-09
1830,2.0873671680021744e-09
1831,7.795603274018958e-09
1832,8.117981842303834e-09
1833,1.1583628500844156e-09
1834,5.600718555598405e-09
1835,3.025235173481633e-09
1836,1.8146025126952736e-08
1837,1.6698937344017395e-08
1838,6.943378316748294e-09
1839,5.5931801412612e-09
1840,1.0828470564661075e-08
1841,1.733548060656176e-08
1842,4.695785538189057e-09
1843,8.269675610961258e-09
1844,4.9397050894128824e-09
1845,1.6182660544927785e-08
1846,8.196302303531411e-09
1847,9.707802561820245e-09
1848,8.84974404868899e-09
1849,0.0
1850,0.0
1851,9.029214709244116e-09
1852,1.3021090872200602e-09
1853,4.180352064508952e-09
1854,1.0391328908454511e-09
1855,4.2455496895854594e-09
1856,1.501384794266869e-08
1857,9.274867096564776e-09
1858,7.34051397444091e-09
1859,7.638259802433822e-09
1860,8.696649622663699e-09
1861,9.431927461278633e-10
1862,1.1746764450037972e-08
1863,1.897955925755923e-08
1864,9.589456340108882e-09
1865,8.943004559114343e-09
1866,1.3137154475373336e-08
1867,3.88224918879132e-09
1868,6.421836395986702e-09
1869,4.883519144627257e-10
1870,5.734048791339319e-10
1871,0.0
1872,3.628403577593531e-09
1873,1.3169209722718733e-08
1874,1.8521287614703397e-08
1875,9.154443425529735e-09
1876,7.255217759905008e-09
1877,3.710889595609501e-09
1878,3.6234530931267273e-09
1879,4.887460214320072e-09
1880,3.8507077526617195e-09
1881,1.3945015142624584e-09
1882,3.3276925659464496e-09
1883,0.0
1884,5.281357573494461e-09
1885,1.933690763067375e-09
1886,7.098810428374236e-09
1887,3.264462256069578e-09
1888,3.1703073499755874e-09
1889,5.012109394186837e-09
1890,7.209825181320184e-09
1891,3.1871101313640793e-09
1892,4.387958441043338e-09
1893,1.847525021858587e-09
1894,1.8904617871129403e-09
1895,1.8055843487019274e-09
1896,7.66613794667137e-09
1897,6.409385022720926e-09
1898,5.6583546736987955e-09
1899,4.4220627160029835e-09
1900,7.26747462209687e-09
1901,5.588738916095792e-10
1902,3.928227076954727e-09
1903,2.1600881083827517e-09
1904,8.061937784020756e-09
1905,1.0321518084666081e-09
1906,1.4918134283448126e-08
1907,6.1714118260169926e-09
