year,nouveaux_ADJ hommages_NOUN,nouveaux_ADJ dommages_NOUN
1800,2.829747991484055e-08,0.0
1801,5.714838380299625e-08,2.1430643926123594e-08
1802,6.713520406265161e-09,1.1189200677108602e-08
1803,2.9255089017965474e-08,3.900678446910888e-09
1804,4.449331569844617e-08,9.887403784603066e-09
1805,8.528632911009026e-09,2.842877711017877e-09
1806,7.492339904047185e-08,0.0
1807,3.9857372513552036e-08,5.693910232196231e-09
1808,6.118399653587403e-08,1.1330369531492579e-08
1809,4.518061036407062e-09,0.0
1810,3.978215445954447e-08,2.3401267590372754e-09
1811,3.760615285841595e-08,5.0141535368197765e-09
1812,0.0,8.00162425207418e-09
1813,2.0130190847567064e-08,0.0
1814,1.195737269199526e-07,6.293354282149721e-09
1815,2.1577788444915313e-08,0.0
1816,1.3905623319487859e-08,2.3176038865813098e-09
1817,3.113746771532533e-08,0.0
1818,1.668964877410417e-08,3.5763532135746345e-09
1819,4.864993385922389e-08,9.315945348475907e-09
1820,2.4919611263385377e-08,0.0
1821,5.029358973729359e-08,3.94459531705138e-09
1822,4.0102463572111446e-08,3.0076847679083585e-09
1823,6.324919610278812e-08,1.087095569118901e-08
1824,3.2000230021367315e-08,2.6105450245950124e-08
1825,6.60408261410339e-08,1.0566531649658373e-08
1826,2.6423952803611428e-08,1.3211976401805714e-08
1827,4.147773030593882e-08,1.2904182611350734e-08
1828,2.109629271274116e-08,1.3758452155343548e-08
1829,2.5719527840806222e-08,1.7146351893870815e-08
1830,3.339787468803479e-08,8.349468672008697e-09
1831,1.091384405071949e-08,4.677361786775691e-08
1832,2.841293600397421e-08,1.7588959622116818e-08
1833,3.938433579264711e-08,2.548398292390175e-08
1834,1.120143711119681e-08,8.401078055442213e-09
1835,3.403389570166837e-08,1.1344631900556124e-08
1836,2.4866775305554256e-08,9.409050427677812e-09
1837,3.1310509740478665e-08,1.1828414692161004e-08
1838,1.4517972601879592e-08,8.837027110075724e-09
1839,3.355908262392404e-08,1.8876983531868063e-08
1840,1.6561189752906103e-08,2.0383003729307347e-08
1841,1.0914932957462042e-08,3.274479709602929e-08
1842,1.8112315203211438e-08,2.2808102073668124e-08
1843,3.071593823733565e-08,3.5441467538532834e-09
1844,2.140538946093784e-08,2.140538946093784e-08
1845,2.0088821273134272e-08,1.3950569588416784e-08
1846,1.0538101946622191e-08,4.27378594736183e-08
1847,1.4561703842730367e-08,2.588747349818732e-08
1848,2.011305433313737e-08,2.976732105253177e-08
1849,1.005529792763582e-08,1.9272654583346593e-08
1850,1.0183494048021657e-08,1.4935791270431764e-08
1851,1.805842941848823e-08,1.7413483988093503e-08
1852,2.2135854038651814e-08,5.859491025717034e-08
1853,1.7318601663873778e-08,2.508211416341055e-08
1854,3.27326857285648e-08,3.065441944727354e-08
1855,1.2736649068756378e-08,1.3798036491152743e-08
