year,quelques_DET yeux_NOUN,quelques_DET dieux_NOUN
1800,5.973912209356058e-08,5.973912431400663e-08
1801,5.476719877606229e-08,1.0477203105097033e-07
1802,2.0140561218795483e-08,1.6783801015662903e-07
1803,5.655983770225248e-08,3.705644502360883e-08
1804,7.662737999680758e-08,3.707776485839531e-08
1805,4.264316544322355e-08,7.107194033295627e-08
1806,2.0171683878800195e-08,2.0171683878800195e-08
1807,5.693910232196231e-09,8.256169525822088e-08
1808,4.305540457494317e-08,1.404965885853926e-07
1809,9.487928309681593e-08,2.9367396514601296e-08
1810,1.4040760554223652e-08,4.212228166267096e-08
1811,1.0028307073639553e-08,6.016984421819416e-08
1812,6.13457871168066e-08,2.400487453257938e-08
1813,8.052076339026826e-08,1.1502966579257645e-08
1814,6.922689976818219e-08,0.0
1815,7.821948599939788e-08,1.6183341333686485e-08
1816,6.952811304472561e-08,5.0987285504788815e-08
1817,4.0478710161551135e-08,3.580808893843823e-08
1818,4.887682791832049e-08,4.887682791832049e-08
1819,3.105314938522952e-08,2.5877625375869684e-08
1820,1.6613073583471305e-08,5.577245953958254e-08
1821,3.944595405869222e-08,5.12797372342888e-08
1822,1.604098542884458e-08,6.215881853677274e-08
1823,1.9765373338032077e-08,2.8659791428964354e-08
1824,2.6947560627377243e-08,4.294767474988248e-08
1825,8.189061873054015e-08,6.86824590534485e-08
1826,1.6735169694470642e-08,3.699353257058391e-08
1827,5.2538454919925925e-08,4.2399456390285195e-08
1828,1.3758452155343548e-08,1.4675682002973645e-08
1829,3.600733933240008e-08,3.086343269842473e-08
1830,3.1310506187764986e-08,2.2961039292113128e-08
1831,4.989185953263586e-08,2.6505050598757407e-08
1832,7.441483085290912e-08,3.3824925083081325e-08
1833,3.8225973497674204e-08,5.212632636641956e-08
1834,1.866906162995008e-08,2.8003591889813606e-08
1835,5.596685070941021e-08,3.554651328840919e-08
1836,3.427582484505365e-08,3.5619975413681004e-08
1837,4.035576894878545e-08,2.7831563276237148e-08
1838,1.8936486156917454e-08,3.597932307641827e-08
1839,2.9364195075487487e-08,1.1885507689157748e-08
1840,2.8026629905752998e-08,2.7389660983700992e-08
1841,2.5040138851295524e-08,1.7977536792557203e-08
1842,7.647422251011449e-08,2.2137274235944915e-08
1843,3.1306629344474146e-08,3.0125247241219455e-08
1844,3.9517641825526084e-08,4.7201628050608235e-08
1845,5.1896119845906696e-08,5.357018939555758e-08
1846,2.6930706553685013e-08,2.6930706553685013e-08
1847,1.4561703842730367e-08,1.4022381478184798e-08
1848,3.459445352405055e-08,2.976732105253177e-08
1849,6.535943475327599e-08,2.5976186535103807e-08
1850,1.4935791270431764e-08,1.765139057141596e-08
1851,1.676854055610022e-08,2.3217978650791338e-08
1852,3.255272873481374e-08,1.3672145193766028e-08
1853,2.20961471342207e-08,2.448492075757258e-08
1854,2.1821791262865986e-08,2.5978321716024766e-08
1855,3.3964397516683675e-08,4.563965916304369e-08
1856,3.4169448159815374e-08,2.8992259648585872e-08
1857,3.7099468830348314e-08,2.001418769603802e-08
1858,2.9851424443450014e-08,2.6915217332668107e-08
1859,1.476730293603623e-08,1.4767303158080836e-08
1860,2.4259074749011234e-08,1.8308735638683515e-08
1861,2.5937800796071997e-08,1.6977470096435354e-08
1862,5.82820236516568e-08,3.0722306948449685e-08
1863,4.345320192555846e-08,9.989241711583219e-09
1864,2.685047595374357e-08,2.9247840371837697e-08
1865,2.3063536858103362e-08,3.3418594558298764e-08
1866,1.6056522000873485e-08,2.77339928800302e-08
1867,2.91168689159349e-08,1.7955402498159856e-08
1868,2.1241458370013788e-08,1.877152122631287e-08
1869,3.857980201971145e-08,2.24641887314192e-08
1870,4.587239077480376e-08,1.9495766334642894e-08
1871,3.080141297573391e-08,2.549082545044712e-08
1872,3.205089882385437e-08,3.0236696257901485e-08
1873,2.0352414864532875e-08,2.57398196090719e-08
1874,2.0911131493051016e-08,2.9275585511356894e-08
1875,6.75140180983469e-08,1.7736734803097676e-08
1876,4.897272098958183e-08,3.869449449744877e-08
1877,2.1646855308254942e-08,3.0305599030278074e-08
1878,1.8117265909722846e-08,3.442280660514996e-08
1879,1.7717042943843353e-08,1.9549841301369497e-08
1880,2.759673911612026e-08,3.337280074511284e-08
1881,2.719278008322945e-08,1.464226617731157e-08
1882,5.2577541653775484e-08,4.2594464844114555e-08
1883,3.349249588779912e-08,8.847074461915128e-09
1884,3.630933420595284e-08,1.5844072720483382e-08
1885,1.9336907408629145e-08,2.4493415740067803e-08
1886,2.7749894160322697e-08,2.2587123060802128e-08
1887,3.3297514079322355e-08,1.6975204464309e-08
1888,2.0924028287794272e-08,5.07249175996094e-09
1889,2.0048437576747347e-08,1.8795409673089125e-08
1890,3.277193122430688e-08,1.1797895993481688e-08
1891,1.9122660788184476e-08,1.4023284311548423e-08
