year,ses_DET yeux_NOUN,ses_DET dieux_NOUN
1800,3.450406188676425e-05,1.5846589591639315e-06
1801,3.3608010426178225e-05,9.548542081461164e-07
1802,2.996467912907974e-05,1.1054930268983298e-06
1803,3.191730081653077e-05,1.1194946960557672e-06
1804,3.6257108490644896e-05,2.1950036277473828e-06
1805,3.653950864190847e-05,1.7540555992123785e-06
1806,2.7900320105800347e-05,1.4984679772567233e-06
1807,2.5616901552893978e-05,1.1729454740816436e-06
1808,2.9701432595174992e-05,1.853648484484438e-06
1809,2.538472597279906e-05,1.2311716537372064e-06
1810,3.952474207835621e-05,2.148236388777036e-06
1811,2.8826368634327082e-05,1.3513143506393988e-06
1812,2.6912131033896003e-05,9.815326471596109e-07
1813,3.0379334930330515e-05,1.483882745567655e-06
1814,2.5497525143691746e-05,1.2146174270810661e-06
1815,2.351709167669469e-05,9.817894048858022e-07
1816,2.675673772500886e-05,9.757112344743746e-07
1817,2.7477259322949976e-05,1.8526793272855002e-06
1818,3.165191753851104e-05,1.4615363848058394e-06
1819,3.0402068318835518e-05,1.955313404522485e-06
1820,3.261027802636818e-05,1.3741385007648432e-06
1821,2.9223534284028574e-05,1.4555556990814011e-06
1822,3.093103043738665e-05,1.346440200222787e-06
1823,2.8087584837521717e-05,1.1710983676138653e-06
1824,3.0324426234074053e-05,1.751591494070226e-06
1825,2.9271052994772617e-05,1.8262488641340724e-06
1826,2.7310917516842892e-05,1.2613033248953798e-06
1827,2.4136350816661434e-05,1.3641564375888038e-06
1828,2.6153899625569466e-05,1.2749498843334095e-06
1829,2.669258390142204e-05,1.0819348617019386e-06
1830,3.08471114749409e-05,1.3442644464234377e-06
1831,2.804078428653156e-05,1.9395459993631903e-06
1832,3.4198352295788936e-05,1.5180626125044228e-06
1833,3.1413643000632874e-05,1.722485508892646e-06
1834,2.9645537324540783e-05,1.353506949186567e-06
1835,3.165833015827957e-05,1.408246951939418e-06
1836,3.0483977525364025e-05,1.3044975624154631e-06
1837,2.8849502314187703e-05,1.3143456012443266e-06
1838,2.710189926347084e-05,1.0434003430148664e-06
1839,2.691787892672437e-05,1.0522170610371973e-06
1840,2.7604320052887488e-05,9.439878865258322e-07
1841,2.719680185236939e-05,1.1717500676411419e-06
1842,2.9066241268083104e-05,9.096407156405917e-07
1843,2.808913404805935e-05,1.3036553232481651e-06
1844,3.03308877391828e-05,9.742196027673344e-07
1845,3.0301753554340394e-05,9.480807019457416e-07
1846,2.741311720910744e-05,1.093035402632836e-06
1847,2.5968371005546942e-05,8.413428673748058e-07
1848,2.4697221988390083e-05,7.482056192387176e-07
1849,2.4393314902226848e-05,8.379414691006559e-07
1850,2.5292405553045683e-05,1.176532963498289e-06
1851,2.3733934881420282e-05,1.1099483794296816e-06
1852,2.6593624511406233e-05,9.381695846855109e-07
1853,2.850403097909293e-05,9.787996271271027e-07
1854,2.9359140512497106e-05,1.0271828916330605e-06
1855,3.1411229883815395e-05,1.327795647654284e-06
1856,2.945717051261454e-05,9.84701367556795e-07
1857,2.9637593456754985e-05,1.4937418288951676e-06
1858,3.2142153486347524e-05,1.3007390666786023e-06
1859,3.377689392891625e-05,1.657502437524272e-06
1860,3.403914411137521e-05,1.0724341841239493e-06
1861,3.206100916486321e-05,1.1577690717246014e-06
1862,3.181746592417767e-05,1.2126275317214663e-06
1863,3.1499575811722025e-05,1.378515326777574e-06
1864,3.088284211116843e-05,1.6637706110600448e-06
