year,grands_ADJ hommages_NOUN,grands_ADJ dommages_NOUN
1800,1.8864987794131594e-08,3.6157891258881136e-07
1801,3.809892135109294e-08,3.6908329548168695e-07
1802,2.0140561218795483e-08,3.2224897950072773e-07
1803,2.9255089017965474e-08,5.168399184185546e-07
1804,7.4155526164076946e-09,4.32573926900659e-07
1805,5.401467717547348e-08,3.01345039588341e-07
1806,1.152667650217154e-08,3.659719709503406e-07
1807,1.7081731584767113e-08,5.209927849136875e-07
1808,4.5321479902327155e-09,4.03361184453388e-07
1809,2.9367397402779716e-08,1.027858843372087e-06
1810,4.914266327205041e-08,2.78475084769525e-07
1811,4.011322829455821e-08,4.437525831235689e-07
1812,1.8670457180292033e-08,3.6274030890126596e-07
1813,8.627225156487839e-09,2.5594101771275746e-07
1814,9.440030979135372e-09,5.192017056288023e-07
1815,1.0788894222457657e-08,2.6702514333010186e-07
1816,9.270415546325239e-09,2.3639559287857992e-07
1817,1.8682481339737933e-08,3.954458520638582e-07
1818,2.5034472272977837e-08,3.945909838876105e-07
1819,1.5526575580793178e-08,5.196226879888854e-07
1820,1.542642635854463e-08,3.856606269891927e-07
1821,2.2681422962023134e-08,3.540274349234096e-07
1822,5.012807946513931e-08,4.5115271518625377e-07
1823,2.4706716672540097e-08,6.067969593459566e-07
1824,2.947389532437228e-08,7.730581614850962e-07
1825,3.258013947515792e-08,6.991521672716772e-07
1826,3.787433300317389e-08,1.6576626649111859e-06
1827,2.3043183361437514e-08,6.8392165530895e-07
1828,2.5682442839070063e-08,4.2192584714939585e-07
1829,1.0287811491593857e-08,4.7495396415797586e-07
1830,6.262101504006523e-09,4.6861393343533564e-07
1831,7.795603274018958e-09,4.1472608813819534e-07
1832,1.352996914505411e-08,4.018400829863822e-07
1833,2.3167256557599103e-08,4.146938863414107e-07
1834,8.401078055442213e-09,3.743146805845754e-07
1835,3.100866052818674e-08,5.626937422675837e-07
1836,2.688300071440608e-08,7.74902503053454e-07
1837,1.2524203896191466e-08,5.058386705059092e-07
1838,3.7241754569095065e-08,6.716140319440456e-07
1839,1.7478688718597368e-08,5.516274086403428e-07
1840,1.8472096741106725e-08,5.95565893490857e-07
1841,1.0272877659645019e-08,4.0898893871599284e-07
1842,2.3478927246856074e-08,4.232915387092362e-07
1843,6.97015494210973e-08,3.4968914519595273e-07
1844,2.4698525891153622e-08,4.961659669788787e-07
1845,2.9017185099178278e-08,4.4083799366489984e-07
1846,4.0981507964943376e-08,4.2854949811044207e-07
1847,3.937053350000497e-08,3.672785169328563e-07
1848,4.022610866627474e-08,4.2720128590190143e-07
1849,2.3462362719328667e-08,3.795875045398134e-07
1850,8.146795238417326e-09,3.822204632797366e-07
1851,6.449438760824933e-09,4.2888768803095445e-07
1852,6.510545436100301e-09,3.548247207163513e-07
1853,1.2541057081705276e-08,3.200955518423143e-07
1854,1.7145692865483397e-08,4.114966145607468e-07
1855,1.8574279891936385e-08,3.725469923665514e-07
1856,2.7439103433835044e-08,3.8621831777163607e-07
1857,2.4895696171256532e-08,3.783169404414366e-07
1858,9.297984604472731e-09,3.890472441980819e-07
1859,1.4258085379026397e-08,3.773300534248847e-07
1860,1.2816115280145368e-08,3.908915005013114e-07
1861,1.3676294763342867e-08,3.37663010441247e-07
1862,1.1746764450037972e-08,2.697237846405187e-07
1863,2.097740825490746e-08,3.251498128520325e-07
1864,2.0617330065419992e-08,2.406953569789039e-07
1865,2.4946274379544775e-08,3.468944385076611e-07
1866,2.3354942868536455e-08,2.573909227976401e-07
1867,1.94112459439566e-08,3.489171547244041e-07
1868,1.2349684830326169e-08,3.0874213052811683e-07
1869,1.0743741896135361e-08,2.466177306814643e-07
1870,2.121598008386627e-08,3.0849182053316326e-07
1871,1.4869648623516696e-08,3.802381343120942e-07
1872,1.3908880269752899e-08,3.17485302048226e-07
1873,1.855661402316855e-08,3.064834288579732e-07
1874,1.0156835372754358e-08,3.047050540772034e-07
1875,1.0298748520654044e-08,3.226941203138267e-07
1876,2.1765654167893445e-08,2.3095776668924373e-07
1877,8.658742167710898e-09,3.2841373354131065e-07
1878,1.2078177569208037e-08,2.6511600026424276e-07
1879,7.94212251520321e-09,3.2196143706642033e-07
1880,1.7328185109022343e-08,2.939373473509477e-07
1881,2.091752193678076e-08,2.2660650245143188e-07
1882,1.2645231528551903e-08,2.875126483559143e-07
1883,1.7694148368718743e-08,2.850021871836361e-07
1884,1.0562715146988921e-08,2.752907732883614e-07
1885,1.4180398189012067e-08,2.7651776690618135e-07
1886,7.744156427236248e-09,2.587838991985336e-07
1887,1.1752064210668323e-08,2.8857846245955443e-07
1888,1.9021844099853524e-09,3.233713528061344e-07
1889,6.265136853755848e-09,2.744129972143128e-07
1890,7.865263995654459e-09,2.851158171779389e-07
1891,8.286486163910922e-09,2.5751847942956374e-07
1892,5.014809900671935e-09,2.1438312103327917e-07
1893,8.005941687372342e-09,2.592693419956049e-07
1894,1.071261657159539e-08,2.0858095695075463e-07
1895,1.5046536461227333e-08,2.7866184382219217e-07
1896,8.845543852942228e-09,2.9544113999691035e-07
1897,4.078699600285063e-09,2.155884004650943e-07
1898,9.05336783318944e-09,1.9973992948507657e-07
1899,9.39688327150634e-09,2.476355120961671e-07
1900,5.710158568206225e-09,2.5591893404453003e-07
1901,1.0059729937950124e-08,2.2522617371123488e-07
1902,2.9461704187383475e-09,2.1801660921028088e-07
1903,8.100330184390714e-09,2.0250826082701678e-07
1904,4.837162670412454e-09,1.7951248310055234e-07
1905,4.64468330463319e-09,1.9972137010881852e-07
1906,6.6874399351490865e-09,2.2171435887230473e-07
1907,1.0799970695529737e-08,2.4068506832009007e-07
1908,8.349361202419914e-09,1.841770966848344e-07
