year,mes_DET doutes_NOUN
1800,6.256887292721558e-07
1801,9.715225033346542e-07
1802,7.474385768091452e-07
1803,5.285419391043433e-07
1804,5.116731429666288e-07
1805,4.918178357904424e-07
1806,4.985287667125249e-07
1807,5.352275707082299e-07
1808,6.367668103912649e-07
1809,4.292158044538752e-07
1810,7.020380259348258e-07
1811,4.4124551301649717e-07
1812,7.041429839205193e-07
1813,6.039057538487214e-07
1814,6.324820880365678e-07
1815,4.4773910068407474e-07
1816,5.49272137106982e-07
1817,8.173585399617878e-07
1818,6.675859296478848e-07
1819,6.92485256692521e-07
1820,5.790842543262897e-07
1821,9.092292074797115e-07
1822,7.007905651335022e-07
1823,5.652896781782601e-07
1824,5.86109443645455e-07
1825,5.309682400422844e-07
1826,6.244861028292803e-07
1827,6.212442293929143e-07
1828,6.182130931620122e-07
1829,4.4237588170403797e-07
1830,6.616954024707411e-07
1831,8.107427387216148e-07
1832,8.266811022394904e-07
1833,6.625835364815202e-07
1834,4.7419416215888077e-07
1835,5.808451604139009e-07
1836,6.438478443726581e-07
1837,5.378449809967378e-07
1838,4.6773121109566773e-07
1839,5.579197193128493e-07
1840,4.707200016440538e-07
1841,6.587482772602016e-07
1842,4.756159786012404e-07
1843,5.570216927708316e-07
1844,4.127397996711579e-07
1845,4.5590463670919235e-07
1846,4.654328584763334e-07
1847,3.9640192994738754e-07
1848,4.304193694792957e-07
1849,3.846151439557133e-07
1850,4.304223573114996e-07
1851,4.127640860218662e-07
1852,7.050920913798109e-07
1853,4.777545452583354e-07
1854,4.6033588319005503e-07
1855,5.259174606919714e-07
1856,4.5196861186980186e-07
1857,4.93520559530225e-07
1858,5.275382761738001e-07
1859,5.581022080036746e-07
1860,4.947935625665423e-07
1861,5.192276315568733e-07
1862,4.739367600592459e-07
1863,4.255417085374802e-07
1864,5.46119530042688e-07
1865,5.587024300979238e-07
1866,4.296336193476691e-07
1867,3.338734320124104e-07
1868,3.6653865898017557e-07
1869,5.308385269131577e-07
1870,4.214525977097594e-07
1871,3.133247226116964e-07
1872,4.668545923181e-07
1873,4.130342965424916e-07
1874,3.7998515267645416e-07
1875,3.8906383359460506e-07
1876,4.189888329619862e-07
1877,4.137641820278759e-07
1878,3.738195850644388e-07
1879,4.7347270282216414e-07
1880,4.52458159827529e-07
1881,3.9603843315916265e-07
1882,4.306034107059986e-07
1883,4.594159292992117e-07
1884,3.3338568972141047e-07
1885,3.2550461259717167e-07
1886,3.0266746620100093e-07
1887,3.336280585131135e-07
1888,2.9800889222997284e-07
1889,2.844372000154749e-07
1890,2.8380494399016243e-07
1891,2.8811473296030954e-07
1892,2.375766232631804e-07
1893,2.549584525723958e-07
1894,2.2622526252291664e-07
1895,2.461613348714309e-07
1896,2.683148210280706e-07
1897,2.5171402384671637e-07
1898,2.4274341825503143e-07
1899,2.725096202027544e-07
1900,2.5903355016509977e-07
1901,2.531698841679031e-07
1902,2.2980128644434217e-07
1903,2.262692282428702e-07
1904,2.0746052964426553e-07
1905,1.9662491723693165e-07
1906,2.0833947900200656e-07
1907,2.5148504967376084e-07
1908,2.1168086661305097e-07
1909,2.4974465873128793e-07
1910,2.2231667085037543e-07
1911,2.718711105131888e-07
1912,2.3129830850621147e-07
1913,2.7045246264734146e-07
1914,1.9487524838268655e-07
1915,1.8377989086104662e-07
1916,1.8129312229220318e-07
1917,2.1603856659169196e-07
1918,1.9756567404272118e-07
1919,2.1914679138035353e-07
1920,1.8097633969205162e-07
1921,2.4081336169601286e-07
1922,1.9846646459598105e-07
1923,2.728298644782967e-07
1924,2.243142693814093e-07
1925,2.5955699456403636e-07
1926,2.2069354699283394e-07
1927,3.0214400315031753e-07
1928,2.1366697655622602e-07
1929,2.328344965718543e-07
1930,2.121727895598724e-07
1931,1.7564249343848815e-07
1932,1.7754449821438811e-07
1933,1.3535381837570526e-07
1934,1.7013844200164385e-07
1935,1.902957240673686e-07
1936,1.915704910260274e-07
1937,2.0271699874285787e-07
1938,1.6206518704819928e-07
1939,1.483522966694295e-07
1940,1.1918179776415627e-07
1941,1.4462362685208063e-07
1942,1.790184902539238e-07
1943,1.4806499937236595e-07
1944,1.317406344014671e-07
1945,1.2853173991800304e-07
1946,1.7122957896020807e-07
1947,2.9325341266428495e-07
1948,1.8373490195955355e-07
1949,2.3953500161155716e-07
1950,1.7122932138846636e-07
1951,2.1855873200138376e-07
1952,1.9402439122018222e-07
1953,1.9392888983560397e-07
1954,2.4235889029000646e-07
1955,1.9991344979430892e-07
1956,1.7267859897529547e-07
1957,1.873027981602604e-07
1958,1.8695270265212116e-07
1959,2.0151944912782938e-07
1960,2.1246958237242097e-07
1961,2.3415296190876234e-07
1962,2.1626070711988632e-07
1963,2.2049242254240653e-07
1964,2.5735186026665247e-07
1965,2.188817358472761e-07
1966,1.7946602248741783e-07
1967,2.115113941769664e-07
1968,1.8369891030545205e-07
1969,1.8712042404445128e-07
1970,2.018840250528342e-07
1971,2.3842164686982414e-07
1972,1.5800852359859618e-07
1973,1.6815272196879505e-07
1974,1.3388859976259937e-07
1975,1.3878897187069583e-07
1976,1.4226681965823218e-07
1977,1.5044561774146814e-07
1978,1.8356427844423706e-07
1979,2.0364867925337649e-07
1980,1.8363036691226853e-07
1981,1.6699450888779666e-07
1982,1.6077430409211502e-07
1983,2.0145857959619207e-07
1984,1.6179233508495372e-07
1985,1.648262957232305e-07
1986,2.002158110414598e-07
1987,2.0654560906052666e-07
1988,1.5770936467873753e-07
1989,2.0745101192432003e-07
1990,1.8634386123039803e-07
1991,1.946006431552405e-07
1992,2.0331693928454797e-07
1993,2.4095552753067295e-07
1994,1.7460007306624448e-07
1995,1.9737721146384501e-07
1996,2.1726035726032933e-07
1997,2.1385229853621013e-07
1998,2.1408900074959547e-07
1999,2.3353727840458305e-07
2000,2.3062123943873303e-07
2001,2.317660978690128e-07
2002,2.1292736995803807e-07
2003,2.7793377199714087e-07
2004,2.845495252756791e-07
2005,2.7472873043166146e-07
2006,2.952527138333494e-07
2007,3.0917271942598745e-07
2008,3.312288114898365e-07
2009,3.867004068069946e-07
2010,4.908020923011236e-07
2011,5.762725887592524e-07
2012,6.199144202412299e-07
2013,7.229412055664852e-07
2014,7.7522934915919e-07
2015,8.077200917000482e-07
2016,9.049684521755808e-07
2017,1.0618395549499837e-06
2018,1.2303269869562428e-06
2019,1.201770288616899e-06
