year,nouveaux_ADJ doutes_NOUN
1800,4.087413785214267e-08
1801,1.1429676272101119e-07
1802,1.2308120744819462e-07
1803,6.046051481689574e-08
1804,1.235925459752707e-07
1805,1.6772978561618856e-07
1806,4.8988376022407465e-08
1807,1.4234775846944103e-07
1808,4.078933102391602e-08
1809,5.6475763177132876e-08
1810,1.1466621430145096e-07
1811,3.5099073869560016e-08
1812,3.7340914360584065e-08
1813,2.0130190847567064e-08
1814,3.4613449884091096e-08
1815,3.236668177919455e-08
1816,8.111613247763216e-08
1817,8.562803499589933e-08
1818,7.033494586750066e-08
1819,8.901903059133076e-08
1820,4.2719332071783356e-08
1821,8.973954679358798e-08
1822,6.616906489398389e-08
1823,6.621399961659336e-08
1824,5.052667617633233e-08
1825,5.899646837725925e-08
1826,3.435113882233054e-08
1827,6.544263742025436e-08
1828,4.861319524707142e-08
1829,6.17268668401394e-08
1830,6.470837954353215e-08
1831,1.0446107601147503e-07
1832,6.629685012082831e-08
1833,2.3167257112710615e-08
1834,3.9205030333278046e-08
1835,4.0840674842002045e-08
1836,9.745087536927599e-08
1837,4.383471319258092e-08
1838,4.860364866132727e-08
1839,5.9427539000900254e-08
1840,4.713569623504554e-08
1841,6.227932347613319e-08
1842,4.8970335342346516e-08
1843,5.1390125543893106e-08
1844,5.2141331252641976e-08
1845,4.687391452762313e-08
1846,5.3275963418641936e-08
1847,3.128069714364301e-08
1848,5.309846473622315e-08
1849,3.6869426622843093e-08
1850,1.6972490968214515e-08
1851,4.5791015867990836e-08
1852,5.729279939359344e-08
1853,4.4192294046396796e-08
1854,7.014147040962371e-08
1855,5.3600064831016425e-08
1856,4.038207734868848e-08
1857,4.539803377667795e-08
1858,2.8872687907188777e-08
1859,4.939408082549335e-08
1860,4.1652372384515246e-08
1861,2.3108221669509987e-08
1862,5.240864109357091e-08
1863,4.794836022670168e-08
1864,2.8768367799081318e-08
1865,3.153585759196886e-08
1866,4.81695678899996e-08
1867,2.426405742994575e-08
1868,3.6061079011773245e-08
