year,six_DET années_NOUN
1800,1.2796749473409363e-06
1801,1.17154188661317e-06
1802,1.2643797333566908e-06
1803,1.1526504692938033e-06
1804,1.1543543703140813e-06
1805,1.3503669045178412e-06
1806,1.7145931678896886e-06
1807,1.5145800773552764e-06
1808,1.8763092555218464e-06
1809,1.8478869243665486e-06
1810,1.5912862174616293e-06
1811,1.4992318639883706e-06
1812,1.4136203425607619e-06
1813,1.230817417763319e-06
1814,1.3782446401933157e-06
1815,1.3620978513984028e-06
1816,1.147213883001541e-06
1817,1.0026265151452662e-06
1818,1.6129352928828666e-06
1819,1.5485170266060777e-06
1820,1.4085513200257083e-06
1821,1.6468685508641556e-06
1822,1.3905529527846738e-06
1823,1.5466405471897815e-06
1824,1.325483112601944e-06
1825,1.4669867987038288e-06
1826,1.7448617519733034e-06
1827,2.0231914668045192e-06
1828,1.7885987979582296e-06
1829,1.7609303597510007e-06
1830,1.8347956967090795e-06
1831,1.6183672393310644e-06
1832,1.4355297750512364e-06
1833,1.6564588740664021e-06
1834,2.070398956277586e-06
1835,1.4460623845025111e-06
1836,1.7809987085115608e-06
1837,1.8250547952902707e-06
1838,1.7920227577405967e-06
1839,1.8695204602181548e-06
1840,1.719179003600857e-06
1841,1.8016059257774941e-06
1842,2.0876121595847508e-06
1843,2.0071684758704578e-06
1844,1.91934985593889e-06
1845,2.0005116567745063e-06
1846,2.026828248347101e-06
1847,2.237109278269145e-06
1848,2.1802550023153344e-06
1849,2.015249251030582e-06
1850,1.800441737032088e-06
1851,1.8832360844101004e-06
1852,2.0117585961543227e-06
1853,2.022096012410657e-06
1854,1.7795150668575843e-06
1855,2.0580302901862524e-06
1856,1.9228080425648386e-06
1857,1.8705943212182774e-06
1858,1.882597175040246e-06
1859,1.8433667392514508e-06
1860,1.764046693608634e-06
1861,1.8255495746188899e-06
1862,2.077370005793e-06
1863,1.9254263818879735e-06
1864,1.92843953072952e-06
1865,1.9862882787435865e-06
1866,1.862070021729778e-06
1867,1.949859651517727e-06
1868,1.8549227576158955e-06
1869,1.6721169942002234e-06
1870,1.920906306907e-06
1871,2.0923719681320563e-06
1872,1.4858312482601832e-06
1873,1.6940392626452194e-06
1874,1.7015686495369664e-06
1875,2.0528839215216976e-06
1876,2.19168025239469e-06
1877,1.9049233230816753e-06
1878,2.007393064218377e-06
1879,1.9494857355084605e-06
1880,2.0415169785792386e-06
1881,1.875604567658229e-06
1882,1.974652775516006e-06
1883,1.967842251815455e-06
1884,1.9111912621383453e-06
1885,1.9549613163860613e-06
1886,1.8624696309643696e-06
1887,1.7060079855468757e-06
1888,1.9789058924857272e-06
1889,1.6433453318143165e-06
1890,1.830640194100397e-06
1891,1.5967421163054496e-06
1892,1.6097539763393343e-06
1893,1.6356754102275772e-06
1894,1.732923280428622e-06
1895,1.628035185774479e-06
1896,1.563892134015532e-06
1897,1.7177151008240799e-06
1898,1.7953960380623357e-06
1899,1.773247120695487e-06
1900,1.7156430160980563e-06
1901,1.6173810450936799e-06
1902,1.5442843093183e-06
1903,1.7318506237984366e-06
1904,1.627436489570755e-06
1905,1.6375088627285095e-06
1906,1.688835816082701e-06
1907,1.658566979756415e-06
1908,1.6399128419664066e-06
1909,1.521021907535669e-06
1910,1.6973022667343685e-06
1911,1.6051568998420862e-06
1912,1.5899153211762496e-06
1913,1.6243057743281497e-06
1914,1.7940576171326938e-06
1915,1.3206234186213806e-06
1916,1.1800534558403797e-06
1917,1.1712141088082717e-06
1918,1.3105954899117478e-06
1919,1.5165326807675683e-06
1920,1.5954692571540363e-06
1921,1.5736169487468032e-06
1922,1.441648564082243e-06
1923,1.300453646990718e-06
1924,1.4941392798561992e-06
1925,1.4660570926139371e-06
1926,1.2439090397720065e-06
1927,1.2765862358321556e-06
1928,1.2785739968990129e-06
1929,1.243269345252429e-06
1930,1.2824900110786075e-06
1931,1.3230213369297417e-06
1932,1.4926889093658247e-06
1933,1.2032724328037148e-06
1934,1.1118906826368402e-06
1935,1.1178377476994683e-06
1936,1.23187096789934e-06
1937,1.1407552591435888e-06
1938,1.1940961996970145e-06
1939,1.0797599614420506e-06
1940,1.0954582378985833e-06
1941,1.0300743866764606e-06
1942,8.617161668666995e-07
1943,1.0016161482440111e-06
1944,9.286107811590227e-07
1945,1.1415361740318986e-06
1946,1.3503471052445093e-06
1947,1.1312906522675803e-06
1948,1.0600090263324091e-06
1949,1.2212358484475772e-06
1950,1.0752350902976104e-06
1951,1.013899321833378e-06
1952,1.0840058664030039e-06
1953,1.1075494086298932e-06
1954,1.1404549553617471e-06
1955,1.0267855046208751e-06
1956,9.314179436614722e-07
1957,1.0354664325973317e-06
1958,1.1101351020670336e-06
1959,1.0548767264140224e-06
1960,1.015978327245648e-06
1961,1.0269379657756872e-06
1962,9.982239177475094e-07
1963,1.0500871034935244e-06
1964,1.1133661601547828e-06
1965,9.8168456474923e-07
1966,1.029160088705794e-06
1967,9.367637758828096e-07
1968,1.0509912655720655e-06
1969,1.3479937592819624e-06
1970,1.197048113965593e-06
1971,1.0425808980585316e-06
1972,1.1424837396134535e-06
1973,1.000095139147561e-06
1974,1.1954339598219121e-06
1975,1.0657622055987304e-06
1976,1.2375498741334923e-06
1977,9.320575742322035e-07
1978,8.762372232240523e-07
1979,9.105670280007416e-07
1980,9.14172225918719e-07
1981,8.520515066834378e-07
1982,9.242970975265052e-07
1983,8.418316213010257e-07
1984,8.930472858992289e-07
1985,8.794745625095857e-07
1986,8.422252122386453e-07
1987,8.151829682390144e-07
1988,8.700999742927706e-07
1989,8.330969691883183e-07
1990,8.864954850196227e-07
1991,8.241219831006674e-07
1992,8.320015609797338e-07
1993,8.325428808575452e-07
1994,7.453471297935721e-07
1995,8.046917017168198e-07
1996,8.919952136920983e-07
1997,8.602040395544464e-07
1998,8.821038903761291e-07
1999,8.532565587415775e-07
2000,8.398677664445131e-07
2001,8.473263477526416e-07
2002,7.943154614054038e-07
2003,8.229673014170658e-07
2004,7.902195591213967e-07
2005,8.007666778553357e-07
2006,8.165775966517685e-07
2007,7.645433868219698e-07
2008,8.340324129108012e-07
2009,7.271493345228919e-07
2010,7.638373062945902e-07
2011,6.504576433030707e-07
2012,6.641696828069144e-07
2013,6.836145445276998e-07
2014,7.184946966276584e-07
2015,7.245985216286499e-07
2016,7.583175687386756e-07
2017,6.983337073052098e-07
2018,6.218753298981028e-07
2019,6.910625955924843e-07
