year,grands_ADJ yeux_NOUN,grands_ADJ dieux_NOUN
1800,1.2953958048456116e-06,9.212402147795729e-07
1801,1.37156121127191e-06,1.4429966626039459e-06
1802,1.2688553852058249e-06,9.84649659585557e-07
1803,1.4978604667703621e-06,1.6772917490470718e-06
1804,1.1568262152650277e-06,1.4262579810520037e-06
1805,1.0888221595450887e-06,7.761056082244977e-07
1806,9.307791515311692e-07,1.2419993851153777e-06
1807,8.654743623992545e-07,8.1138220409116e-07
1808,8.86034911218303e-07,8.769706241196218e-07
1809,7.183717229963804e-07,1.2379486875602197e-06
1810,1.1162404689457617e-06,1.8369995018474583e-06
1811,9.777598961591139e-07,1.0955925233702146e-06
1812,1.24558619063464e-06,1.0588816721224248e-06
1813,9.83503696261323e-07,1.8778592618673429e-06
1814,7.048556653899141e-07,9.565898650976123e-07
1815,5.556280484597664e-07,8.145615062460365e-07
1816,7.369980608018523e-07,7.0686919073637e-07
1817,1.138074480877549e-06,1.8775892982603182e-06
1818,9.393887694386649e-07,1.4460388193526796e-06
1819,7.514862545576761e-07,1.664448877392033e-06
1820,1.0406904493720504e-06,1.689786898850798e-06
1821,1.025594769998861e-06,1.4289296430547438e-06
1822,1.0075743830384454e-06,2.122422898764853e-06
1823,1.0317525038772146e-06,1.4863561084155208e-06
1824,8.303217100547045e-07,1.4560103949179393e-06
1825,9.782846746020368e-07,1.290877918336264e-06
1826,9.23076754588692e-07,9.221959658134438e-07
1827,6.82999939272122e-07,6.848433855566327e-07
1828,9.465815082876361e-07,1.3354870844750621e-06
1829,1.357991095574107e-06,1.0493567668135029e-06
1830,1.4976859574744594e-06,1.1908429371487728e-06
1831,1.7633653897064505e-06,1.259769458528126e-06
1832,2.0673792278103065e-06,1.0756325607985673e-06
1833,2.002809424084262e-06,1.2591403972805892e-06
1834,1.4356508017954184e-06,1.0221311477209838e-06
1835,1.9943863662774675e-06,1.2100940764980805e-06
1836,1.5955060916894581e-06,6.438478532544423e-07
1837,1.7485180023868452e-06,6.700448977881024e-07
1838,1.3842570751876337e-06,6.469965754263285e-07
1839,1.3102024922773126e-06,4.810134939248201e-07
