year,avons_VERB écrit_VERB,avons_VERB ecrit_VERB,avons_VERB décrit_VERB
1800,2.421006684016902e-07,3.144164484325529e-09,7.545994549218449e-07
1801,2.571677271134831e-07,0.0,5.452907885228342e-07
1802,1.991677720525331e-07,0.0,6.80303401168203e-07
1803,3.900678393620183e-07,0.0,6.553139542120334e-07
1804,2.026917798048089e-07,0.0,6.352656782837585e-07
1805,2.04687196969644e-07,0.0,1.1940086324102595e-06
1806,2.0459850702536642e-07,2.881669125542885e-09,4.0919701405073283e-07
1807,1.708173016368164e-07,0.0,4.441249927822355e-07
1808,1.3369836437959748e-07,0.0,3.9203081314553856e-07
1809,1.784634093837667e-07,0.0,5.353902565730095e-07
1810,2.3167254425970896e-07,0.0,6.552355102940055e-07
1811,3.4096242984560376e-07,0.0,8.072786954471667e-07
1812,2.3471432086807908e-07,0.0,1.03487684555148e-06
1813,2.1568062891219597e-07,0.0,7.476928090000001e-07
1814,1.5104049566616595e-07,0.0,6.073086638025416e-07
1815,2.1847510822681215e-07,0.0,5.610224889096571e-07
1816,2.155371561229913e-07,2.3176038865813098e-09,8.64466244365758e-07
1817,2.880215674849751e-07,0.0,6.678986892438843e-07
1818,1.9550731167328195e-07,0.0,8.404430218433845e-07
1819,4.0783137933431135e-07,1.035105001712111e-09,9.233136779585038e-07
1820,1.6375743427943235e-07,2.3732962262101864e-09,6.645229291279975e-07
1821,5.167419772078574e-07,0.0,8.352680538337154e-07
1822,4.962680009157339e-07,0.0,1.078756213246379e-06
1823,3.775186314669554e-07,0.0,8.72641237492644e-07
1824,3.115811750831199e-07,1.6842225392110777e-09,6.770574714209943e-07
1825,2.703270922665979e-07,0.0,1.1165301430082764e-06
1826,4.359952185950533e-07,8.807984341885344e-10,9.926598067977466e-07
1827,2.838920067915751e-07,9.217273055917019e-10,1.2240539035701659e-06
1828,3.210305408174463e-07,0.0,1.0538974493101705e-06
1829,2.4605014914413914e-07,8.57317605795771e-10,1.1462336715339916e-06
1830,3.454592558682634e-07,0.0,7.942431921037496e-07
1831,3.11824123855331e-07,0.0,1.119448597819428e-06
1832,2.54363413887404e-07,0.0,9.349208767162054e-07
1833,2.3514765246090974e-07,0.0,7.066013267831295e-07
1834,3.9765100723343494e-07,0.0,1.0548019417910837e-06
1835,2.8739734148075513e-07,0.0,8.115193281810207e-07
1836,4.160144158049661e-07,0.0,6.868606305943104e-07
1837,6.227312496775994e-07,0.0,1.0360299711464904e-06
1838,3.869355111874029e-07,0.0,7.347356358877732e-07
