year,soixante - dix années
1800,1.0334305855508319e-08
1801,7.844948690660658e-09
1802,2.7098547406012585e-08
1803,6.4285670120511895e-09
1804,1.087362200280495e-08
1805,9.366705633340189e-09
1806,4.739897363492673e-08
1807,9.967835268298586e-08
1808,1.518990266902165e-07
1809,5.930301938406046e-08
1810,7.949299885012806e-08
1811,5.2426766927737845e-08
1812,3.797191894250318e-08
1813,3.7764785076888074e-08
1814,1.0318136567377678e-08
1815,7.68668542150408e-08
1816,2.786454800229876e-08
1817,2.2179605707606243e-08
1818,4.0403008938483254e-08
1819,6.33141041816998e-08
1820,3.755130606464263e-08
1821,3.6721093721325815e-08
1822,6.57885714794304e-08
1823,4.642225093220986e-08
1824,3.583140184559852e-08
1825,5.9586366063513196e-08
1826,4.613083637305948e-08
1827,2.4145570876044076e-08
1828,3.107163382143341e-08
1829,1.0863973187724696e-07
1830,5.82109969116118e-08
1831,3.080606791883156e-08
1832,5.93050906161352e-08
1833,5.829938842794036e-08
1834,4.193784874928497e-08
1835,7.054664763472829e-08
1836,6.241966410414079e-08
1837,6.072790181832488e-08
1838,5.1616824592315425e-08
1839,7.184024042317105e-08
1840,4.523050378679727e-08
1841,5.6860301356209675e-08
1842,4.91458953533197e-08
1843,8.325889666593866e-08
1844,8.437402954086792e-08
1845,5.246348022680536e-08
1846,4.2283591739078474e-08
1847,6.244035688496297e-08
1848,3.171245854804994e-08
1849,2.5687791449513497e-08
1850,4.755242599685516e-08
1851,4.5174840312967035e-08
1852,5.920831525063619e-08
1853,8.628895642459611e-08
1854,7.16081182128292e-08
1855,9.482994478560158e-08
1856,6.862079615643779e-08
1857,8.131539797062715e-08
1858,6.754844705803009e-08
1859,9.253272259535095e-08
1860,1.0638122471817724e-07
1861,8.985088328916646e-08
1862,5.297660965464246e-08
1863,7.401528057116025e-08
1864,1.0499079228232233e-07
1865,9.132501999076226e-08
1866,7.795387091391603e-08
1867,4.7377653578095646e-08
1868,6.275497099750282e-08
1869,6.268055585678667e-08
1870,5.906290878598952e-08
1871,2.9162313452957278e-08
1872,6.10283077406848e-08
1873,5.313943607365701e-08
1874,5.375234479743085e-08
1875,5.658273405373393e-08
1876,4.515765106294367e-08
1877,2.9272508195177238e-08
1878,3.988102648122549e-08
1879,5.3092180096747654e-08
1880,2.6147837284273834e-08
1881,7.146485359044163e-08
1882,2.8577769928261887e-08
1883,4.737294290180216e-08
1884,7.05659694566485e-08
1885,6.178812761437058e-08
1886,3.2712726749650756e-08
1887,3.673338144771776e-08
1888,5.1718743065976014e-08
