year,deux_DET années_NOUN,deux_DET damnés_NOUN
1800,3.430283477712237e-06,0.0
1801,3.5146255044082864e-06,0.0
1802,3.4194197269243887e-06,0.0
1803,3.754402897016007e-06,0.0
1804,3.7349668389197177e-06,0.0
1805,3.684369431766754e-06,0.0
1806,3.896016593785134e-06,0.0
1807,4.939466975883988e-06,0.0
1808,4.461899678176451e-06,2.039466551195801e-08
1809,5.216101484961655e-06,0.0
1810,4.60302926796885e-06,0.0
1811,4.146705165908315e-06,0.0
1812,4.086162846306252e-06,1.8670457180292033e-08
1813,3.982902306631786e-06,0.0
1814,4.02460001680538e-06,0.0
1815,4.067413087227578e-06,0.0
1816,3.4161480755301454e-06,0.0
1817,3.839249785642096e-06,0.0
1818,4.077042746075676e-06,0.0
1819,5.14550674779457e-06,0.0
1820,4.569781879126822e-06,0.0
1821,3.874578837326226e-06,0.0
1822,4.0192692694063226e-06,0.0
1823,3.621016531951682e-06,0.0
1824,3.845080030373538e-06,8.421112696055388e-10
1825,4.190510423995875e-06,0.0
1826,4.248971549714042e-06,0.0
1827,5.032631250401209e-06,0.0
1828,5.278659159557719e-06,0.0
1829,5.3222278495468345e-06,5.143905745796928e-09
1830,5.02951135672447e-06,0.0
1831,4.9735949545492986e-06,0.0
1832,4.8572589292916746e-06,0.0
1833,5.2914013508598146e-06,3.4750886612755494e-09
1834,5.851817206803389e-06,0.0
1835,5.115672848887698e-06,0.0
1836,4.818105566073427e-06,4.704525213838906e-09
1837,4.508017468651815e-06,6.957890930081589e-10
1838,4.429243858794507e-06,1.2624323808552163e-09
1839,5.382736560477497e-06,0.0
1840,5.0575327463775466e-06,0.0
1841,5.413806434262369e-06,6.420548537278137e-10
1842,5.525597998712328e-06,0.0
1843,5.7143456615449395e-06,7.678984559333912e-09
1844,6.299221809058508e-06,5.488561272137815e-10
1845,6.027762395888203e-06,1.1160455892778032e-09
1846,5.654862661685911e-06,5.854501328173001e-10
1847,6.440048281319832e-06,2.6966118227278457e-09
1848,5.62200088438658e-06,0.0
1849,6.145463089524128e-06,2.513824481908955e-09
1850,6.6722254814521875e-06,6.788996032014438e-10
1851,5.891562324222832e-06,0.0
1852,5.511176539130247e-06,8.463708844885787e-09
1853,5.625559737154617e-06,1.3735443005202796e-08
1854,5.202938496040588e-06,2.4419623656513068e-08
1855,5.584489997545461e-06,1.2736649068756378e-08
1856,5.87196797141587e-06,1.1907535402144731e-08
1857,5.372100559952742e-06,1.9526036343364694e-09
1858,5.654642592389791e-06,4.893676019968041e-10
1859,5.093700821134917e-06,2.036869339860914e-09
1860,5.347066064587125e-06,4.577183909670879e-10
1861,4.955534507189441e-06,1.3204698667834691e-08
