year,pourrons_VERB écrire_VERB,pourrons_VERB décrire_VERB
1800,2.2009151834367913e-08,3.144164484325529e-09
1801,2.3811825844433088e-09,7.143547975374531e-09
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,1.1371510844071508e-08,0.0
1806,0.0,0.0
1807,8.540865792383556e-09,0.0
1808,9.064295980465431e-09,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,5.7514832008109806e-08,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,9.341240669868967e-09,0.0
1818,0.0,0.0
1819,1.1386155129855524e-08,3.1053151161586356e-09
1820,1.542642635854463e-08,0.0
1821,0.0,3.94459531705138e-09
1822,0.0,3.0076847679083585e-09
1823,2.4706716672540097e-08,0.0
1824,9.263223965660927e-09,0.0
1825,0.0,5.283265824829186e-09
1826,1.4973572604048968e-08,7.0463874735082754e-09
1827,9.217273055917019e-10,0.0
1828,1.8344602503717056e-09,9.172301251858528e-10
1829,5.143905745796928e-09,0.0
1830,1.6698937344017395e-08,2.0873671680021744e-09
1831,3.741889287312006e-08,1.5591206103948707e-09
1832,2.705993873419743e-09,4.058990921151917e-09
1833,1.2741991461950875e-08,0.0
1834,1.8669061851994684e-09,9.334530925997342e-10
1835,7.563087933704082e-10,3.781543966852041e-09
1836,8.064899859050456e-09,6.720750067579218e-10
1837,1.0436836284100082e-08,0.0
1838,6.312161904276081e-09,0.0
1839,3.4957374772659477e-09,7.690622361167243e-09
1840,1.9109065441114126e-09,1.2739377330817092e-09
1841,9.630822361827995e-09,1.926164561183441e-09
1842,2.0124795163667386e-09,6.708265054555795e-10
1843,5.906910960362666e-09,1.7720733769266417e-09
1844,1.1525978393933656e-08,5.488561272137815e-10
1845,8.928364714222425e-09,0.0
1846,2.3418005312692003e-09,1.1709002656346001e-09
1847,9.168480197274675e-09,2.1572894581822766e-09
1848,1.930853166243196e-08,3.218088684420195e-09
1849,1.0893239199560867e-08,0.0
1850,9.504594444820214e-09,2.7155984128057753e-09
1851,5.159551008659946e-09,1.2898877521649865e-09
1852,7.161600201754936e-09,0.0
1853,5.971931837933653e-09,2.9859659189668264e-09
1854,4.676098175337984e-09,5.7152309551611324e-09
1855,2.600399184871094e-08,2.653468555990912e-09
1856,1.3978411317339123e-08,5.177189232874468e-10
1857,1.3180074809326925e-08,2.9289055625270066e-09
1858,1.2723557318849998e-08,4.893676130990343e-09
1859,2.8516170758052795e-08,5.092173349652285e-10
1860,6.408057640072684e-09,1.8308735638683515e-09
1861,9.431927239234028e-09,4.715963619617014e-09
1862,1.400575744270327e-08,9.035972525772706e-10
1863,1.1987090431375691e-08,0.0
1864,1.342523781033833e-08,6.233146443435089e-09
1865,2.023943146411966e-08,4.706844358715045e-10
1866,1.0704348518686402e-08,0.0
1867,1.5043715606566366e-08,4.85281148598915e-09
1868,2.222943251695142e-08,1.975949626142892e-09
1869,2.490594752657671e-08,0.0
1870,4.0711746862598375e-08,0.0
1871,1.5931766128574054e-08,1.0621177271019633e-09
1872,3.62840353318461e-08,4.8378714367913744e-09
1873,3.4718826924518e-08,2.3944017879529156e-09
1874,4.182226476245887e-08,0.0
1875,2.5174719198162165e-08,5.721527140956084e-10
1876,4.292670396921494e-08,0.0
1877,2.4120781816350245e-08,2.4739263970730008e-09
1878,2.4760263173106978e-08,1.8117265465633636e-09
1879,3.1157558311178946e-08,2.443730107160036e-09
1880,1.5402831010646878e-08,7.701415505323439e-09
1881,4.113779539238749e-08,6.972507571312292e-10
1882,4.3925542314582344e-08,0.0
1883,3.033282780506852e-08,0.0
1884,4.093052297093891e-08,0.0
1885,5.607703101873085e-08,5.156508553483263e-09
1886,5.743582676132064e-08,5.808117542471791e-09
1887,3.9173546184656516e-08,7.834709769838355e-09
1888,5.199304098368884e-08,6.974675947901687e-09
1889,4.1349903057152915e-08,3.132568426877924e-09
1890,5.505684796958121e-08,4.5880703680722945e-09
1891,7.776548471838396e-08,8.92390783491237e-09
1892,6.70730813112641e-08,0.0
1893,7.266931589811065e-08,1.2316833108982905e-09
1894,4.663139208105349e-08,6.301539290376468e-09
1895,4.935263930860856e-08,5.416753268150387e-09
1896,4.599682768002822e-08,5.897029087265082e-09
1897,6.001514663012131e-08,9.322741689743452e-09
1898,4.583267454449924e-08,1.6975064687230201e-09
1899,4.753717419703207e-08,3.3165470370022376e-09
1900,3.010810800674335e-08,1.5573159428683425e-09
1901,6.42704947040329e-08,2.235495566438317e-09
1902,4.3210498290591204e-08,1.9641135384773634e-09
1903,7.182293160212794e-08,5.400220270956879e-10
1904,7.954444924962445e-08,4.837162670412454e-09
1905,3.251278357652154e-08,5.160759042333041e-10
1906,4.5268823356536814e-08,5.144184522798412e-10
1907,5.965698335330671e-08,1.028568674676933e-09
1908,6.974172350737717e-08,5.893666887857307e-09
1909,9.021613323056954e-08,3.850688656825696e-09
1910,7.054278938767311e-08,5.344150677544235e-10
1911,9.895895658473819e-08,4.25629931299909e-09
1912,4.4801023335594437e-08,8.856016364688912e-09
1913,4.1363318104004065e-08,3.181793939432964e-09
1914,6.897646187553619e-08,8.036092680185902e-09
1915,4.123266705846618e-08,0.0
1916,2.7468654906215306e-08,0.0
1917,4.0575770299255964e-08,0.0
1918,7.006689628497043e-08,0.0
1919,9.760319130691641e-08,9.207848372660976e-10
