year,quelques_DET hommages_NOUN,quelques_DET dommages_NOUN
1965,1.9699356812452606e-08,2.4076990456922687e-08
1966,1.273987226824147e-08,3.0464910594218964e-08
1967,6.409436092980059e-09,3.9442685562107727e-08
1968,1.3025106215813764e-08,3.458390279709178e-08
1969,9.537691525451919e-09,4.67801051229344e-08
1970,9.197449912790034e-09,3.4950308980263856e-08
1971,1.3359833350712336e-08,2.569198764845737e-08
1972,6.156176013405457e-09,3.129389580802666e-08
1973,1.4334330167287135e-08,4.190034946782717e-08
1974,7.875800456247362e-09,2.925297337696975e-08
1975,7.996072248772634e-09,2.3988217634496323e-08
1976,8.5702901442275e-09,3.370980994343853e-08
1977,1.2928920378740827e-08,2.6445518497286713e-08
1978,8.910887139279566e-09,3.920790370148808e-08
1979,7.022367909392813e-09,4.2134206568178456e-08
1980,7.3906957220870595e-09,2.6720208379238386e-08
1981,8.85576922904363e-09,3.226030353964404e-08
1982,8.069752754913395e-09,6.642027328140898e-08
1983,1.0104506009689374e-08,2.020901079813342e-08
1984,1.797692572580445e-08,2.7255339318799088e-08
1985,6.617113634810323e-09,2.045289804186723e-08
1986,5.994485352545098e-09,2.1580147668842642e-08
1987,8.555143260480236e-09,2.6276512743450553e-08
1988,1.679035038781862e-08,3.1182079029967724e-08
1989,5.4881220679092735e-09,2.6891798676764722e-08
1990,1.0352437129768077e-08,2.6698390276358452e-08
1991,1.9928982020189778e-08,2.8721180100887977e-08
1992,1.0468893973936133e-08,3.140668236589761e-08
1993,1.4955860550003308e-08,2.3818591543545153e-08
1994,7.912389743403025e-09,2.9012095836833396e-08
1995,2.2232048202397436e-08,2.8196744217279246e-08
1996,1.3879039695297024e-08,2.50890324071662e-08
1997,1.0069277966984203e-08,2.2536003285722472e-08
1998,1.8118891276230897e-08,2.527108478034279e-08
1999,1.0968482788697997e-08,3.244842972094375e-08
2000,8.394259842781082e-09,3.843687368387805e-08
2001,1.0514908055370142e-08,1.927733225826067e-08
2002,1.5772397610192e-08,2.7601695595791398e-08
2003,1.041730723905232e-08,2.8335076340813004e-08
2004,8.369103465799554e-09,2.95121012072741e-08
2005,9.007499190971657e-09,3.693074746013991e-08
2006,7.412201963319376e-09,2.676628446662832e-08
2007,1.3581230362547103e-08,3.275473120512018e-08
2008,1.0643599057669206e-08,3.235654266742216e-08
2009,1.0013204487790972e-08,2.3840963203625165e-08
2010,1.0392344984566648e-08,2.881513677666092e-08
2011,8.412738006224885e-09,3.7474926162239797e-08
2012,7.148930836198275e-09,2.8595723122748495e-08
2013,7.8095498956543e-09,3.765318923321104e-08
2014,7.362513543274218e-09,3.5080212512639264e-08
2015,6.64972610309178e-09,3.302697249019104e-08
2016,8.906761828075815e-09,3.39699757212486e-08
2017,5.0312225496895735e-09,3.194826503349901e-08
2018,4.64663996169179e-09,3.6140534009909686e-08
2019,8.673358642408147e-09,3.0611854107132075e-08
