year,aucuns_ADJ dommages_NOUN
1800,2.5153315874604232e-08
1801,2.3811825400343878e-08
1802,3.5805442166747525e-08
1803,6.046051481689574e-08
1804,1.458392091535643e-07
1805,1.8194417350514414e-07
1806,1.3255677799861587e-07
1807,1.5942949005420815e-07
1808,1.4729481279118772e-07
1809,1.0391540428145163e-07
1810,7.722418615685456e-08
1811,6.769107585569145e-08
1812,6.401299401659344e-08
1813,1.0352670187785407e-07
1814,6.608021863030444e-08
1815,1.8880564667256294e-08
1816,1.1588019432906549e-08
1817,1.8682481339737933e-08
1818,9.536941902865692e-09
1819,3.9333990287104825e-08
1820,5.102586797534059e-08
1821,9.664258726616026e-08
1822,7.519211919770896e-08
1823,3.261286707356703e-08
1824,5.221090049190025e-08
1825,8.717388766399381e-08
1826,1.1978858083239174e-07
1827,1.456329101756637e-07
1828,9.722639049414283e-08
1829,9.087566610332942e-08
1830,1.3776623575267877e-07
1831,1.637076678662197e-07
1832,8.253281436054749e-08
1833,1.4132027104096778e-07
1834,1.3255034048142988e-07
1835,7.638718813041123e-08
1836,9.005805168271763e-08
1837,4.5922078584226256e-08
1838,8.584540012179787e-08
1839,5.383435919270596e-08
1840,5.286841542329057e-08
1841,1.046549442662581e-07
1842,6.507016792056675e-08
1843,4.1939067330076796e-08
1844,1.1580864622828813e-07
1845,8.091330272463892e-08
1846,7.610852037487348e-08
1847,1.1919023990003552e-07
1848,7.964769821455775e-08
1849,7.122502410084053e-08
1850,8.486244951200206e-08
1851,1.2060451126671978e-07
1852,9.114763344086896e-08
1853,8.898178549543445e-08
1854,6.390667550704165e-08
1855,1.0136250239156652e-07
1856,7.299836823904116e-08
1857,6.492407322866711e-08
1858,7.487324182875454e-08
1859,7.791025069536772e-08
1860,6.179197953315452e-08
1861,8.818852137437716e-08
1862,5.2860439581081664e-08
1863,7.14230807830063e-08
1864,5.657778956447146e-08
1865,4.89511826629041e-08
1866,6.27664036301212e-08
1867,3.785192959071537e-08
1868,5.631456545529545e-08
1869,6.348574999037737e-08
1870,4.873941605865184e-08
1871,7.434824311758348e-08
1872,8.163907949665372e-08
1873,5.7465641134513135e-08
1874,4.361464789326419e-08
1875,3.432916173551348e-08
1876,4.353130833578689e-08
1877,5.3807898581226254e-08
1878,5.072834596830944e-08
1879,3.726688291294522e-08
1880,5.711883233061599e-08
1881,5.159655458442103e-08
1882,3.793569547383413e-08
1883,7.899173937175874e-08
1884,6.733731083841121e-08
1885,7.090199005688191e-08
1886,6.195325141788999e-08
1887,6.920659956222153e-08
1888,7.22830080235326e-08
1889,5.137412273370501e-08
1890,6.554386544621593e-08
1891,7.01164211136529e-08
1892,6.017771880806322e-08
1893,6.404753349897874e-08
1894,6.175508815431385e-08
1895,5.5973114143625935e-08
1896,4.717623269812066e-08
1897,6.584185996416636e-08
1898,6.167606869666997e-08
1899,4.2009595802028343e-08
1900,5.502516486899367e-08
1901,6.42704947040329e-08
1902,7.267220070161784e-08
1903,1.047642754770095e-07
1904,6.288311737989716e-08
1905,5.728442431518488e-08
1906,3.858138342138773e-08
1907,6.42855439991763e-08
1908,4.4202501214840595e-08
1909,5.77603280760286e-08
1910,5.076943310200477e-08
1911,4.256299490634774e-08
1912,5.1052328586820295e-08
1913,4.931780495098792e-08
1914,7.232483056895944e-08
