year,mêmes_ADJ doutes_NOUN
1800,2.829747991484055e-08
1801,4.0480102825313224e-08
1802,2.4616241489638924e-08
1803,4.6808139586573816e-08
1804,8.898663139689234e-08
1805,8.52863308864471e-08
1806,3.458002950651462e-08
1807,8.540865792383556e-09
1808,6.118399653587403e-08
1809,8.810219043198231e-08
1810,2.8081521108447305e-08
1811,3.259199843341776e-08
1812,3.7340914360584065e-08
1813,7.764502640839055e-08
1814,1.5104049566616595e-07
1815,7.012781111370714e-08
1816,6.952811304472561e-08
1817,5.60474440192138e-08
1818,6.556647491606782e-08
1819,1.2214239575314423e-07
1820,5.102586797534059e-08
1821,4.2404398215012407e-08
1822,5.413832582235045e-08
1823,2.8659792761231984e-08
1824,6.568468080558887e-08
1825,6.339919167430708e-08
1826,5.2847905607222856e-08
1827,4.7929820112813104e-08
1828,2.659967357487858e-08
1829,5.401101044189005e-08
1830,1.1480519646056564e-07
1831,5.76874619184764e-08
1832,7.84738247716632e-08
1833,6.255159235024621e-08
1834,4.1071936962566724e-08
1835,6.731148260996633e-08
1836,7.728862527756064e-08
1837,5.0792603900617905e-08
1838,6.690891751759409e-08
1839,5.593180185670121e-08
1840,3.3122379505812205e-08
1841,4.8796167106957e-08
1842,5.1653640920079624e-08
1843,4.6073907356003474e-08
1844,3.128480063896433e-08
1845,5.412821124650691e-08
1846,6.732676638421253e-08
1847,4.314578738728869e-08
1848,9.734718275922205e-08
1849,4.8600607982507427e-08
1850,7.671565782629841e-08
1851,2.96674187438839e-08
1852,8.659025496626782e-08
1853,6.09137023044326e-08
1854,1.070306892003714e-07
1855,9.28714030123956e-08
1856,3.261629161199764e-08
1857,5.076769515888202e-08
1858,4.355371696629362e-08
1859,6.16152955323912e-08
1860,8.330474798867726e-08
1861,9.38476807377242e-08
1862,8.358274872222182e-08
1863,5.943598679891693e-08
1864,7.287986525383872e-08
1865,6.354239956429808e-08
1866,5.692767013343314e-08
1867,4.367530337390235e-08
1868,4.5446843066621057e-08
1869,5.420706206127335e-08
1870,6.59415579917777e-08
1871,4.6733180880664804e-08
1872,4.7773980105247915e-08
1873,8.14096594581315e-08
1874,6.273339892004515e-08
1875,6.236464855646773e-08
1876,6.771536886773788e-08
1877,4.143826615177204e-08
1878,7.850815547660872e-08
1879,4.581993884311686e-08
1880,3.7865292457084365e-08
1881,4.113779539238749e-08
1882,7.187816208897857e-08
1883,6.19295192905156e-08
1884,3.3668656307384026e-08
1885,5.1565084646654213e-08
1886,3.678474258528297e-08
1887,5.484296594637783e-08
1888,5.706553207751597e-08
1889,6.3277880435475e-08
1890,7.209825270138026e-08
1891,5.099376121364685e-08
1892,5.5162908019212864e-08
1893,3.4487133204752496e-08
1894,6.553601084036131e-08
1895,4.333402592315849e-08
1896,4.540712339462516e-08
1897,5.710179262763404e-08
1898,3.395012981854961e-08
1899,3.979856266767001e-08
1900,3.3741844873702576e-08
1901,2.6267072128494107e-08
1902,2.356936157354994e-08
1903,2.5381035051452727e-08
1904,3.815983973254333e-08
1905,4.5930755643297516e-08
1906,3.858138342138773e-08
1907,4.6799875974556926e-08
1908,2.3574666885295414e-08
1909,3.4106096613584214e-08
1910,2.9927243794247715e-08
1911,2.553779587799454e-08
1912,2.6047105805560022e-08
1913,2.2272556021718515e-08
1914,5.089525245693949e-08
1915,4.476689507981746e-08
1916,1.538244731591476e-08
1917,2.3029491202919417e-08
1918,9.189101035644853e-09
1919,2.762354434082681e-08
1920,1.8930579770426448e-08
1921,2.196096815509918e-08
1922,3.09873291470808e-08
1923,1.8047112249064412e-08
1924,3.609654786185246e-08
1925,3.4094350676028284e-08
1926,2.4521504493613122e-08
1927,3.34476758512281e-08
1928,3.5420729460611255e-08
1929,3.676334259239411e-08
1930,4.936693542845205e-08
1931,5.360517452146496e-08
1932,3.1782654730250215e-08
1933,2.982372038218273e-08
1934,2.995395043114968e-08
1935,2.752705441366743e-08
1936,2.5461901032031165e-08
1937,3.021868266728234e-08
1938,4.148868626430158e-08
1939,2.5999884911698246e-08
1940,4.0572528225979454e-08
1941,6.198155588776899e-08
1942,3.944475324146879e-08
1943,2.9032351633873077e-08
1944,2.5705489292704442e-08
1945,3.267756198965799e-08
1946,3.480275978517966e-08
1947,3.9338875268413176e-08
1948,2.717971980814582e-08
1949,3.435953033203987e-08
1950,9.571825110299415e-09
1951,2.6653504292539765e-08
1952,2.319856839960721e-08
1953,2.477980309834038e-08
1954,3.5181128898997827e-08
1955,9.385608290557457e-09
1956,2.180285396669035e-08
1957,3.622365413180617e-08
1958,1.902615986981715e-08
1959,3.2553140627555877e-08
1960,2.7683332959327345e-08
1961,1.80652133252579e-08
1962,2.4099433559854333e-08
1963,3.297687101166957e-08
1964,2.7377858202726202e-08
1965,2.571860352462707e-08
1966,2.9357096309468034e-08
1967,3.3526281195683794e-08
1968,2.6948494435963255e-08
1969,3.315483354526805e-08
