year,ces_DET août_NOUN,ces_DET doutes_NOUN
1800,3.144164484325529e-09,5.407962717640658e-07
1801,0.0,6.667311112096286e-07
1802,1.1189200677108602e-08,6.691142004910944e-07
1803,0.0,5.304922723325944e-07
1804,0.0,6.179627263236398e-07
1805,0.0,4.889749760650375e-07
1806,0.0,4.466587197882177e-07
1807,0.0,7.031979194493942e-07
1808,0.0,4.033611809006743e-07
1809,2.259030518203531e-09,3.614448758071376e-07
1810,0.0,7.254392784261654e-07
1811,0.0,6.618682704129242e-07
1812,2.6672082320544632e-09,6.774708722900868e-07
1813,0.0,4.6299439304675616e-07
1814,0.0,5.758419234780376e-07
1815,0.0,3.6682239112906245e-07
1816,0.0,6.489291024536215e-07
1817,0.0,5.40235056689653e-07
1818,0.0,6.640095904231202e-07
1819,0.0,7.411351532482513e-07
1820,0.0,6.016305960088175e-07
1821,0.0,5.759109455993894e-07
1822,0.0,6.225907327461755e-07
1823,0.0,4.891929883399371e-07
1824,8.421112696055388e-10,6.181096949831044e-07
1825,0.0,7.194047029202011e-07
1826,0.0,6.597180330913943e-07
1827,9.217273055917019e-10,6.507394623156415e-07
1828,0.0,5.622620875556095e-07
1829,0.0,5.6582964447216e-07
1830,0.0,5.562833749195306e-07
1831,3.1182412207897414e-09,5.020368440966649e-07
1832,0.0,5.844946926458761e-07
1833,1.1583628500844156e-09,6.695337333439966e-07
1834,0.0,5.059315668631825e-07
1835,7.563087933704082e-10,6.194169159812191e-07
1836,1.3441500135158435e-09,7.090391562769582e-07
1837,3.478945576063097e-09,6.067281077548614e-07
1838,0.0,5.453707956348808e-07
1839,0.0,5.607163018339634e-07
1840,1.910906599622564e-09,5.344168769738644e-07
1841,0.0,8.520067922290764e-07
1842,6.708265054555795e-10,7.426049393188805e-07
1843,0.0,7.478149299799952e-07
1844,0.0,6.816793174380109e-07
1845,3.3481367123222583e-09,6.657211741867286e-07
1846,0.0,6.012572910663039e-07
1847,5.393223645455691e-10,5.970298602164803e-07
1848,0.0,5.696016955880623e-07
1849,0.0,6.024799219517263e-07
1850,0.0,5.67560057618266e-07
1851,0.0,6.120517141994242e-07
1852,0.0,6.953262641218316e-07
1853,2.388772735173461e-09,6.407882793268982e-07
1854,0.0,6.941407804106348e-07
1855,0.0,6.78757260175189e-07
1856,0.0,6.399005911816857e-07
1857,1.4644527812635033e-09,7.019609995495557e-07
1858,9.787352039936081e-10,6.591781840370459e-07
1859,0.0,6.701300137024191e-07
1860,0.0,6.339399689636593e-07
1861,1.4147891747029462e-09,6.588201557633511e-07
1862,0.0,5.778504572617749e-07
1863,0.0,6.677808102040217e-07
1864,4.794727948009836e-10,6.266709249302949e-07
1865,4.706844358715045e-10,6.495445035170633e-07
1866,0.0,6.680486706045485e-07
1867,9.7056229719783e-10,5.410884753587197e-07
1868,4.93987406535723e-10,5.419041997356544e-07
1869,9.767038289254515e-10,6.289972844797376e-07
1870,0.0,5.34413352681895e-07
1871,0.0,4.089153264885681e-07
1872,6.047339295989218e-10,5.490984094080886e-07
1873,0.0,5.501137962937719e-07
1874,1.1949218281515073e-09,5.592234302298493e-07
1875,1.1443054281912168e-09,5.526995181526217e-07
1876,0.0,5.332585075734642e-07
1877,0.0,4.719014512488684e-07
1878,0.0,4.4870428439480747e-07
1879,0.0,4.575884560154009e-07
1880,0.0,4.7556241611346195e-07
1881,0.0,4.232312065255428e-07
1882,0.0,4.811843368202062e-07
1883,0.0,4.265553670279587e-07
1884,0.0,2.7991195850063377e-07
1885,0.0,3.267937316309144e-07
1886,0.0,3.3041734326388905e-07
1887,3.2644623670918804e-09,4.5310737561976566e-07
1888,0.0,3.772665664314445e-07
1889,6.265136742733546e-10,4.147520655806147e-07
1890,0.0,3.650793303222599e-07
1891,0.0,3.257226453001749e-07
1892,0.0,3.479024428543198e-07
1893,0.0,3.177743010951417e-07
1894,0.0,2.8987080469278226e-07
1895,1.2037228991346183e-09,3.635243146504763e-07
1896,0.0,3.1136313793922454e-07
1897,0.0,2.9657971012397866e-07
1898,0.0,3.191312174521954e-07
1899,0.0,3.3054918446850934e-07
1900,0.0,3.27036342895326e-07
1901,0.0,2.772014546792434e-07
1902,0.0,2.823413094432681e-07
1903,1.0800440541913758e-09,2.6569083289018636e-07
1904,0.0,2.6228170568742826e-07
1905,5.160759042333041e-10,2.833256722567512e-07
1906,5.144184522798412e-10,2.8601666102190393e-07
1907,5.142843373384665e-10,2.694849960960255e-07
1908,9.822778146428846e-10,2.9468335327464956e-07
1909,0.0,2.612967193726945e-07
1910,5.344150677544235e-10,2.565192254166959e-07
1911,0.0,2.1068681732572259e-07
1912,0.0,2.9797889311566905e-07
1913,0.0,2.9007352964072197e-07
1914,0.0,2.51797558803446e-07
1915,1.1780761921542648e-09,2.7213560827021865e-07
