year,jeunes_ADJ âmes_NOUN,jeunes_ADJ ames_NOUN,jeunes_ADJ dames_NOUN
1800,1.2576657937302116e-08,3.458580977167003e-08,1.006132621661493e-07
1801,1.6668277424969347e-08,9.524730337773235e-09,1.0000966632617292e-07
1802,0.0,3.8043282302169246e-08,6.489736392722989e-08
1803,0.0,3.315576790896557e-08,1.306727259731133e-07
1804,4.69651695311768e-08,3.9549615138412264e-08,3.4111542390746763e-07
1805,5.970043304159844e-08,4.264316544322355e-08,1.3930100628556374e-07
1806,2.0171682990621775e-08,1.152667650217154e-08,1.5849180101668026e-07
1807,1.1387820464392462e-08,5.97860605466849e-08,2.19215539942752e-07
1808,2.2660739951163578e-09,3.6257183921861724e-08,1.2236799795672937e-07
1809,4.518061036407062e-09,1.8072244145628247e-08,3.162642769893864e-08
1810,4.680253518074551e-09,2.3401266702194334e-08,1.9891077229772236e-07
1811,0.0,7.521229861140455e-09,2.1059444677007377e-07
1812,5.3344164641089264e-09,2.1337665856435706e-08,1.4402924497503022e-07
1813,2.300593315851529e-08,8.627225156487839e-09,1.552900528167811e-07
1814,6.293354282149721e-09,5.349351184236184e-08,1.8565394555025705e-07
1815,2.6972236000233352e-08,2.4275012222574333e-08,1.1598061000483995e-07
1816,3.0128852301913867e-08,8.57513455798653e-08,6.025770460382773e-08
1817,1.5568733857662664e-08,1.5568733857662664e-08,1.3233423779013265e-07
1818,3.337929754820834e-08,7.867976847819591e-08,1.7524131123991538e-07
1819,7.14222423425781e-08,3.415846450138815e-08,1.7079232961236812e-07
1820,4.9839222526770754e-08,2.4919611263385377e-08,1.1747816497376107e-07
1821,4.043210211079895e-08,1.7750679148775816e-08,1.2228245171996832e-07
1822,2.4061478143266868e-08,2.2056354964661296e-08,1.9249182514613494e-07
1823,5.0401702367253165e-08,7.906149512848515e-09,2.0852469617693714e-07
1824,1.9368560089105813e-08,2.5263338088166165e-08,9.515857346542589e-08
1825,6.60408261410339e-08,3.610231757988913e-08,1.813921299831378e-07
1826,3.787433300317389e-08,1.8496766784892316e-08,1.8849086813599314e-07
1827,3.2260455640198415e-08,1.8434546333878643e-08,1.4286773364347027e-07
1828,4.861319524707142e-08,3.3020285172824515e-08,1.3483283112236677e-07
1829,3.772197487705853e-08,6.172686539684946e-08,1.6117571599583158e-07
1830,6.992679857376061e-08,5.218418053232199e-08,1.6177095152336562e-07
1831,5.76874619184764e-08,7.951515357262906e-08,1.340843738262265e-07
1832,1.244757186213974e-07,6.088486514954639e-08,8.929779937716376e-08
1833,9.498575082034222e-08,1.2973663388038403e-07,1.3900353990070613e-07
1834,1.213489042584115e-07,8.68111342811062e-08,1.0548019702127931e-07
1835,4.235329242874286e-08,4.0840674842002045e-08,2.0193445493532636e-07
1836,7.52724034214225e-08,1.0215540413582858e-07,1.505447979610608e-07
1837,7.72325918774186e-08,2.365682938432201e-08,1.057599394727049e-07
1838,1.0856918208901334e-07,1.5149188570262595e-08,1.054131060218566e-07
1839,1.2235081214839738e-07,5.942753844578874e-08,1.5381245455081682e-07
1840,1.235719651049294e-07,2.4204817705708592e-08,1.1338046013165126e-07
1841,1.3290535605392506e-07,3.146068650039524e-08,1.2263247128885268e-07
1842,1.455693450225226e-07,1.7441490030023488e-08,1.1202802596699257e-07
1843,1.4767277889404795e-07,4.6073907356003474e-08,1.1577545677710077e-07
1844,2.1954245710276155e-07,3.787107161201675e-08,7.683986069650928e-08
1845,1.9084379232481297e-07,2.287893430263921e-08,1.0714037479431227e-07
1846,1.3523897735012724e-07,1.7563503984519002e-09,1.1650457953926718e-07
