year,fus_VERB en_PRON,fus_VERB dans_ADP
1800,3.144164484325529e-09,2.955514730729192e-07
1801,7.143547975374531e-09,2.7859834972332465e-07
1802,0.0,3.088219386881974e-07
1803,0.0,1.7553053055507917e-07
1804,0.0,2.71903616066993e-07
1805,0.0,1.5920115004064428e-07
1806,2.881669125542885e-09,2.3917854719002207e-07
1807,5.693910232196231e-09,1.1387820109121094e-07
1808,4.5321479902327155e-09,1.1330369886763947e-07
1809,4.518061036407062e-09,1.9427662323323602e-07
1810,2.3401267590372754e-09,2.7613495490186324e-07
1811,0.0,1.2284675676710322e-07
1812,0.0,1.600324992523383e-07
1813,5.751483289628823e-09,2.645682286583906e-07
1814,0.0,1.1013369771717407e-07
1815,8.091670444798638e-09,8.90083740046066e-08
1816,2.3176038865813098e-09,1.0660977523002657e-07
1817,3.113746815941454e-09,1.1987924608547473e-07
1818,0.0,2.1577331210664852e-07
1819,1.035105001712111e-09,1.3042323132594902e-07
1820,1.1866481131050932e-09,1.1510486785937246e-07
1821,9.86148829262845e-10,1.1044866710108181e-07
1822,2.0051231786055723e-09,2.4261990461127425e-07
1823,8.894418535021487e-09,1.4626377264903567e-07
1824,2.0210670470532932e-08,1.8610658969464566e-07
1825,0.0,4.3146670236637874e-07
1826,8.807984341885344e-10,2.0698763592008618e-07
1827,0.0,9.217273344575005e-08
1828,2.8434133270138773e-08,1.733564971573287e-07
1829,6.001223074036943e-09,1.9203913836918218e-07
1830,3.1310507520032616e-09,2.1708618191951246e-07
1831,0.0,1.6994414409055025e-07
1832,1.352996914505411e-08,1.5965363786563103e-07
1833,1.0425265983826648e-08,1.7954624809135566e-07
1834,1.8669061851994684e-09,1.1294782353843402e-07
1835,3.025235173481633e-09,1.6790055212823063e-07
1836,6.048674894287842e-09,1.4046368335129955e-07
1837,1.3915781860163179e-09,1.3011255362016527e-07
1838,6.312161904276081e-10,2.09563779662858e-07
1839,6.9914751765765e-10,1.2514740888036613e-07
1840,2.5478754661634184e-09,1.1592833715212691e-07
1841,5.1364388298225094e-09,1.0658110483063865e-07
1842,4.695785538189057e-09,9.324488559059319e-08
1843,0.0,1.169568406567123e-07
1844,5.488561272137815e-10,7.79375710635577e-08
1845,3.348136878855712e-09,8.760957825870719e-08
1846,0.0,9.542836920672926e-08
1847,1.6179670936367074e-09,1.3159466050183255e-07
