year,nombreux_ADJ essais_NOUN,nombreux_ADJ décès_NOUN
1800,1.8236154630812962e-07,0.0
1801,1.3096504858367553e-07,0.0
1802,1.1189200677108602e-07,0.0
1803,1.969842600146876e-07,0.0
1804,1.3347995775347954e-07,0.0
1805,2.6723051860244595e-07,0.0
1806,1.3832011802605848e-07,2.881669125542885e-09
1807,2.2490945639219717e-07,0.0
1808,3.2404858529844205e-07,0.0
1809,3.6596293284674175e-07,0.0
1810,2.5975407424994046e-07,0.0
1811,1.2033967777824728e-07,0.0
1812,3.280666192040371e-07,0.0
1813,2.5594101771275746e-07,0.0
1814,2.454408161156607e-07,0.0
1815,6.47333635583891e-08,0.0
1816,1.5527946573001827e-07,0.0
1817,2.4131537657012814e-07,0.0
1818,1.5259107044585107e-07,0.0
1819,1.1179133707628353e-07,3.1053151161586356e-09
1820,1.578242034838695e-07,0.0
1821,2.2780038477776543e-07,0.0
1822,1.804610860745015e-07,7.017931125119503e-09
1823,1.8678278479455912e-07,1.9765373782121287e-09
1824,2.2905426533270656e-07,0.0
1825,2.218971673073611e-07,0.0
1826,2.1579562314855139e-07,1.7615968683770689e-09
1827,3.032482709386386e-07,0.0
1828,2.549899704717973e-07,1.8344602503717056e-09
1829,3.0177579901646823e-07,2.571952872898464e-09
1830,3.7468240066118597e-07,0.0
1831,4.256399392943422e-07,0.0
1832,3.7748614545307646e-07,1.3529969367098715e-09
1833,4.2396081312290335e-07,3.4750886612755494e-09
1834,3.808488600043347e-07,9.334530925997342e-10
1835,2.775653342723672e-07,6.050470346963266e-09
1836,2.97729229714605e-07,6.720750067579218e-10
1837,3.1936718869474134e-07,4.174734336004349e-09
1838,3.1371445174954715e-07,1.5149188570262595e-08
1839,3.754422266410984e-07,1.6080392128969834e-08
1840,3.7772252881040913e-07,1.2102408852854296e-08
1841,3.948637470330141e-07,6.420548537278137e-10
1842,3.0120111205178546e-07,7.379091560011375e-09
1843,3.668191652650421e-07,2.953455480181333e-09
1844,3.0241972126532346e-07,3.2931368743049916e-09
1845,3.297914759059495e-07,3.013322924516615e-08
1846,3.904952450284327e-07,5.269050973311096e-09
1847,3.769863212710334e-07,8.089835468183537e-09
1848,3.7571186339846463e-07,1.287235473768078e-08
1849,3.7037014521956735e-07,9.217356655710773e-09
1850,4.1412874907109654e-07,4.752297222410107e-09
1851,3.540741886354226e-07,1.9348316282474798e-09
1852,3.8867955254318076e-07,9.114764054629632e-09
1853,4.502836645770003e-07,4.180352064508952e-09
1854,3.564225892205286e-07,1.4028294081924741e-08
1855,3.3274494626311935e-07,1.9104973603134567e-08
1856,4.40578816096604e-07,3.1063134287023786e-09
1857,4.920561309518234e-07,1.1715621583974212e-08
1858,4.6538858100575453e-07,2.300027723833864e-08
1859,4.409822054185497e-07,3.055304009791371e-09
1860,3.9684184116595134e-07,4.57718396518203e-09
1861,4.4613017280425993e-07,1.0375120318428799e-08
1862,4.730331681912503e-07,7.228778020618165e-09
1863,4.3103577240799495e-07,8.990317823531768e-09
1864,5.6338052445426e-07,1.102787461348953e-08
1865,4.396192707645241e-07,2.2122168985561075e-08
1866,3.7854468359910243e-07,2.2868380966656332e-08
1867,5.964105298517097e-07,2.6690463172940326e-08
1868,5.853750622009102e-07,1.1855697756857353e-08
1869,4.634459571661864e-07,1.5627261262807224e-08
1870,5.028761052017217e-07,3.899153000475053e-08
1871,4.354682801022136e-07,3.3987767267262825e-08
1872,5.672404199685843e-07,3.084143074261192e-08
1873,5.908186153646966e-07,2.454261860407314e-08
1874,5.395071980274224e-07,1.4339061660262331e-08
1875,4.7660321911280334e-07,1.8881039565155078e-08
1876,5.272124781185994e-07,1.6928840773644538e-08
1877,5.108657887831214e-07,2.535774612510977e-08
1878,5.096990776110033e-07,2.536417298415472e-08
1879,5.38231574864767e-07,3.237942536316041e-08
1880,4.832638182961091e-07,3.593994057915495e-08
1881,5.236353217696887e-07,4.741305037470056e-08
1882,4.7053572416189127e-07,5.657077295495583e-08
1883,4.701588238731347e-07,3.5388297625615905e-08
1884,5.221942274147295e-07,3.6969503014461225e-08
1885,6.406962143046258e-07,4.1252068427866107e-08
1886,5.86619876230543e-07,3.872078430111614e-08
1887,5.967436891296529e-07,2.6115697659978565e-08
1888,7.367794410129136e-07,3.614150356767709e-08
1889,6.415500024559151e-07,4.573549716724301e-08
1890,7.989797268237453e-07,3.342737137090879e-08
1891,8.127130399770977e-07,4.0157587477551715e-08
1892,6.945511472622456e-07,6.581937661565007e-08
1893,7.11297104771802e-07,3.1407925149551374e-08
1894,7.473625487364188e-07,2.8356927694872525e-08
1895,6.776959935450577e-07,3.8519131884129365e-08
1896,7.890224651418976e-07,1.946019634324614e-08
1897,7.994250950105197e-07,2.9133568446582103e-08
1898,7.135185455808823e-07,3.96084842702038e-08
1899,7.88785428085248e-07,2.9296165493519766e-08
1900,7.776197890052572e-07,3.426095229741577e-08
1901,7.690104553148558e-07,3.9121172301648244e-08
1902,8.966178484115517e-07,5.4995179965544594e-08
1903,8.067929115895822e-07,5.2922157323109786e-08
1904,7.717961807429674e-07,4.944655263017239e-08
1905,6.801880658713344e-07,3.818961635815299e-08
1906,8.266704298875993e-07,6.893207071811958e-08
1907,7.966264661263267e-07,4.474273873622536e-08
1908,8.565462508158816e-07,5.549869630527837e-08
1909,8.768568022787804e-07,2.3104131385842663e-08
1910,9.715665783005534e-07,2.4583092450569666e-08
1911,8.363628012375557e-07,5.1607629503180874e-08
1912,8.460099820695177e-07,3.64659484830554e-08
1913,9.773409601621097e-07,2.2802856103343316e-08
1914,8.297265594592318e-07,3.884111371421639e-08
1915,7.256949174916372e-07,5.890380805340101e-08
