year,pouvions_VERB écrire_VERB,pouvions_VERB décrire_VERB
1904,4.299700151477737e-09,5.374625189347171e-10
1905,2.0643036169332163e-09,0.0
1906,5.144184522798412e-10,5.144184522798412e-10
1907,4.114274698707732e-09,1.5428529565042481e-09
1908,0.0,4.911389073214423e-10
1909,5.500983557560346e-10,0.0
1910,7.481810726517324e-09,0.0
1911,3.7242617878519013e-09,0.0
1912,6.772247651554153e-09,0.0
1913,3.181793939432964e-09,0.0
1914,7.366418142140674e-09,1.3393487430235496e-09
1915,1.6493066468115103e-08,0.0
1916,2.197492321442951e-08,5.493730803607377e-09
1917,1.4256351654751143e-08,0.0
1918,1.1486376294556067e-08,0.0
1919,1.2890987832747669e-08,0.0
1920,7.572231730534895e-10,0.0
1921,4.543648568500203e-09,0.0
1922,3.6889677978990676e-09,0.0
1923,4.246379248229459e-09,0.0
1924,2.578324886925998e-09,2.578324886925998e-09
1925,8.798542339150117e-09,1.0998177923937646e-09
1926,4.458455382660986e-09,0.0
1927,5.574612327308159e-09,2.2298449753321847e-09
1928,3.4278122562625413e-09,2.2852082448565625e-09
1929,3.342121912552898e-09,0.0
1930,4.201441416995522e-09,0.0
1931,3.4216069977333063e-09,2.2810713318222042e-09
1932,6.575722188983946e-09,0.0
1933,2.064719240024715e-08,0.0
1934,7.188948103475923e-09,0.0
1935,1.196828414151696e-09,0.0
1936,3.6374143697059935e-09,1.2124714565686645e-09
1937,2.5182236296217297e-09,1.2591118148108649e-09
1938,1.2965214457594243e-09,0.0
1939,6.117620188206274e-09,0.0
1940,1.0143131667916805e-08,0.0
1941,2.066051862925633e-08,0.0
1942,1.2136847082899749e-08,3.034211770724937e-09
1943,1.4516175816936538e-08,0.0
1944,0.0,0.0
1945,0.0,0.0
1946,1.3921104269343232e-09,0.0
1947,1.0728784083369192e-08,2.3841741914054637e-09
1948,1.0871888278529696e-08,1.0871887834440486e-09
1949,7.853606653895895e-09,0.0
1950,1.595304155443955e-08,0.0
1951,1.0661401539380222e-08,0.0
1952,9.490323193972472e-09,1.0544803918932644e-09
1953,7.54167928107563e-09,0.0
1954,5.863521668203475e-09,0.0
1955,2.815682353940474e-09,0.0
1956,1.744228317335228e-09,0.0
1957,0.0,8.835037701437898e-10
1958,1.3235589513271862e-08,0.0
1959,3.100299128533379e-09,7.750747821333448e-10
1960,8.305000243069571e-09,4.844583401109048e-09
1961,2.08444772553662e-09,6.948159270159238e-10
1962,2.5367825617905737e-09,0.0
1963,5.819448034571906e-09,6.466053248388448e-10
1964,1.2167936658258327e-09,3.041984220075733e-09
1965,6.0192477668863376e-09,2.188817349590977e-09
1966,6.6468897053084675e-09,1.6617224263271169e-09
1967,2.9582012395223956e-09,4.930335584241163e-10
1968,4.940557296606585e-09,4.4914158503495116e-10
1969,7.72098829315837e-09,9.083515606356229e-10
1970,6.438214850135182e-09,4.5987250119061684e-10
1971,6.166076982339064e-09,1.0276794970565106e-09
1972,5.130146973897354e-09,1.0260293725750103e-09
1973,3.859242703185828e-09,0.0
1974,6.1881286761433785e-09,0.0
1975,4.569184142155791e-09,0.0
1976,2.856763492431469e-09,0.0
1977,0.0,5.876781838942691e-10
1978,5.346532105932056e-09,1.7821774056514528e-09
1979,9.948355028654987e-09,2.3407893401383717e-09
1980,2.2740602734216964e-09,3.411090521154847e-09
1981,2.5302198114474095e-09,0.0
1982,3.7245013739806154e-09,1.8622506869903077e-09
1983,6.315316269933646e-09,1.2630632095778083e-09
1984,2.3196033982486597e-09,1.1598016991243298e-09
1985,6.015558051686298e-10,6.015558051686298e-10
1986,8.991728250862252e-09,1.1988970927134801e-09
1987,1.8332451112712533e-09,0.0
1988,3.597932174415064e-09,0.0
1989,2.1952488715726304e-09,5.488122178931576e-10
1990,3.2691906959314565e-09,5.44865097484859e-10
1991,3.5168792322792797e-09,0.0
1992,2.2039776670368383e-09,0.0
1993,3.323524566667402e-09,0.0
1994,2.1099706426497278e-09,0.0
1995,1.626735190995987e-09,2.7112254663563817e-09
1996,2.6690460952494277e-09,0.0
1997,4.794894259418925e-09,2.3974471297094624e-09
1998,3.337690568372409e-09,4.768129224785866e-10
1999,4.113180906983871e-09,1.3710603763428253e-09
2000,5.743440834038438e-09,1.3254094488601709e-09
2001,7.0099388516098315e-09,2.190605918883648e-09
2002,3.504977197366088e-09,0.0
2003,2.9168460979889232e-09,1.2500769308587678e-09
2004,6.166707589017051e-09,2.2023955992267474e-09
2005,3.602999676388663e-09,0.0
2006,2.4707338397433887e-09,0.0
2007,6.391167151065247e-09,1.5977917877663117e-09
2008,6.3861596011349775e-09,4.257439678578834e-10
2009,2.860915504498962e-09,1.907277002999308e-09
2010,1.4171379625338432e-09,9.447586046817946e-10
2011,6.883149605840799e-09,3.82397197240536e-10
2012,5.1063788752969685e-09,1.0212758416727752e-09
2013,3.0680376017500066e-09,5.578250084070646e-10
2014,2.5985342766432495e-09,1.5158115873603606e-09
2015,3.768178213903184e-09,1.10828768384863e-09
2016,2.278474076078396e-09,1.2428040818690533e-09
2017,2.0124890642847504e-09,2.515611330355938e-10
2018,3.614053500911041e-09,1.8070267504555204e-09
2019,3.06118530524202e-09,2.55098775436835e-10
