year,pouvons_VERB étendre_VERB
1800,1.5720821977538435e-08
1801,4.7623651688866175e-09
1802,1.7902721083373763e-08
1803,5.070882025393075e-08
1804,2.2246657849223084e-08
1805,0.0
1806,5.76333825108577e-09
1807,4.839823830593559e-08
1808,4.305540457494317e-08
1809,2.259030518203531e-09
1810,2.3401266702194334e-08
1811,3.5099073869560016e-08
1812,1.8670457180292033e-08
1813,2.8757416448144113e-09
1814,3.776012391654149e-08
1815,0.0
1816,9.270415546325239e-09
1817,1.71256075987003e-08
1818,5.960588467246453e-09
1819,1.8631890696951814e-08
1820,5.933240565525466e-09
1821,1.0847637454958203e-08
1822,1.604098542884458e-08
1823,1.2847492847356534e-08
1824,9.263223965660927e-09
1825,2.6416328680056722e-08
1826,2.7304752237000685e-08
1827,6.452091305675367e-09
1828,1.7427371545863934e-08
1829,1.8860987438529264e-08
1830,2.7135772739939057e-08
1831,4.677361609140007e-09
1832,1.2176972319366541e-08
1833,0.0
1834,1.213489042584115e-08
1835,9.832014313815307e-09
1836,1.6129799718100912e-08
1837,2.922314124020886e-08
1838,1.3886756633496589e-08
1839,1.3283802502428443e-08
1840,4.458782232319436e-09
1841,2.953452238330101e-08
1842,8.049918065466954e-09
1843,1.4767278067040479e-08
1844,6.586273748609983e-09
1845,1.785672942844485e-08
1846,1.4050803187615202e-08
1847,8.089835468183537e-09
1848,1.448139919091318e-08
1849,1.508294644736452e-08
1850,1.0183494048021657e-08
1851,6.449438760824933e-09
1852,1.8880582430824688e-08
1853,3.941475057445132e-08
1854,2.182179059673217e-08
1855,1.2736649068756378e-08
1856,1.9673318973900678e-08
1857,1.4156376515472857e-08
1858,1.3702292633865909e-08
1859,1.4258085379026397e-08
1860,1.1900677776566226e-08
1861,1.2733101684148096e-08
1862,1.581295272501393e-08
1863,2.6970951694238465e-08
1864,1.4384183621984903e-08
1865,9.413688495385486e-09
1866,1.8489329178805747e-08
1867,2.426405742994575e-08
1868,1.778354707937524e-08
1869,1.2208797528501236e-08
1870,2.5803219116937726e-08
1871,1.5931766128574054e-08
1872,1.7537283625301825e-08
1873,1.616221290134945e-08
1874,9.559374625212058e-09
1875,2.8607635371713513e-08
1876,1.874264654588842e-08
1877,1.8554447978047506e-09
1878,1.1474268646338714e-08
1879,1.2829582729523281e-08
1880,1.5402831010646878e-08
1881,9.064259565150223e-09
1882,1.5972924316542958e-08
1883,2.5277355319985872e-08
1884,1.5844072720483382e-08
1885,3.0294486919046903e-08
1886,9.034849313138693e-09
1887,1.4363633837888301e-08
1888,1.7119660356001987e-08
1889,3.069916942877171e-08
1890,7.209825181320184e-09
1891,2.7409146952095398e-08
1892,1.7551833764173352e-08
1893,1.6627724974682678e-08
1894,2.0164925729204697e-08
1895,1.3240951446391591e-08
1896,1.8870492723976895e-08
1897,1.806281169081103e-08
1898,2.546259736391221e-08
1899,2.3768587098516036e-08
1900,2.4397950326715545e-08
1901,3.297355988252093e-08
1902,1.4730851205513318e-08
1903,1.4040573148577096e-08
1904,2.042357571951925e-08
1905,2.2707340008309984e-08
1906,2.41776678677752e-08
1907,2.1599941391059474e-08
1908,2.6030361865991836e-08
1909,1.1552065082298668e-08
1910,2.0842188419578633e-08
1911,1.9153347352585115e-08
1912,1.719108944087111e-08
1913,2.1211958411981868e-08
1914,1.875088173619588e-08
1915,8.246533234057551e-09
1916,1.538244731591476e-08
1917,1.973956464951243e-08
1918,2.2972752589112133e-08
1919,1.749491218561161e-08
1920,2.0445025228355007e-08
1921,9.844571380313027e-09
1922,2.87739485571592e-08
1923,2.653987074552333e-08
1924,2.5783249313349188e-08
1925,8.798542339150117e-09
1926,2.8979959765251806e-08
1927,1.3379070296082318e-08
1928,1.5996457491951332e-08
1929,4.4561625500705304e-09
1930,2.7309368988426286e-08
1931,1.3686427990933225e-08
1932,8.767629289252454e-09
1933,1.605892663292252e-08
1934,4.553000465534751e-08
1935,1.6755597798123745e-08
1936,1.2124714565686645e-08
1937,5.0364472592434595e-09
1938,7.779128452511941e-09
1939,1.3764645423464117e-08
1940,1.0143131667916805e-08
1941,1.4757512545315876e-08
1942,6.068423541449874e-09
1943,1.7419411690866582e-08
1944,1.927911696952833e-08
1945,2.832055301382752e-08
1946,1.8097434661967782e-08
1947,1.6689218895749036e-08
1948,9.784699273041042e-09
1949,1.668891336237266e-08
1950,1.3825969702452312e-08
1951,1.4925962688039363e-08
1952,2.003512733494972e-08
1953,2.2625037843226892e-08
1954,1.9545073115523337e-08
1955,3.003394510869839e-08
1956,1.9186511934776718e-08
1957,1.501956425897788e-08
1958,1.8198935691771112e-08
1959,3.022791617013354e-08
1960,1.314958364417862e-08
1961,1.528595028332802e-08
1962,1.6489087428794846e-08
1963,2.0044765847160306e-08
1964,1.4601523545820783e-08
1965,1.5321720781003023e-08
1966,2.4925835617750636e-08
1967,2.021437595089992e-08
1968,2.4253646202510026e-08
1969,1.9983733778872192e-08
1970,1.7015283404475667e-08
1971,2.3122789016838396e-08
1972,1.898154344814884e-08
1973,2.0398854161385316e-08
1974,1.2938814464291681e-08
1975,8.567219822452898e-09
1976,2.3425460682346966e-08
1977,7.052138428775834e-09
1978,1.3663360221016774e-08
1979,1.287434159280565e-08
1980,1.193881615790815e-08
1981,9.488323904349727e-09
1982,1.1173503899897241e-08
1983,2.084054351314535e-08
1984,1.1018116197192285e-08
1985,1.3835783185811579e-08
1986,1.1988970705090196e-08
1987,9.777306964053878e-09
1988,1.199310784016916e-08
1989,1.2073869015694072e-08
1990,6.538381391862913e-09
1991,1.6998249918742658e-08
1992,1.597883780846132e-08
1993,2.049506697687775e-08
1994,1.476979427650349e-08
1995,1.1929391696696712e-08
1996,9.60856638698715e-09
1997,7.192341833217597e-09
1998,8.10582001520288e-09
1999,2.2393985332769262e-08
2000,1.2812291672048559e-08
2001,1.095302959441824e-08
2002,1.1391176002462089e-08
2003,1.3334153337041244e-08
2004,1.6297727611913615e-08
2005,8.557123898356167e-09
2006,2.4295550460351478e-08
2007,1.3181781888249589e-08
2008,9.79211112195344e-09
2009,1.3350939020995156e-08
2010,1.1809482280966677e-08
2011,1.5678285336662157e-08
2012,1.4297861561374248e-08
2013,1.7013663367038134e-08
2014,1.1909948582911056e-08
2015,1.5959342292148904e-08
2016,1.905632807108759e-08
2017,1.3081178806828575e-08
2018,1.2132893800753664e-08
2019,9.693753355577428e-09
