year,véritables_ADJ yeux_NOUN,véritables_ADJ dieux_NOUN
1800,1.2576657937302116e-08,0.0
1801,3.095537337571841e-08,2.3811825844433088e-09
1802,2.0140561218795483e-08,6.713520406265161e-09
1803,5.265916058760922e-08,1.1702034896643454e-08
1804,2.4718509461507665e-09,7.4155526164076946e-09
1805,2.842877711017877e-09,8.528632911009026e-09
1806,2.881669125542885e-09,0.0
1807,0.0,2.8469551160981155e-09
1808,4.305540457494317e-08,2.2660739062985158e-08
1809,6.7770917766551975e-09,4.518061036407062e-09
1810,0.0,2.574139479349924e-08
1811,1.504245972228091e-08,1.2535383842049441e-08
1812,2.1337665856435706e-08,0.0
1813,0.0,1.1502966579257645e-08
1814,0.0,0.0
1815,1.0788894222457657e-08,2.697223555614414e-09
1816,2.3176038865813098e-08,1.1588019432906549e-08
1817,0.0,0.0
1818,3.5763532135746345e-09,3.5763532135746345e-09
1819,2.070210003424222e-09,3.1053151161586356e-09
1820,1.1866481131050932e-09,2.4919611263385377e-08
1821,1.97229765852569e-09,2.465372084259343e-08
1822,2.8071724500478012e-08,1.9048670196752937e-08
1823,1.087095569118901e-08,9.882686669016039e-09
1824,1.431589158329416e-08,3.621078459303817e-08
1825,7.924898959288385e-09,1.4969252504215547e-08
1826,0.0,1.7615968683770689e-09
1827,2.5808365222701468e-08,2.7651818612639545e-09
1828,0.0,1.6510142142323048e-08
1829,1.457439946506156e-08,9.430493719264632e-09
1830,1.878630406793036e-08,2.0873671680021744e-09
1831,3.1182412207897414e-09,0.0
1832,1.8941957335982806e-08,1.2176972319366541e-08
1833,3.4750886612755494e-09,9.730248251571538e-08
1834,7.467624740797874e-09,1.68021550006614e-08
1835,1.0588323107185715e-08,2.117664621437143e-08
1836,4.032449929525228e-09,5.376600054063374e-09
1837,1.1132625488130543e-08,1.3915781860163179e-09
1838,4.418513555037862e-09,3.787297142565649e-09
1839,0.0,2.7965900706306e-09
1840,1.7198159341091923e-08,1.5287252685958208e-08
1841,2.5682194149112547e-09,6.420548537278137e-10
1842,2.683306021822318e-09,6.708265054555795e-09
1843,1.063243981747064e-08,1.476727812255163e-08
1844,2.7442805805577564e-09,1.3172546664552698e-08
1845,2.399498022498392e-08,1.1160455670733427e-08
1846,2.0490753982471688e-08,1.7563503984519002e-09
1847,1.294373674909366e-08,6.47186837454683e-09
1848,1.448139919091318e-08,3.218088684420195e-09
1849,3.6869426622843093e-08,8.379414939696517e-10
1850,3.326607966869233e-08,4.752297222410107e-09
1851,1.2898877521649865e-09,2.1283147688677673e-08
1852,3.906327261660181e-09,5.859490892490271e-09
1853,3.5831591027601917e-09,4.777545470346922e-09
1854,1.2989160858012383e-08,2.0782658372020535e-09
1855,1.326734277995456e-08,4.2455496895854594e-09
1856,1.8120163147727908e-08,1.656700465701988e-08
1857,3.4170564155999728e-09,1.7085282522089074e-08
1858,1.468102750479261e-09,1.468102794888182e-08
1859,5.092173349652285e-10,2.5460866748261424e-09
1860,3.204028820036342e-09,3.661747127736703e-09
1861,3.772770984511453e-09,6.6023493339173456e-09
1862,0.0,7.680576730173527e-09
1863,1.2486552236623538e-08,2.0477944673302773e-08
1864,4.794727948009836e-10,1.8699438886216058e-08
1865,1.4591217123438582e-08,8.001635798393636e-09
1866,2.432806400776144e-09,1.5569961542283295e-08
1867,0.0,1.6014277903764196e-08
1868,1.975949626142892e-09,6.915823469455518e-09
1869,4.883519366671862e-09,6.8369268024781604e-09
1870,4.587239033071455e-09,3.4404292748035914e-09
1871,6.37270636261178e-09,1.911811908783534e-08
1872,3.628403577593531e-09,1.3908880269752899e-08
1873,6.584604861359367e-09,1.915521447015678e-08
1874,1.5533982988813477e-08,1.1949218281515073e-09
1875,5.721527140956084e-10,5.149374260327022e-09
1876,1.813804439976252e-09,1.934724735974669e-08
