year,ces_DET eaux_NOUN,ces_DET do_NOUN
1800,5.684649579507095e-06,6.288328968651058e-09
1801,5.643402516852802e-06,7.143547975374531e-09
1802,6.4516930251556914e-06,2.2378401354217203e-09
1803,6.761826284673589e-06,1.950339223455444e-09
1804,5.571551923821971e-06,2.4718509461507665e-09
1805,5.142765701293683e-06,8.528632911009026e-09
1806,5.339733093023824e-06,0.0
1807,6.146575913135166e-06,5.693910232196231e-09
1808,5.429513464605407e-06,6.798221985349073e-09
1809,5.292908269893815e-06,4.518061036407062e-09
1810,5.354210145469551e-06,4.680253518074551e-09
1811,7.263001293722482e-06,5.0141535368197765e-09
1812,6.075900216728769e-06,0.0
1813,5.115944532008143e-06,0.0
1814,6.104553847308125e-06,6.293354282149721e-09
1815,9.742371503307368e-06,5.394447111228828e-09
1816,5.126539804223285e-06,6.952811659743929e-09
1817,4.107031941202877e-06,7.784366928831332e-09
1818,4.881721963556629e-06,5.9605886892910576e-09
1819,4.499601629959216e-06,5.175524897538253e-09
1820,3.7462481827787997e-06,5.933240565525466e-09
1821,3.828229665714389e-06,5.916893086599373e-09
1822,5.578252512350446e-06,8.02049271442229e-09
1823,3.3670313541733776e-06,7.906149512848515e-09
1824,3.2926551227774326e-06,2.5263338088166165e-09
1825,3.863828311523321e-06,4.4027217427355936e-09
1826,5.975336648589291e-06,1.8496766784892316e-08
1827,4.558863054171525e-06,2.027800150017356e-08
1828,3.9239105262822704e-06,7.337841001486822e-09
1829,4.626085683412384e-06,4.286588028978855e-09
1830,4.214394380142039e-06,8.349468894053302e-09
1831,5.174721195544407e-06,1.5591206103948707e-09
1832,3.6436207437873236e-06,2.705993873419743e-09
1833,6.72777133559066e-06,5.791814139399776e-09
1834,3.985844699627705e-06,1.7735608093261135e-08
1835,4.484911244162504e-06,3.025235173481633e-09
1836,3.472611638244416e-06,9.409050427677812e-09
1837,4.68266074449275e-06,6.2621018370734305e-09
1838,4.6318646127474494e-06,1.0730675015224733e-08
1839,3.5265000803974544e-06,6.9914749545318955e-09
1840,4.054306941725372e-06,9.554533164646273e-09
1841,3.982024338711199e-06,4.494383976094696e-09
1842,3.382978036370332e-06,2.0124795163667386e-09
1843,3.3887948802657775e-06,5.906911015873817e-09
1844,3.5006043503926776e-06,1.6465683816413446e-09
1845,3.841986853103663e-06,7.812319235966925e-09
1846,4.366872587979742e-06,8.196301637397596e-09
1847,3.4074387258442584e-06,3.775256551818984e-09
1848,4.2366138472971215e-06,1.2067832844131487e-08
1849,4.424331052632624e-06,5.865590235742957e-09
1850,3.560828531590232e-06,6.788996032014438e-09
1851,4.572652017031942e-06,6.449438760824933e-09
1852,4.258547846802685e-06,7.161600201754936e-09
1853,4.6945356189098675e-06,6.569125021727018e-09
1854,4.657913279970671e-06,1.0391328519876453e-08
1855,4.0794425331114326e-06,1.1675261646360013e-08
1856,4.2546141116872604e-06,8.283502661576847e-09
1857,4.6891776719348854e-06,5.36965993891414e-09
1858,3.8738339753763285e-06,5.872411334983951e-09
1859,4.827889483749459e-06,6.61982535454797e-09
1860,4.979060690857295e-06,5.950338888283113e-09
1861,4.061859499415732e-06,7.073945873514731e-09
1862,4.4687403146781435e-06,7.6805766469068e-09
1863,4.13854286307469e-06,6.99246927027275e-09
1864,4.623076790721825e-06,1.0068928579798353e-08
1865,4.041296563173091e-06,9.88437331983505e-09
1866,4.033106449696788e-06,1.1190909809943861e-08
1867,3.77936947870694e-06,4.85281148598915e-09
1868,4.232484059230046e-06,6.915823469455518e-09
1869,3.72856680996847e-06,7.813630631403612e-09
1870,4.470837893677526e-06,1.1468098026767848e-08
1871,3.6621818253479432e-06,3.18635318130589e-09
1872,3.91928051612922e-06,1.0280476581137066e-08
1873,4.588870922361821e-06,7.183205363858747e-09
1874,4.160717878676223e-06,4.182226565063729e-09
1875,3.6360304989102588e-06,6.86583251363615e-09
1876,4.221932044856658e-06,4.836811617892067e-09
1877,3.7238776258163853e-06,8.658742167710898e-09
1878,3.415708647480642e-06,7.850815053611626e-09
1879,3.5617366052065336e-06,8.55305515301552e-09
1880,3.207639565516729e-06,3.8507077526617195e-09
1881,3.521116354932019e-06,1.045876146799074e-08
1882,3.758961440780695e-06,5.324308105514319e-09
1883,3.7631662621606665e-06,6.319339107552224e-09
1884,3.479094345948397e-06,5.281357573494461e-09
1885,4.2618543147909804e-06,1.8692343783932586e-08
1886,3.419045071950677e-06,1.161623497392128e-08
1887,3.862511846364214e-06,1.109917147079642e-08
1888,3.7301836641745467e-06,8.242799331981132e-09
1889,3.4614880064509634e-06,3.759082101151279e-09
1890,3.2221363426288008e-06,1.1142456735058204e-08
1891,2.9417025189104606e-06,6.374220151705856e-09
1892,3.253357959920322e-06,8.149066310636499e-09
1893,3.053343021974797e-06,5.542574954553459e-09
1894,3.5269714544483577e-06,6.93169299736951e-09
1895,2.967176840229513e-06,4.814891596538473e-09
1896,2.8229078736785596e-06,4.1279202278587945e-09
1897,2.7915785665300064e-06,6.992056267307589e-09
1898,2.7675014280248433e-06,1.6975064687230201e-09
1899,2.9848924043562874e-06,4.9748205555033564e-09
1900,2.9080280512516765e-06,3.633737311048435e-09
1901,2.5568481589743897e-06,5.588738916095792e-09
