year,soyez_VERB en_PRON,soyez_VERB dans_ADP
1800,6.288328968651058e-09,9.746909768182377e-08
1801,0.0,2.0001933354052426e-07
1802,2.2378401354217203e-09,7.161088433349505e-08
1803,0.0,1.1897069462918353e-07
1804,7.4155528384522995e-09,2.6943175868154867e-07
1805,0.0,1.9047280197526106e-07
1806,0.0,1.930718314113733e-07
1807,0.0,1.736642651906095e-07
1808,2.2660739951163578e-09,1.0877155354194201e-07
1809,2.259030518203531e-09,9.487928309681593e-08
1810,0.0,2.223120389999167e-07
1811,0.0,1.0028307251275237e-07
1812,2.6672082320544632e-09,8.801786854917282e-08
1813,0.0,1.3803560250380542e-07
1814,0.0,1.4789382873914292e-07
1815,8.091670444798638e-09,1.0788894577729025e-07
1816,6.952811659743929e-09,2.757948678322464e-07
1817,0.0,1.3544798527220792e-07
1818,2.384235475716423e-09,1.680886043686769e-07
1819,2.070210003424222e-09,1.5837106204230622e-07
1820,0.0,1.7799721874212082e-07
1821,1.97229765852569e-09,2.2188349291241138e-07
1822,0.0,2.6467625957593555e-07
1823,0.0,2.0061854755226705e-07
1824,3.3684450784221553e-09,1.3642202745245413e-07
1825,1.7610886082763955e-09,1.461703487137811e-07
1826,4.403992281964975e-09,1.9553725660870214e-07
1827,9.217273055917019e-10,1.9724964062106665e-07
1828,7.337841001486822e-09,1.9812170393151973e-07
1829,1.2859763920403111e-08,1.628903412154159e-07
1830,2.0873671680021744e-09,1.388099217791705e-07
1831,0.0,1.7306238397907237e-07
1832,1.352996914505411e-08,1.691246147572656e-07
1833,1.1583628500844156e-09,9.035230519316428e-08
1834,3.733812370398937e-09,1.5588667423571678e-07
1835,1.5126175867408165e-09,2.3672465232493778e-07
1836,3.3603750337896088e-09,1.7742780045182371e-07
1837,3.478945576063097e-09,1.607272839265761e-07
1838,6.943378316748294e-09,1.5275431586303512e-07
1839,6.292327547896548e-09,9.57832071435405e-08
1840,6.369688665408546e-10,1.6433796989900884e-07
1841,1.926164561183441e-09,1.5666138963865706e-07
1842,1.2074877098200432e-08,1.7709819033484564e-07
1843,1.7720733769266417e-09,1.7248179773332595e-07
1844,2.195424508855126e-09,1.520331505133754e-07
1845,5.580227946389016e-10,2.0088820029684484e-07
1846,0.0,1.4811888071619705e-07
1847,5.393223645455691e-10,9.86959900473039e-08
1848,8.045221766561639e-09,1.4079138743738895e-07
1849,0.0,9.301150338814068e-08
1850,2.0366988096043315e-09,1.3034872381467721e-07
1851,0.0,1.109303493507241e-07
1852,6.510545436100301e-10,1.2174720076529866e-07
1853,2.388772735173461e-09,2.0662883670752308e-07
1854,1.5586993362681767e-09,1.9535698925210454e-07
1855,1.5920811335945473e-09,1.7725169954019293e-07
1856,1.0354378465748937e-09,2.956175055857102e-07
