year,nos_DET oies_NOUN,nos_DET doigts_NOUN
1800,1.8864987794131594e-08,2.2009151834367913e-07
1801,2.1430643926123594e-08,1.262026785298076e-07
1802,8.951360541686881e-09,1.0741632650024258e-07
1803,5.070882025393075e-08,1.677291692203653e-07
1804,1.4831105232815389e-08,1.557266102736321e-07
1805,3.41145314219915e-08,9.950071699904584e-08
1806,5.76333825108577e-09,1.6137347635947208e-07
1807,8.540865792383556e-09,9.679647661187119e-08
1808,4.5321479902327155e-09,1.2463407284002415e-07
1809,4.0662548883574345e-08,9.036122095018584e-08
1810,0.0,4.212228077449254e-08
1811,5.0141535368197765e-09,5.766276700569506e-08
1812,8.00162425207418e-09,1.0668833283489221e-07
1813,0.0,8.91479885467561e-08
1814,3.1466771410748606e-09,2.1397404736944736e-07
1815,0.0,8.631115377966125e-08
1816,9.270415546325239e-09,1.8077309782427164e-07
1817,2.8023721676539992e-08,6.694555632069665e-08
1818,4.172412104708201e-08,1.5259106800336042e-07
1819,7.24573512300708e-09,1.1075623262968293e-07
1820,1.6613073583471305e-08,9.967844327718467e-08
1821,8.875339574387908e-09,1.1537941135841834e-07
1822,1.2030739071633434e-08,8.221005032282847e-08
1823,5.929612023614084e-09,9.48737950423606e-08
1824,1.1789557774477544e-08,1.3557991973556227e-07
1825,3.25801385869795e-08,6.251864448358901e-08
1826,1.7615968683770689e-09,8.543744955957777e-08
1827,7.373818444733615e-09,8.111200600069424e-08
1828,3.485474309172787e-08,7.704733206992387e-08
1829,2.5719527840806222e-08,1.0459274851770672e-07
1830,6.262101504006523e-09,9.184415317164962e-08
1831,1.5591206548037917e-08,8.41925122951892e-08
1832,1.352996914505411e-08,1.637126354481211e-07
1833,2.3167257445777523e-08,1.332117278707301e-07
1834,1.8669062296083894e-08,1.166816332442977e-07
1835,1.5882484660778573e-08,1.3008511245971022e-07
1836,2.8899224790990274e-08,1.1626897844507766e-07
1837,2.574419688539109e-08,1.14805203565993e-07
1838,1.325553999897977e-08,1.1740620919908906e-07
1839,8.389769878824893e-09,1.2934229420835663e-07
1840,1.2102408852854296e-08,9.873017736694578e-08
1841,3.017657901338566e-08,1.1492781748501102e-07
1842,1.408735617047796e-08,1.0599058697380315e-07
1843,6.497602123012314e-09,1.0927785698555681e-07
1844,6.037417454862748e-09,8.891469116534267e-08
1845,5.5802281129224696e-09,9.374782711235596e-08
1846,3.5127007969038004e-09,9.191566863187006e-08
1847,2.3730184928183462e-08,7.065122975546956e-08
1848,2.011305477722658e-08,7.884317598794155e-08
1849,2.011059585527164e-08,5.9493844517533034e-08
1850,5.431196825611551e-09,1.819450963225222e-07
1851,1.2898877521649865e-08,7.481348918148001e-08
1852,1.6276363812295358e-08,1.2890879474980466e-07
1853,1.5527023222716707e-08,1.4750671439855978e-07
1854,8.832629738719788e-09,1.8392652689769307e-07
1855,9.021793090369101e-09,1.5443186995867109e-07
1856,8.28350277259915e-09,1.1855763215606885e-07
1857,3.417056471111124e-09,2.069759919010039e-07
