year,grands_ADJ doutes_NOUN
1800,4.4018303668735825e-08
1801,4.524246932646747e-08
1802,5.147032311469957e-08
1803,7.606323038089613e-08
1804,1.3842365831351344e-07
1805,2.842877755426798e-08
1806,4.034336598124355e-08
1807,2.8469550272802735e-08
1808,1.5862518409903714e-08
1809,3.840352036377226e-08
1810,1.8721014072298203e-08
1811,1.504245972228091e-08
1812,6.668020802180763e-08
1813,6.901780125190271e-08
1814,3.4613449884091096e-08
1815,1.4565007688815967e-07
1816,3.476405652236281e-08
1817,3.580808893843823e-08
1818,7.152706160695743e-08
1819,7.24573467891787e-08
1820,8.543866414356671e-08
1821,3.4515210245444905e-08
1822,5.514088741165324e-08
1823,1.7788837070042973e-08
1824,4.7158231097910175e-08
1825,3.874394849390228e-08
1826,1.039342123476672e-07
1827,6.544264152807955e-08
1828,4.4027046897099353e-08
1829,4.543783305166471e-08
1830,7.931995327226105e-08
1831,3.1182413096075834e-08
1832,2.4353944638733083e-08
1833,8.80355770505048e-08
1834,4.29388435918554e-08
1835,4.764745398233572e-08
1836,5.981467410265395e-08
1837,3.6181031504156635e-08
1838,9.278878110308142e-08
1839,6.292327725532232e-08
1840,6.305991462340899e-08
1841,6.292137300079048e-08
1842,9.794067068469303e-08
1843,5.6706348061652534e-08
1844,5.1592476069117765e-08
1845,6.249855033502172e-08
1846,3.3956109035671034e-08
1847,6.094342808182773e-08
1848,8.849743693417622e-08
1849,7.54147322368226e-08
1850,5.702756666892128e-08
1851,6.255955753431408e-08
1852,1.210961499964469e-07
1853,6.569125332589465e-08
1854,3.948704829781491e-08
1855,1.0401596739484376e-07
1856,4.34883880018333e-08
1857,8.835531417616949e-08
1858,9.689478730479095e-08
1859,8.554851405051522e-08
1860,8.10161537856402e-08
1861,9.620566032708666e-08
1862,6.867339408245243e-08
1863,1.0738434497170601e-07
1864,7.959248193856183e-08
1865,9.507825637911083e-08
1866,7.541699886814968e-08
1867,6.114542827617697e-08
1868,6.520633633044781e-08
1869,1.0743742251406729e-07
1870,6.82351810610271e-08
1871,9.346636176132961e-08
1872,9.675743228854117e-08
1873,1.0355788049309922e-07
1874,6.153847209589003e-08
1875,8.067353007845668e-08
1876,1.166880849723384e-07
1877,5.999271479595336e-08
1878,5.6163525385954927e-08
1879,4.581993806596074e-08
1880,5.840239936105718e-08
1881,6.554157039317943e-08
1882,9.783416032860259e-08
1883,6.888079440159345e-08
1884,5.215340692643622e-08
1885,6.832373600218489e-08
1886,9.422057445362952e-08
1887,5.092561039532484e-08
1888,5.896771781976895e-08
1889,6.202485280937253e-08
1890,3.6704562944578356e-08
1891,4.6531805963923034e-08
1892,4.325273650351846e-08
1893,5.542574754713314e-08
1894,3.7809236630437226e-08
1895,4.213030280197927e-08
