year,quelques_DET eaux_NOUN,quelques_DET do_NOUN
1800,7.074370231840987e-07,6.288328968651058e-09
1801,4.5242469548512076e-07,4.7623651688866175e-09
1802,2.215461734067503e-07,4.475680270843441e-09
1803,3.58862413563088e-07,1.950339223455444e-09
1804,1.9527622896475805e-07,0.0
1805,2.4164460610265337e-07,2.842877711017877e-09
1806,1.671368039524168e-07,0.0
1807,5.209927849136875e-07,5.693910232196231e-09
1808,3.8296650961555656e-07,0.0
1809,2.6882463544097845e-07,0.0
1810,1.8955026881428694e-07,0.0
1811,1.6546706893549867e-07,5.0141535368197765e-09
1812,2.827240734859515e-07,0.0
1813,2.5594101771275746e-07,0.0
1814,1.2272040805783035e-07,0.0
1815,1.3755840200246894e-07,2.697223555614414e-09
1816,2.827476599520651e-07,0.0
1817,3.0826092256575066e-07,0.0
1818,1.4663048819585356e-07,0.0
1819,2.411794675083456e-07,1.0351049795076506e-08
1820,1.6494408328071586e-07,4.746592452420373e-09
1821,2.2188348380858258e-07,0.0
1822,9.223566621585633e-08,2.0051231786055723e-09
1823,1.1661570775700625e-07,1.9765373782121287e-09
1824,1.7515914407795208e-07,0.0
1825,1.0654586324321258e-07,0.0
1826,1.2771577084791375e-07,8.807984341885344e-10
1827,2.3135354698666788e-07,2.7651818612639545e-09
1828,1.797770985412228e-07,9.172301251858528e-10
1829,1.6803425140210493e-07,1.714635211591542e-09
1830,1.5863990387998683e-07,1.0436835840010872e-09
1831,1.8709446880649239e-07,3.1182412207897414e-09
1832,2.597754102939831e-07,2.705993873419743e-09
1833,2.0618858442844612e-07,0.0
1834,1.54953209374753e-07,0.0
1835,1.4218605315363675e-07,1.5126175867408165e-09
1836,1.5726554947192994e-07,6.720750067579218e-10
1837,1.315041417981888e-07,1.3915781860163179e-09
1838,8.39517539930057e-08,0.0
1839,1.2514740621583087e-07,1.3982950353153e-09
1840,1.1338045879938363e-07,0.0
1841,1.585875448739671e-07,6.420548537278137e-10
1842,6.708265187782558e-08,6.708265054555795e-10
1843,9.982679527453797e-08,5.906911071384968e-10
1844,1.158086453401097e-07,5.488561272137815e-10
1845,8.705155485344562e-08,5.580227946389016e-10
1846,1.042101231973902e-07,0.0
1847,1.429204301572895e-07,1.6179670936367074e-09
1848,1.5044565060406967e-07,1.6090443422100975e-09
1849,1.080944542763973e-07,2.513824481908955e-09
1850,1.7108270089494226e-07,1.3577992064028876e-09
1851,1.0706068653831835e-07,0.0
1852,8.593920131083621e-08,6.510545436100301e-10
1853,1.3616004856942254e-07,3.5831591027601917e-09
1854,1.3560684219982022e-07,1.0391328908454511e-09
1855,9.287139945968192e-08,0.0
1856,1.0561466279312981e-07,4.141751386299575e-09
1857,1.2740739041561255e-07,0.0
1858,2.1091743818146824e-07,4.893676019968041e-10
1859,1.3341493776408697e-07,2.036869339860914e-09
1860,1.1122556919929139e-07,1.8308735638683515e-09
1861,1.4289369998365942e-07,0.0
1862,1.897554264829182e-07,1.8071945051545413e-09
