year,êtes_VERB dans_ADP,etes_VERB dans_ADP
1800,1.0815925861606956e-06,0.0
1801,1.438234335182642e-06,4.7623651688866175e-09
1802,1.0584983556327643e-06,0.0
1803,9.96623384708073e-07,0.0
1804,1.3842364978700061e-06,0.0
1805,1.225280243488669e-06,0.0
1806,1.2996327996006585e-06,8.645007376628655e-09
1807,2.1522980659938185e-06,0.0
1808,8.407134259869053e-07,0.0
1809,9.984914868255146e-07,0.0
1810,1.8346594288232154e-06,0.0
1811,9.000405611914175e-07,5.0141535368197765e-09
1812,8.535066626791377e-07,0.0
1813,8.972314162747352e-07,1.1502966579257645e-08
1814,8.275761160803086e-07,0.0
1815,1.0815866744451341e-06,0.0
1816,1.341892698292213e-06,4.6352077731626196e-09
1817,1.0991526551151765e-06,1.556873407970727e-09
1818,1.0442951179356896e-06,0.0
1819,1.183125050374656e-06,0.0
1820,1.0371304597356357e-06,5.933240565525466e-09
1821,1.9358101326361066e-06,1.97229765852569e-09
1822,1.4537142760673305e-06,1.0025615893027862e-09
1823,1.4685672340419842e-06,0.0
1824,1.1755873856600374e-06,0.0
1825,1.2310009651628206e-06,0.0
1826,1.1626539162534755e-06,3.5231937367541377e-09
1827,1.1705936913131154e-06,1.8434546111834038e-09
1828,1.310721813752025e-06,9.172301251858528e-10
1829,1.1410896831876016e-06,8.57317605795771e-10
1830,1.3202596846895176e-06,2.0873671680021744e-09
1831,1.3065430266578915e-06,0.0
1832,1.166283368547738e-06,0.0
1833,1.2324981071287766e-06,2.3167257001688313e-09
1834,1.4197821656125598e-06,9.334530925997342e-10
1835,1.430936208635103e-06,2.2689263801112247e-09
1836,1.3555752502725227e-06,1.3441500135158435e-09
1837,1.1334403779983404e-06,6.262101948095733e-09
1838,1.0661241276466171e-06,2.5248647617104325e-09
1839,9.61327828008507e-07,4.194885327990505e-09
1840,1.282218363485299e-06,4.458782232319436e-09
1841,1.0491175999050029e-06,7.0626033910059505e-09
1842,1.1511382354001398e-06,2.683306021822318e-09
1843,1.1429873438828508e-06,2.3627644285539873e-09
1844,1.2876164419139968e-06,4.9397050894128824e-09
1845,1.222069954565086e-06,2.7901139176833567e-09
1846,1.1328460232107318e-06,1.1709002656346001e-09
1847,8.203093102565617e-07,3.235934187273415e-09
1848,1.0716235010477249e-06,1.6090443422100975e-09
1849,1.0499406926101074e-06,0.0
1850,1.044147552420327e-06,2.0366988096043315e-09
1851,9.306540391662566e-07,1.2898877521649865e-09
1852,9.746286195877474e-07,3.2552727180501506e-09
1853,1.0719617193899467e-06,4.777545470346922e-09
1854,1.4272490034272778e-06,1.558699391779328e-09
1855,1.148421233665431e-06,5.306937111981824e-10
1856,1.2373482149996562e-06,6.73034605824796e-09
1857,1.04610739981581e-06,1.4644527812635033e-09
1858,1.254249127669027e-06,3.4255731584664773e-09
1859,1.0235268064207048e-06,3.5645213447565993e-09
1860,1.0866234561035526e-06,2.288591982591015e-09
1861,1.1653146430035122e-06,3.3011746669586728e-09
1862,1.1566045259314706e-06,9.035972525772706e-10
1863,1.1647455266938778e-06,1.9978483312144135e-09
1864,1.1095000900240848e-06,1.9178911792039344e-09
1865,1.1602371614571894e-06,4.23615986733239e-09
1866,1.2081317208867404e-06,2.432806400776144e-09
1867,1.0321930403733859e-06,1.94112459439566e-09
1868,9.593235290594748e-07,7.903798504571569e-09
1869,1.193043772218516e-06,1.12320943657096e-08
1870,1.1301809763608617e-06,1.3761717099214366e-08
1871,1.07486312117544e-06,7.434824311758348e-09
1872,1.0401423651273944e-06,1.0280476914203973e-08
1873,9.655425401433604e-07,5.387403856360606e-09
1874,8.79462447755941e-07,5.974609140757536e-10
1875,9.72659563558409e-07,1.716458086775674e-09
1876,8.367684358745464e-07,1.209202959984168e-09
1877,8.683481382831815e-07,0.0
1878,7.138202704481955e-07,1.2078177347163432e-09
1879,8.956270676208078e-07,2.443730107160036e-09
1880,8.972149316832656e-07,6.417846254436199e-10
1881,9.17581985504512e-07,6.972507571312292e-10
1882,9.603720627637813e-07,6.655385131892899e-10
1883,8.120350685203448e-07,1.8958017378167824e-09
1884,8.205909125535982e-07,3.300848483434038e-09
1885,6.909721719239315e-07,5.156508553483263e-09
1886,6.285673634920386e-07,6.453463874400711e-10
1887,6.091486852710659e-07,1.3057849246322917e-09
1888,6.549855129378557e-07,6.340614699951175e-10
1889,6.377909471666499e-07,6.265136742733546e-10
1890,6.757572350579721e-07,1.3108772956016423e-09
1891,5.545571184484288e-07,1.9122659011827636e-09
1892,6.65716015646467e-07,1.8805537127519756e-09
1893,6.244634391805448e-07,6.158416554491453e-10
1894,6.326745278784074e-07,1.8904617871129403e-09
1895,6.096856282056251e-07,6.018614495673091e-10
1896,5.702427188225556e-07,3.5382172747233653e-09
1897,5.063413937023142e-07,2.330685422435863e-09
1898,5.103835860609252e-07,5.6583548957434e-10
1899,6.058226063032635e-07,5.527578395003729e-10
1900,6.239645813366224e-07,0.0
1901,5.20870457876299e-07,1.1177477832191585e-09
1902,4.7629754362787935e-07,0.0
1903,5.135609626449877e-07,5.400220270956879e-10
1904,5.337003017302777e-07,5.374625189347171e-10
1905,5.630388386634877e-07,1.0321518084666081e-09
1906,5.113319616611989e-07,2.0576738091193647e-09
1907,5.358842827263288e-07,6.1714118260169926e-09
1908,6.325869321699429e-07,1.964555629285769e-09
1909,5.187427518649201e-07,4.950885035270858e-09
1910,6.060266741769738e-07,5.344150677544235e-10
1911,4.947947900291183e-07,5.320374141248863e-10
1912,5.917902399232844e-07,2.6047106693738442e-09
1913,5.520412287296494e-07,5.30298971401777e-10
1914,4.761384673201974e-07,3.3483718020477227e-09
1915,3.722720691712311e-07,0.0
1916,4.3620224232654436e-07,0.0
1917,3.739550606951525e-07,2.1932848870420685e-09
1918,4.1810409356912714e-07,1.1486376294556067e-09
1919,4.5210535404294205e-07,0.0
1920,4.467616747660941e-07,2.2716695191604686e-09
1921,4.740539907288621e-07,0.0
1922,5.267846177048341e-07,0.0
1923,5.690148441317433e-07,2.1231896241147297e-09
1924,5.375807177188108e-07,1.289162443462999e-09
1925,5.7740436432141e-07,4.399271169575059e-09
1926,5.673384748661192e-07,1.1146138456652466e-09
1927,6.51114760330529e-07,0.0
1928,4.2504873931648035e-07,1.1426041224282812e-09
1929,6.227487006071897e-07,2.2280812750352652e-09
1930,4.884175837105431e-07,5.2518016602221e-09
1931,4.20857674043873e-07,1.1405356659111021e-09
1932,3.8796758872194914e-07,1.0959536611565568e-09
1933,3.177373457674548e-07,1.1470662197865522e-09
1934,4.337331915849063e-07,0.0
1935,5.242108613856544e-07,1.196828414151696e-09
1936,3.407044744108134e-07,2.424942913137329e-09
1937,4.0039756754595146e-07,1.2591118148108649e-09
1938,4.006251401733607e-07,2.5930428915188486e-09
1939,3.288220966624067e-07,4.588215141154706e-09
1940,3.7529588325924124e-07,7.607348528892999e-09
1941,4.132103583742719e-07,0.0
1942,4.672686202411569e-07,0.0
1943,4.5000146542406583e-07,0.0
1944,5.462416652335378e-07,3.2131861615880553e-09
1945,5.119484285387443e-07,2.178504043826024e-09
1946,5.081203084955632e-07,1.3921104269343232e-09
1947,5.948514854026143e-07,0.0
1948,4.794502501681563e-07,1.0871887834440486e-09
1949,4.898687393506407e-07,9.817008317369869e-10
1950,5.179421123102657e-07,0.0
1951,5.266732614472858e-07,0.0
1952,5.567656558014278e-07,7.381362632230548e-09
1953,5.160663363312779e-07,1.0773827385790469e-09
1954,4.817860030925658e-07,1.9545072227344917e-09
1955,4.974372131982818e-07,4.6928039232341234e-09
1956,5.808280434393964e-07,4.360570571293465e-09
1957,4.417518937316345e-07,2.6505113659425206e-09
1958,4.748267770082748e-07,8.272243445794913e-10
1959,5.076739739706682e-07,5.425523585955716e-09
1960,5.640479230351048e-07,1.3841666701708277e-09
1961,5.148585842107423e-07,2.779263708063695e-09
1962,5.00380338053219e-07,1.9025869768540815e-09
1963,5.347425826585095e-07,1.939815863494232e-09
1964,6.771456924070662e-07,0.0
1965,4.6731250336051744e-07,1.641613067704384e-08
1966,4.702674516465777e-07,2.215629901769489e-09
1967,5.433229830487107e-07,2.465167847631733e-09
1968,5.484018856805051e-07,1.7965663401398047e-09
1969,4.850597292715975e-07,4.5417578031781147e-10
1970,4.396381143578765e-07,1.3796175313274261e-09
1971,4.912308213533834e-07,2.569198631618974e-09
1972,4.519659455581859e-07,2.565073486948677e-09
1973,4.0301520698449167e-07,3.859242703185828e-09
1974,3.476603183116822e-07,5.06301445213353e-09
1975,3.883806414251012e-07,2.2845920710778955e-09
1976,4.3708479324777727e-07,3.9994687561772935e-09
1977,3.6729886687680846e-07,2.938390863960194e-09
1978,5.013858981328667e-07,4.158414057542359e-09
1979,4.51772336873546e-07,1.0533551808578068e-08
1980,4.354825478003477e-07,2.2740602734216964e-09
1981,4.484814724037278e-07,1.2651099057237047e-09
1982,4.096951613519195e-07,2.483000915987077e-09
1983,4.894370135843928e-07,3.78918940668882e-09
1984,4.720392894341785e-07,2.3196033982486597e-09
1985,4.1928439031835296e-07,3.0077789148208467e-09
1986,5.335091941560677e-07,3.5966913891627428e-09
1987,4.937539870297769e-07,2.4443267410134695e-09
1988,4.7492704879914527e-07,2.99827696004229e-09
1989,4.6813681819912745e-07,6.036934507847036e-09
