year,mais_CONJ en_ADP,mais_CONJ dans_ADP
1800,4.232988521835068e-05,3.651003771665273e-05
1801,4.335419271228602e-05,3.325559646327747e-05
1802,4.3935514440818224e-05,3.4639528166735545e-05
1803,4.2263849536539055e-05,3.799455771513749e-05
1804,4.4184334910823964e-05,3.7423823414428625e-05
1805,4.080950839124853e-05,3.7025640267529525e-05
1806,3.795734482991975e-05,3.181074589519994e-05
1807,3.95726756323711e-05,3.522537554090377e-05
1808,3.978999302489683e-05,3.455762816884089e-05
1809,4.24855870733154e-05,3.604735047701979e-05
1810,3.9676850065006875e-05,3.368612397025572e-05
1811,3.8027340451662894e-05,3.246915184718091e-05
1812,4.065092252858449e-05,3.530583489919081e-05
1813,4.166374492342584e-05,3.768659371417016e-05
1814,4.03057883886504e-05,3.2580694096395746e-05
1815,3.842734349746024e-05,3.128779280814342e-05
1816,4.1480472646071576e-05,3.307915949335438e-05
1817,3.943248975701863e-05,3.2465481581311906e-05
1818,4.172650460532168e-05,3.3113454264821485e-05
1819,3.858560921798926e-05,3.35135955538135e-05
1820,4.1307219362352043e-05,2.9676881695195334e-05
1821,4.260951664036838e-05,3.082405373788788e-05
1822,3.9572107198182493e-05,3.1255861358658876e-05
1823,4.1117907130683307e-05,2.826744866979425e-05
1824,3.748742483367096e-05,2.637660873006098e-05
1825,3.9875450056570116e-05,2.9073811219859635e-05
1826,4.002612331532873e-05,2.7912502446270082e-05
1827,3.9010265027172863e-05,2.960219399028574e-05
1828,4.048470327688847e-05,3.1616923024557764e-05
1829,4.123269172850996e-05,3.081542490690481e-05
1830,4.313335648475913e-05,3.180312705808319e-05
1831,3.981838290201267e-05,3.233304414607119e-05
1832,4.1164931644743774e-05,2.9955352601973573e-05
1833,4.251307382219238e-05,3.2167736208066344e-05
1834,4.029810406791512e-05,3.235815165680833e-05
1835,4.2000095163530204e-05,3.1185637453745585e-05
1836,4.420573441166198e-05,3.0340825560415396e-05
1837,4.3028990148741286e-05,3.08547678287141e-05
1838,4.235460528434487e-05,2.9386900223471457e-05
1839,4.155453189014224e-05,2.9304768759175204e-05
1840,4.2324670175730716e-05,3.1678371669841e-05
1841,4.269600594852818e-05,3.1198729175230255e-05
1842,4.0267702388518956e-05,2.915210689025116e-05
1843,4.3151755562576e-05,3.1047315133037046e-05
1844,4.4739457734976895e-05,3.230402489862172e-05
1845,4.234611969877733e-05,3.074705546168843e-05
1846,4.182455722911982e-05,3.017410017491784e-05
1847,3.999560613010544e-05,2.809492070809938e-05
1848,4.016576986032305e-05,2.7654645236907527e-05
1849,3.961033235100331e-05,2.87154175566684e-05
1850,3.901907621184364e-05,2.7143763418280287e-05
1851,4.003940466645872e-05,2.7332721401762683e-05
1852,3.894673500326462e-05,2.8697182642645203e-05
1853,3.9432666198990773e-05,2.832069230862544e-05
1854,4.050176266900962e-05,2.702368919926812e-05
1855,4.091064693056978e-05,2.7857705390488263e-05
1856,4.2006677176686935e-05,2.872149252652889e-05
1857,4.1050561776501127e-05,2.7435545689513674e-05
1858,4.1669652091513854e-05,2.7174583010491915e-05
1859,4.197427551844157e-05,2.827225580404047e-05
1860,4.180754058324965e-05,2.7276354103378253e-05
1861,4.327132410253398e-05,2.8639104584726738e-05
1862,4.282508871256141e-05,2.8046302759321406e-05
1863,4.154675389145268e-05,2.7308090011501918e-05
1864,4.346900368545903e-05,2.813210812746547e-05
1865,4.3037971408921294e-05,2.81384577647259e-05
1866,4.237656958139269e-05,2.724499927353463e-05
1867,4.254993655194994e-05,2.795656246235012e-05
1868,4.2454266804270446e-05,2.7971542294835672e-05
1869,4.211204941384494e-05,2.8621816909435438e-05
1870,4.398130113258958e-05,2.908711030613631e-05
1871,4.177415212325286e-05,2.5945411834982224e-05
1872,4.291675850254251e-05,2.7729469820769737e-05
1873,4.2318657506257296e-05,2.755178229563171e-05
1874,4.082987925357884e-05,2.7296794087305898e-05
1875,4.0581646317150444e-05,2.63030042333412e-05
1876,4.0218091271526646e-05,2.628807260407484e-05
1877,3.9491285861004144e-05,2.6229804007016355e-05
1878,3.8471410334750544e-05,2.5614189780753804e-05
1879,3.9138170905062e-05,2.4652349566167686e-05
1880,3.829528759524692e-05,2.4182444576581474e-05
1881,3.8357855373760685e-05,2.465269517415436e-05
1882,3.877427207044093e-05,2.4823922103678342e-05
1883,3.782756357395556e-05,2.458728340570815e-05
1884,3.881203883793205e-05,2.4309429136337712e-05
1885,3.828191984212026e-05,2.4618461793579627e-05
1886,3.756948535738047e-05,2.3686793156230124e-05
1887,3.790628306887811e-05,2.4237979687313782e-05
1888,3.733670973815606e-05,2.352811816308531e-05
1889,3.7699206586694345e-05,2.4517986730643315e-05
1890,3.856863077089656e-05,2.4412468519585673e-05
1891,3.8323085391311906e-05,2.3790501472831238e-05
1892,3.802354240178829e-05,2.3718797820038162e-05
1893,3.823391307378188e-05,2.402952486590948e-05
1894,3.773928801820148e-05,2.352364572288934e-05
1895,3.7907039768469986e-05,2.392639908066485e-05
1896,3.8062372368585784e-05,2.403452117505367e-05
1897,3.771456886170199e-05,2.4277002921735402e-05
1898,3.8499446418427397e-05,2.3744154987070942e-05
1899,3.750296127691399e-05,2.3203115688374965e-05
1900,3.671683862194186e-05,2.3620330466656014e-05
1901,3.732774712261744e-05,2.390247709627147e-05
1902,3.452764303801814e-05,2.2860807803226635e-05
1903,3.6597292819351424e-05,2.3698326458543306e-05
1904,3.6882291169604287e-05,2.422397346890648e-05
1905,3.694535917020403e-05,2.3785422399669187e-05
1906,3.7086998418089934e-05,2.394617968093371e-05
1907,3.6170132261759136e-05,2.345290886296425e-05
1908,3.6562835703080054e-05,2.4081032734102337e-05
1909,3.731262040673755e-05,2.4230182589235483e-05
1910,3.706275401782477e-05,2.4593246507720323e-05
1911,3.765281962841982e-05,2.379430907240021e-05
1912,3.8093372495495714e-05,2.4205575755331665e-05
1913,3.685524825414177e-05,2.3714439976174617e-05
1914,3.643899162852904e-05,2.392880378465634e-05
1915,3.41241548085236e-05,2.2358708065439714e-05
1916,3.621797168307239e-05,2.3926298126752954e-05
1917,3.632627976912772e-05,2.4032919554883847e-05
1918,3.5850129279424436e-05,2.399159393462469e-05
1919,3.574947186280042e-05,2.3494745164498454e-05
