year,beaux_ADJ essais_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,9.887403562558461e-09
1805,5.685755422035754e-09
1806,0.0
1807,0.0
1808,1.8128591960930862e-08
1809,0.0
1810,1.1700633351097167e-08
1811,5.0141535368197765e-09
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,1.556873407970727e-09
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,7.017931125119503e-09
1823,9.882686891060644e-10
1824,1.6000115010683658e-08
1825,1.2327619813845558e-08
1826,1.145037931138404e-08
1827,1.8434546111834038e-09
1828,1.8344602503717056e-09
1829,5.143905745796928e-09
1830,2.0873671680021744e-09
1831,0.0
1832,1.3529969367098715e-09
1833,8.108539839568607e-09
1834,6.534171870242744e-09
1835,9.832014313815307e-09
1836,2.6882999715205358e-09
1837,1.6698937344017395e-08
1838,9.468243078458727e-09
1839,1.11863602825224e-08
1840,1.9109065441114126e-09
1841,3.2102742686390684e-09
1842,8.049918065466954e-09
1843,1.6539351221922516e-08
1844,3.2931368743049916e-09
1845,1.2276501593078137e-08
1846,1.8148954339380907e-08
1847,4.314578916364553e-09
1848,8.045221711050488e-10
1849,1.005529792763582e-08
1850,6.1100964288129944e-09
1851,1.483370937194195e-08
1852,2.8646400807019745e-08
1853,2.149895550473957e-08
1854,3.3771818230832196e-08
1855,1.963566731433275e-08
1856,2.019103817474388e-08
1857,2.001418764052687e-08
1858,1.9085335978274998e-08
1859,1.5276519604867644e-08
1860,2.9293977354960532e-08
1861,8.960331143725853e-09
1862,4.066187830886747e-09
1863,2.3474717281146695e-08
1864,2.205574922697906e-08
1865,1.4120533187167439e-08
1866,5.352174259343201e-09
1867,8.73506067478047e-09
1868,2.9639244392143382e-09
1869,1.0743741896135361e-08
1870,1.8922360567330543e-08
1871,3.18635318130589e-09
1872,4.23313739617015e-09
1873,1.5563610844537834e-08
1874,1.1949218281515073e-09
1875,5.721527251978387e-09
1876,2.1765654167893445e-08
1877,6.184815992682502e-10
1878,3.0195443923020093e-09
1879,6.720258016734704e-09
1880,1.2193908105473383e-08
1881,2.091752326904839e-09
1882,7.320923423037584e-09
1883,7.58320695126713e-09
1884,1.1883054540362536e-08
1885,2.5782542767416317e-09
1886,7.744156427236248e-09
1887,1.9586774424595887e-09
1888,5.07249175996094e-09
1889,3.132568426877924e-09
1890,5.898947996740844e-09
1891,1.3385861752368555e-08
1892,9.402768341715273e-09
1893,1.662772453059347e-08
1894,3.150769689597155e-08
1895,3.069493281770974e-08
1896,2.6536630670648265e-08
1897,1.2236098356765979e-08
1898,1.7540900287826844e-08
1899,9.949641111006713e-09
1900,1.1939421895590385e-08
1901,1.2295225393366138e-08
1902,1.6203936692438248e-08
1903,1.0800440986002968e-08
1904,5.374625189347171e-09
1905,2.4771643403198595e-08
1906,8.745113522223846e-09
1907,7.71426478252124e-09
1908,1.4243028534366431e-08
1909,6.601180269072415e-09
