year,mais_CONJ écrire_VERB,mais_CONJ décrire_VERB
1800,2.2009150946189493e-08,0.0
1801,2.6193008650921e-08,2.3811825844433088e-09
1802,4.475680270843441e-09,0.0
1803,1.9503391568420625e-08,0.0
1804,7.4155526164076946e-09,0.0
1805,5.685755422035754e-09,2.842877711017877e-09
1806,8.645007376628655e-09,5.76333825108577e-09
1807,2.8469551160981155e-09,5.693910232196231e-09
1808,2.7192887053217873e-08,3.6257183921861724e-08
1809,2.9367397402779716e-08,4.518061036407062e-09
1810,2.8081521108447305e-08,0.0
1811,1.0028306629550343e-08,0.0
1812,2.400487453257938e-08,0.0
1813,1.1502966579257645e-08,0.0
1814,6.293354282149721e-09,6.293354282149721e-09
1815,1.8880564667256294e-08,2.697223555614414e-09
1816,2.5493642752394408e-08,0.0
1817,2.1796228155679387e-08,3.113746815941454e-09
1818,4.172412104708201e-08,4.768470951432846e-09
1819,9.315945015409e-09,2.070210003424222e-09
1820,2.3732962262101864e-09,1.4239777357261119e-08
1821,2.9584464655840748e-08,6.903041693817613e-09
1822,7.017931125119503e-09,5.012807946513931e-09
1823,1.2847493402468046e-08,0.0
1824,1.0105335235266466e-08,6.736890156844311e-09
1825,6.163810128967384e-09,8.805443041381977e-10
1826,7.927185574629902e-09,4.403992281964975e-09
1827,8.295545750325317e-09,8.295545805836468e-09
1828,2.384798314380987e-08,9.172301251858528e-10
1829,2.05756223170539e-08,0.0
1830,1.9829987429886842e-08,7.305785310052215e-09
1831,2.6505050598757407e-08,0.0
1832,3.6530918290367254e-08,0.0
1833,3.359252254142575e-08,9.266902800675325e-09
1834,1.0267984240641681e-08,3.733812370398937e-09
1835,4.5378527602224494e-09,3.781543966852041e-09
1836,2.4194700465329788e-08,4.0324500405475305e-09
1837,8.349469116097907e-09,8.349469449164815e-09
1838,9.468243078458727e-09,1.2624323808552163e-09
1839,3.076249033284739e-08,3.4957374772659477e-09
1840,2.293087986160458e-08,9.554533164646273e-09
1841,1.5409316489467528e-08,6.420548537278137e-09
1842,3.4882978283690136e-08,1.341653010911159e-09
1843,7.088293285661962e-09,5.906911071384968e-10
1844,6.586273526565378e-09,1.811225303072206e-08
1845,8.370341864072373e-09,5.580227946389016e-10
1846,1.2879902921980602e-08,0.0
1847,1.5101026207275936e-08,5.393223645455691e-10
1848,1.769948765328877e-08,4.82713291560799e-09
1849,4.4410898070168514e-08,3.3517659758786067e-09
1850,1.2899092460827433e-08,3.394498016007219e-09
1851,2.5152810501083422e-08,2.579775504329973e-09
1852,1.9531636752390114e-08,5.859490892490271e-09
1853,3.1651238963092965e-08,2.388772735173461e-09
1854,5.195664343204953e-09,5.195664454227256e-10
1855,2.2289135870323662e-08,3.714855978387277e-09
1856,2.2779632846692266e-08,1.0354378465748937e-09
1857,2.1966791052818735e-08,5.369659827891837e-09
1858,3.6213203102875013e-08,4.893676019968041e-10
1859,2.4442432078330967e-08,1.5276520048956854e-09
1860,2.2428201962299e-08,2.288591982591015e-09
1861,3.5369728479395235e-08,9.431927461278633e-10
1862,1.3102160689726361e-08,9.035972525772706e-10
1863,2.796987619291258e-08,9.989241656072068e-10
1864,1.9178911792039344e-08,3.835782358407869e-09
1865,2.9653119071326728e-08,1.8827377989971694e-09
1866,2.2868380966656332e-08,4.865612801552288e-09
1867,5.82337378318698e-09,9.7056229719783e-10
1868,8.891773317643015e-09,3.457911734727759e-09
1869,2.783605967948688e-08,0.0
1870,3.268407766654491e-08,2.8670243956696595e-09
1871,2.0180237036981907e-08,3.18635318130589e-09
1872,2.660829245826335e-08,9.071008721939222e-09
1873,1.1972008717719973e-08,1.1972008939764578e-09
1874,1.7326366563708007e-08,6.572069999322139e-09
1875,3.204055110117565e-08,1.2015207051518928e-08
1876,2.176565394584884e-08,5.441413541973361e-09
1877,1.0514187298582556e-08,3.0924081073635534e-09
1878,2.8383716710322915e-08,1.8117266020745149e-09
1879,2.993569481191116e-08,4.276527687530063e-09
1880,3.016387672971632e-08,1.2835692508872398e-09
1881,2.3009274485730202e-08,7.669758383954672e-09
1882,1.4641847290164378e-08,6.655385131892899e-10
1883,1.7062214752172622e-08,3.1596695260205365e-09
1884,4.4891539374702916e-08,1.1222884843675729e-08
1885,2.5782543211505526e-08,4.511945039809007e-09
1886,1.484296707765509e-08,1.2906927748801422e-09
1887,1.5016526300204447e-08,3.264462256069578e-09
1888,3.5507443207905e-08,1.9021844099853524e-09
1889,4.009687515349469e-08,1.8795410228200637e-09
1890,2.818386191094646e-08,7.865263773609854e-09
1891,2.7409146063916978e-08,1.2748440081367107e-09
1892,1.7551834652351772e-08,4.387958441043338e-09
1893,3.1407924261372955e-08,3.0792082772457263e-09
1894,2.83569265846495e-08,1.8904617871129403e-09
1895,4.333402436884626e-08,6.018614717717696e-09
1896,1.9460195233023114e-08,2.358811590497112e-09
1897,2.680288258005703e-08,9.322741689743452e-09
1898,1.640922953072277e-08,1.6975064687230201e-09
1899,3.2612712530522003e-08,4.4220627160029835e-09
1900,1.2977633190303095e-08,4.15284251431558e-09
1901,1.2854099562531474e-08,8.383108485165991e-09
1902,2.1605249145295602e-08,5.892340837476695e-09
1903,1.7820727116202306e-08,1.0260418292773466e-08
1904,1.3974025492302644e-08,4.299700151477737e-09
1905,2.167518786677647e-08,7.741138619010712e-09
1906,2.572092316910357e-08,4.629765903985117e-09
1907,1.7485667136440952e-08,7.71426478252124e-09
1908,3.045061180984021e-08,1.5225305460830896e-08
1909,1.5952852372436155e-08,8.251475502873973e-09
1910,2.0307773240801907e-08,6.947395991829808e-09
1911,1.702519725199636e-08,2.6601870706244313e-09
1912,1.8753915753677575e-08,6.251305473270463e-09
1913,2.1742257771961704e-08,7.424185488602575e-09
1914,2.0090231700464756e-08,2.0090231700464756e-09
1915,1.0602685729388384e-08,3.5342285764627945e-09
1916,2.0876178119522137e-08,1.648119329900055e-08
1917,6.579854550103903e-09,4.386569774084137e-09
1918,1.72295644418341e-08,0.0
1919,5.248473655683483e-08,0.0
1920,2.2716696079783105e-08,3.028892692213958e-09
1921,2.9533715029117502e-08,4.543648568500203e-09
1922,3.024953620922588e-08,8.853522692753302e-09
1923,3.1847845249899365e-08,5.307974060286824e-09
1924,4.1253198190815965e-08,1.6759111876041288e-08
1925,3.079489818702541e-08,9.898359909499277e-09
1926,3.6782257240020044e-08,1.0031524499964917e-08
