year,certains_DET hivers_NOUN
1800,4.7162465932615305e-08
1801,2.1430643926123594e-08
1802,2.4616241489638924e-08
1803,2.145373123596528e-08
1804,9.887403784603066e-09
1805,2.842877711017877e-09
1806,2.881669125542885e-09
1807,0.0
1808,0.0
1809,6.777091243748146e-08
1810,3.510190182964834e-08
1811,1.2535384286138651e-08
1812,0.0
1813,0.0
1814,0.0
1815,2.697223555614414e-09
1816,1.3905623319487859e-08
1817,2.3353100786493997e-08
1818,8.34482416500748e-09
1819,5.175524897538253e-09
1820,1.1866481131050932e-08
1821,2.9584463767662328e-09
1822,3.0076847679083585e-09
1823,1.9765373782121287e-09
1824,0.0
1825,4.4027217427355936e-09
1826,6.1655889282974385e-09
1827,3.6869092223668076e-09
1828,2.0179061976932644e-08
1829,4.286587973467704e-09
1830,0.0
1831,0.0
1832,2.0294953273491956e-08
1833,4.6334514003376626e-09
1834,1.3068342852307069e-08
1835,3.781543966852041e-09
1836,1.2097349788575684e-08
1837,1.461157062010443e-08
1838,1.009945904684173e-08
1839,4.194885327990505e-09
1840,5.732719632334238e-09
1841,1.6693427085101575e-08
1842,1.475818312002275e-08
1843,8.269675610961258e-09
1844,1.097712254427563e-09
1845,3.348136878855712e-09
1846,8.196302303531411e-09
1847,6.47186837454683e-09
1848,3.218088684420195e-09
1849,2.76520690789539e-08
1850,9.504594444820214e-09
1851,1.9348316282474798e-09
1852,8.463708844885787e-09
1853,1.0749477752369785e-08
1854,1.0391328686409906e-08
1855,1.8574279891936385e-08
1856,1.5531567143511893e-08
1857,3.905207268672939e-09
1858,9.297984604472731e-09
1859,1.476730293603623e-08
1860,1.0527522853465143e-08
1861,8.960331143725853e-09
1862,8.132375661773494e-09
1863,1.2986014041871385e-08
1864,1.4384183621984903e-08
1865,1.4591217123438582e-08
1866,4.379051787850585e-09
1867,1.2132028714972876e-08
1868,1.333765986544222e-08
1869,1.3673853160867111e-08
1870,1.0321287824410774e-08
1871,1.1683295220166201e-08
1872,1.3304146118109372e-08
1873,1.7359413628792453e-08
1874,1.1351757756017378e-08
1875,2.2886109007913547e-08
1876,3.3253080289341597e-08
1877,2.783167118991514e-08
1878,1.7513356931342372e-08
1879,2.6270098985037293e-08
1880,2.759673911612026e-08
1881,2.022027217885025e-08
1882,1.7969540300200038e-08
1883,1.6430281357671106e-08
1884,8.582206056928499e-09
1885,1.0313017106966527e-08
1886,1.5488312854472497e-08
1887,1.697520485288706e-08
1888,1.2047168373996442e-08
1889,8.771191550849267e-09
1890,1.1797895382859025e-08
1891,1.6572971772710332e-08
1892,1.4417578242387208e-08
1893,1.4780200174868696e-08
1894,1.8274463275957942e-08
1895,1.444467478961542e-08
1896,2.122930353731789e-08
1897,3.02989097145101e-08
1898,1.4711722617910539e-08
1899,1.6029977345510815e-08
1900,1.453494924419374e-08
1901,9.500856101851696e-09
1902,1.2766737667035954e-08
1903,2.1060858390598014e-08
1904,1.5048950530172078e-08
1905,1.0837594377477444e-08
1906,1.0802787109298606e-08
1907,1.7485668024619372e-08
1908,1.0313917053750288e-08
1909,1.8153245462393386e-08
1910,1.4963621897123858e-08
1911,2.181353364605343e-08
1912,1.6149205861459848e-08
1913,9.015082680363662e-09
1914,3.281404437061042e-08
1915,2.1205371680821372e-08
1916,3.625862632361532e-08
1917,3.3995915083018247e-08
1918,2.412139021856774e-08
1919,1.5653342400057113e-08
1920,6.815008557481406e-09
1921,2.4232792439349282e-08
1922,2.0658220023506146e-08
1923,1.6985516992917837e-08
1924,2.3204923760289375e-08
1925,1.5397449093512705e-08
1926,1.4489979882625903e-08
1927,1.5608915271414503e-08
1928,1.5996457491951332e-08
1929,2.116677166874581e-08
1930,1.68057662230936e-08
1931,2.3951249872311564e-08
1932,2.6302887423668153e-08
1933,8.02946331646126e-09
1934,2.036868629318178e-08
1935,2.0346083040578833e-08
1936,1.333718602225531e-08
1937,1.76275650742852e-08
1938,3.24130358109187e-08
1939,2.141167065872196e-08
1940,2.7893612308815818e-08
1941,1.7709015143196893e-08
1942,3.6410540360520827e-08
1943,4.3548528338988035e-08
1944,4.4984604485875934e-08
1945,3.0499056613564335e-08
1946,1.6705325123211878e-08
1947,1.90733930871545e-08
1948,1.9569398546082084e-08
1949,1.668891380646187e-08
1950,2.658840414504482e-08
1951,2.2388943254902927e-08
1952,1.7926166329118587e-08
1953,2.2625037399137682e-08
1954,3.127211489761805e-08
1955,2.5341140297285847e-08
1956,2.0930738919844316e-08
1957,2.5621610166837172e-08
1958,2.3162282425381875e-08
1959,2.325224457422337e-08
1960,1.5225833704946012e-08
1961,1.1811870925804158e-08
1962,1.0147130247162295e-08
1963,2.2631186591404173e-08
1964,1.6426714211092985e-08
1965,2.1888173939998978e-08
1966,1.7725038770066703e-08
1967,1.725617448933292e-08
1968,1.4372531054185345e-08
1969,1.998373500011752e-08
1970,1.4256047453642395e-08
1971,1.284599360218408e-08
1972,1.6416469961200164e-08
1973,1.5436971034787916e-08
1974,1.7439272692598706e-08
1975,1.4849848462006321e-08
1976,1.0855701004786056e-08
1977,9.402850609241398e-09
1978,1.485147826940647e-08
1979,1.58003277128671e-08
1980,1.4781391666218724e-08
1981,2.4037087431594273e-08
1982,2.296775836185816e-08
1983,1.326216381158929e-08
1984,1.4497520961498367e-08
1985,1.2632671797518924e-08
1986,1.8582904548480883e-08
1987,1.955461359504085e-08
1988,1.4991384578166844e-08
1989,1.0427432473036902e-08
1990,1.7435683341560093e-08
1991,2.3445860364290638e-08
1992,2.1488782753209534e-08
1993,1.827938422849229e-08
1994,1.898973578384755e-08
1995,2.2232048202397436e-08
1996,1.2811421257197253e-08
1997,1.0548767859219765e-08
1998,8.105819793158275e-09
1999,1.690974382739796e-08
2000,2.1206551181762734e-08
2001,1.9277331730904734e-08
2002,1.62105191492401e-08
2003,1.2084076850271686e-08
2004,9.690540647699919e-09
2005,8.106749493919096e-09
2006,9.059357708451898e-09
2007,9.18730291843417e-09
2008,1.0643599335224962e-08
2009,1.0966842767246021e-08
2010,1.2754241662804588e-08
2011,1.185431264261183e-08
2012,1.2595735565668065e-08
2013,1.4503450440628285e-08
2014,9.961047986450922e-09
2015,1.1526192000843594e-08
2016,1.0978102427117165e-08
2017,1.559679052576257e-08
2018,1.3423626654684995e-08
2019,1.4540630255410747e-08
