year,tels_ADJ doutes_NOUN
1800,1.5720821977538435e-08
1801,0.0
1802,0.0
1803,0.0
1804,2.9662210465630778e-08
1805,5.685755422035754e-09
1806,2.5935023018064385e-08
1807,1.9928686256776018e-08
1808,9.064295980465431e-09
1809,2.259030518203531e-09
1810,0.0
1811,3.008491944456182e-08
1812,0.0
1813,2.300593315851529e-08
1814,3.1466771410748606e-09
1815,2.697223555614414e-09
1816,3.0128852301913867e-08
1817,0.0
1818,2.2650237241350624e-08
1819,1.449147024601416e-08
1820,3.559944161679596e-08
1821,5.9168927535324656e-09
1822,0.0
1823,6.917880934764753e-09
1824,3.536867154707579e-08
1825,2.289415235168235e-08
1826,8.807984341885344e-10
1827,3.6869092223668076e-09
1828,1.2841221419535032e-08
1829,1.2859763920403111e-08
1830,7.305785310052215e-09
1831,1.2472964883158966e-08
1832,2.3000948701223933e-08
1833,3.4750886612755494e-09
1834,1.4935249481595747e-08
1835,6.806779140333674e-09
1836,2.1506400216253496e-08
1837,1.6698937344017395e-08
1838,1.0730675015224733e-08
1839,1.957613093850341e-08
1840,2.165694112932215e-08
1841,8.988767952189392e-09
1842,7.379091560011375e-09
1843,1.1223130869097986e-08
1844,1.866110821424627e-08
1845,1.4508592549589139e-08
1846,1.9319854160926297e-08
1847,6.47186837454683e-09
1848,5.63165514222419e-09
1849,1.508294644736452e-08
1850,1.5614691761811628e-08
1851,2.3862924081186065e-08
1852,9.765818376195057e-09
1853,6.569124799682413e-09
1854,1.8704392701351935e-08
1855,6.368324534378189e-09
1856,1.5531567143511893e-08
1857,1.1715622250108026e-08
1858,1.2234189661342043e-08
1859,1.9859475841599306e-08
1860,7.781213007262977e-09
1861,1.744906619194353e-08
1862,1.3102160245637151e-08
1863,8.490855130105501e-09
1864,1.8699438442126848e-08
1865,1.9298061815220535e-08
1866,4.379051787850585e-09
1867,6.79393608038481e-09
1868,6.421836395986702e-09
1869,1.2697149998075474e-08
1870,2.408300403544672e-08
1871,1.0621177271019633e-09
1872,9.071008832961525e-09
1873,0.0
1874,4.182226565063729e-09
1875,6.865832347102696e-09
1876,6.04601479992084e-09
1877,8.040260901509555e-09
1878,1.0870359723469392e-08
1879,4.27652757650776e-09
1880,5.134277003548959e-09
1881,1.1853263259808955e-08
1882,1.3310770263785798e-09
1883,8.847074184359371e-09
1884,9.242375753615306e-09
1885,1.2246707647989297e-08
1886,1.4842966855610484e-08
1887,1.3710741875172516e-08
1888,9.510921827882157e-09
1889,7.51816386923565e-09
1890,6.554386366985909e-09
1891,4.461953917456185e-09
1892,9.402768341715273e-09
1893,1.0469308087124318e-08
1894,6.301539290376468e-10
1895,2.4074457982692365e-09
1896,1.3563166589847242e-08
1897,6.992056267307589e-09
1898,5.6583546736987955e-09
1899,1.1055156790007459e-09
1900,7.786579381274805e-09
1901,5.029864968975062e-09
1902,7.856454153909453e-09
1903,6.480264325148255e-09
1904,5.374625189347171e-09
1905,5.676835002077496e-09
1906,5.658602919567102e-09
1907,1.337139288182243e-08
1908,1.080505640516094e-08
1909,6.0510818578052294e-09
1910,9.619471441624228e-09
1911,9.576673676292558e-09
1912,5.2094213387476884e-09
1913,4.772690687104841e-09
1914,8.705766774141921e-09
1915,5.890381071793627e-09
1916,1.2086208478478966e-08
1917,1.315970976634162e-08
1918,1.033773866510046e-08
1919,4.603924352863942e-09
1920,3.180337415642498e-08
1921,4.543648568500203e-09
1922,8.115729421831475e-09
1923,1.2739137744688378e-08
1924,6.445812328337297e-09
1925,7.698724324711748e-09
1926,2.229227691330493e-09
1927,1.0034302277972529e-08
1928,7.998228745975666e-09
1929,1.2254447234738564e-08
1930,1.995684684175103e-08
1931,4.5621426636444085e-09
1932,1.6439305028370654e-08
1933,9.176529758292418e-09
1934,4.7926320689839486e-09
1935,1.4361940969820353e-08
1936,8.487299751891442e-09
1937,2.5182236296217297e-09
1938,6.482607339819424e-09
1939,2.4470480752825097e-08
1940,7.607348528892999e-09
1941,0.0
1942,9.102635090130207e-09
1943,1.4516175816936538e-08
1944,1.2852744646352221e-08
1945,6.535512131478072e-09
1946,1.1136883415474585e-08
1947,1.1920871401116528e-08
1948,1.195907639583993e-08
1949,9.817008539414473e-09
1950,3.190608444114673e-09
1951,1.0661401539380222e-08
1952,1.0544804140977249e-08
1953,1.4005975934594517e-08
1954,1.8567819282111486e-08
1955,8.447047505910632e-09
1956,2.616342476002842e-09
1957,9.718541527092839e-09
1958,9.099467845885556e-09
1959,8.525822714489095e-09
1960,1.1073333361366622e-08
1961,7.64297514166401e-09
1962,2.1562652108286784e-08
1963,1.0992290633282664e-08
1964,9.734349326606662e-09
1965,1.8057743744748223e-08
1966,1.495550172592175e-08
1967,1.873527466500491e-08
1968,1.4821671889819754e-08
1969,5.450109252791435e-09
1970,1.3796174869185052e-08
1971,8.735275613958038e-09
1972,1.1799337507056862e-08
1973,9.923766697284009e-09
1974,9.563471792262135e-09
1975,9.138368284311582e-09
1976,1.085570122683066e-08
1977,8.815172591880582e-09
1978,1.128712323605896e-08
1979,9.363157360553487e-09
1980,1.3075846183596695e-08
1981,8.223214109648325e-09
1982,9.932003663948308e-09
1983,1.1999100379966876e-08
1984,1.0438215625185876e-08
1985,1.3234227935754461e-08
1986,1.1389522214244607e-08
1987,1.3443797186596385e-08
1988,1.199310784016916e-08
1989,9.878619700032232e-09
1990,9.80757164370516e-09
1991,1.992898113201136e-08
1992,1.8182815253453555e-08
1993,1.550978012687665e-08
1994,1.2659823411809157e-08
1995,1.4640617607142303e-08
1996,1.4946657245218375e-08
1997,2.013855748828064e-08
1998,1.0489884516573511e-08
1999,1.6452723627935484e-08
2000,1.767212509662386e-08
2001,1.5334240544007116e-08
2002,3.504977197366088e-09
2003,1.1667384391955693e-08
2004,1.1452457648886138e-08
2005,1.306087415997581e-08
2006,1.1118302722934459e-08
2007,1.1184542181297275e-08
2008,1.830699147831183e-08
2009,1.192048149079028e-08
2010,9.447585824773341e-09
2011,1.2236710311697152e-08
2012,1.191488419038933e-08
2013,1.617692468869336e-08
2014,1.1693403578760808e-08
2015,1.3964425171764105e-08
2016,1.491364898242864e-08
2017,9.056201122348284e-09
2018,1.0842160058643913e-08
2019,1.020395146156261e-08
