year,véritables_ADJ essais_NOUN
1942,1.8205270180260413e-08
1943,1.7419411690866582e-08
1944,9.639558484764166e-09
1945,2.178504043826024e-09
1946,5.568441707737293e-09
1947,1.1920871401116528e-08
1948,1.630783130757152e-08
1949,9.817008539414473e-09
1950,1.808011518278363e-08
1951,1.2793682557799002e-08
1952,7.381362632230548e-09
1953,2.0470272588113403e-08
1954,5.863521668203475e-09
1955,1.0324168187025862e-08
1956,1.2209598665435806e-08
1957,1.0602045463770082e-08
1958,2.4816730892496253e-09
1959,8.525822714489095e-09
1960,1.3841666479663672e-08
1961,1.042223907177231e-08
1962,8.878738855244706e-09
1963,6.466053026343843e-09
1964,6.6923653285755336e-09
1965,8.208064727899256e-09
1966,8.308612464702492e-09
1967,4.930335695263466e-09
1968,5.838840522187638e-09
1969,1.3171097990039016e-08
1970,4.598724956395017e-09
1971,1.6956711590410123e-08
1972,7.69522046084603e-09
1973,8.821126051827832e-09
1974,1.1813700240281833e-08
1975,1.028066431985053e-08
1976,5.142174186456572e-09
1977,8.815172591880582e-09
1978,8.910887139279566e-09
1979,4.096381456264453e-09
1980,1.0233271119375331e-08
1981,1.0120879245789638e-08
1982,4.345251491955082e-09
1983,3.78918940668882e-09
1984,8.118611560803402e-09
1985,7.820225356169885e-09
1986,1.3187867686781374e-08
1987,7.332980445085013e-09
1988,1.199310784016916e-08
1989,9.329808037250586e-09
1990,1.5256222951620657e-08
1991,8.7921980806982e-09
1992,1.322386644631024e-08
1993,1.1632335983335906e-08
1994,8.967375286772494e-09
1995,1.0302656505700725e-08
1996,1.2277611816102763e-08
1997,1.1987236092636522e-08
1998,1.2873948684877234e-08
1999,1.0054442611817649e-08
2000,1.3254094710646314e-08
2001,1.4019877703219663e-08
2002,8.324320510677552e-09
2003,1.5000923170305214e-08
2004,1.3654853248112886e-08
2005,9.457874483587148e-09
2006,1.1530091548195287e-08
2007,6.391167151065247e-09
2008,4.6831836186811415e-09
2009,1.1443662017995848e-08
2010,8.502827775203059e-09
2011,2.2943831279320648e-09
2012,3.4042526575461807e-09
2013,2.5102124823206395e-09
2014,3.031623174720721e-09
2015,4.43315073539452e-09
2016,6.006886238418829e-09
2017,2.0124890642847504e-09
2018,2.0651733656507076e-09
2019,1.7856913725466939e-09
