year,deux_DET eaux_NOUN,deux_DET do_NOUN
1800,3.8673223912155663e-07,9.432493897065797e-09
1801,3.119349116786907e-07,2.3811825844433088e-09
1802,7.250602038766374e-07,1.5664880947952042e-08
1803,2.554944273924775e-07,3.900678446910888e-09
1804,2.644880510160874e-07,2.4718509461507665e-09
1805,3.0703080255989335e-07,2.842877711017877e-09
1806,1.556101381083863e-07,1.4408345627714425e-08
1807,1.9074599322266295e-07,8.540865792383556e-09
1808,3.580396992219903e-07,6.798221985349073e-09
1809,4.947276579514437e-07,2.259030518203531e-09
1810,2.0593115834799391e-07,9.360507036149102e-09
1811,2.1310152220621603e-07,2.5070767684098882e-09
1812,1.2802598803318688e-07,1.0668832484128643e-08
1813,3.077043686516845e-07,5.751483289628823e-09
1814,9.125363931161701e-08,6.293354282149721e-09
1815,1.4834729711310501e-07,0.0
1816,3.383701709935849e-07,0.0
1817,1.977229260319291e-07,1.556873407970727e-09
1818,2.84916149784209e-07,3.5763532135746345e-09
1819,2.6291667154509923e-07,2.070210003424222e-09
1820,1.96983592104516e-07,4.746592452420373e-09
1821,2.1202200173320307e-07,5.9168927535324656e-09
1822,1.5539704634193185e-07,1.303330066093622e-08
1823,1.9765373338032077e-07,3.9530747564242574e-09
1824,1.8779081756292726e-07,5.052667617633233e-09
1825,2.606411271255382e-07,1.7610886082763955e-09
1826,3.805049288985174e-07,2.6423953025656033e-09
1827,2.562401846262219e-07,3.6869092223668076e-09
1828,1.742737225640667e-07,1.0089530988466322e-08
1829,2.734843072005333e-07,3.429270423183084e-09
1830,2.2752301731543412e-07,3.1310507520032616e-09
1831,2.229542468423773e-07,1.5591206103948707e-09
1832,2.1783250758744543e-07,2.705993873419743e-09
1833,2.6294836175111413e-07,6.950177322551099e-09
1834,2.5016544213940506e-07,9.334530925997342e-10
1835,2.9269151013977535e-07,8.31939672707449e-09
1836,2.1371985781115654e-07,5.376600220596828e-09
1837,3.082345728655511e-07,4.174734336004349e-09
1838,2.379685055675651e-07,8.205810475558906e-09
1839,1.8177836125232716e-07,5.5931801412612e-09
1840,1.9554944685751252e-07,5.095750932326837e-09
1841,2.3370796498056734e-07,2.5682194149112547e-09
1842,1.9319803179485007e-07,7.379091560011375e-09
1843,1.9374668625005143e-07,2.953455535692484e-09
1844,1.877087925095111e-07,4.390849073221403e-09
1845,2.2209307815046486e-07,6.138250630005615e-09
1846,2.3944911009543546e-07,6.439951683034906e-09
1847,1.65032645327301e-07,9.707802561820245e-09
1848,1.5125016261663404e-07,6.43617736884039e-09
1849,1.5585712276333652e-07,7.541473445726865e-09
1850,1.6904599853262425e-07,1.1541293254424545e-08
1851,1.5027193001060368e-07,1.2253933867611977e-08
1852,2.0833745395520964e-07,1.0416873141849692e-08
1853,2.538071157687227e-07,1.6721408924169623e-08
1854,1.8964175563240815e-07,1.2989161413123895e-08
1855,2.3668939874710304e-07,1.3798036491152743e-08
1856,1.8275478141926982e-07,1.2942972915652717e-08
1857,2.7580525463477557e-07,8.298565501441146e-09
1858,2.025981833408963e-07,8.31924923394567e-09
1859,2.597008528226752e-07,9.165912473463322e-09
1860,2.4716792201839866e-07,7.323494255473406e-09
1861,2.1316155418560356e-07,1.0375120595984555e-08
1862,2.512000492060906e-07,1.0391368432394188e-08
1863,2.2625632700723486e-07,8.990317212909105e-09
1864,3.1932889443808676e-07,1.0548401374599337e-08
1865,3.0406213258338255e-07,4.706844303203894e-09
1866,3.0604706369175005e-07,1.3137155363551756e-08
1867,2.0964146330015865e-07,9.220341823379385e-09
1868,3.7197252522602753e-07,1.2843672791973404e-08
1869,2.500361775403803e-07,1.3673853827000926e-08
1870,2.9645032917358094e-07,1.204150246181257e-08
1871,3.313807326321694e-07,9.55905954391767e-09
1872,2.3100835733202985e-07,7.861540751719076e-09
1873,2.4722197355941944e-07,7.781805866358127e-09
1874,2.4973866263877653e-07,1.0754296286830112e-08
1875,3.2269414429464405e-07,1.3159512035620935e-08
1876,2.9867314310649817e-07,1.9951847951560353e-08
1877,3.6861502650253897e-07,1.484355860448261e-08
1878,2.6571990474622e-07,2.2344627925718896e-08
1879,3.048553307571922e-07,1.4051447783103299e-08
1880,2.7147488346201953e-07,1.7969969956510567e-08
1881,3.158545851533745e-07,1.2550513739384428e-08
1882,3.108064907664243e-07,1.2645232194685718e-08
1883,3.4756363653798417e-07,1.2006744043446815e-08
1884,3.630933216314247e-07,1.9805090900604227e-08
1885,2.945655560582239e-07,1.6758653131887513e-08
1886,3.4913240387624e-07,2.5168509498740832e-08
1887,3.832478638887693e-07,1.6975204131242094e-08
1888,3.265416665954035e-07,1.3949352339892584e-08
1889,2.618827292799608e-07,1.6289355420084917e-08
1890,2.91670203989014e-07,2.2940352284450682e-08
1891,2.5305653839069464e-07,1.338586197441316e-08
1892,2.3757662592771567e-07,1.002961980134387e-08
1893,2.4818419330774333e-07,1.1085149742573464e-08
1894,2.6340435121952055e-07,1.9534771578122445e-08
1895,2.5518925816925275e-07,1.745398181540736e-08
1896,2.2054888337841305e-07,2.1819006379431016e-08
1897,3.123118581527251e-07,1.1070755534525745e-08
1898,2.3878257504605926e-07,1.3014215816120611e-08
1899,3.0346405388570474e-07,1.4371703827009696e-08
1900,2.922562937213158e-07,1.2977632746213885e-08
1901,2.0957771351692855e-07,8.383108651699445e-09
1902,2.563168124414261e-07,9.820568025453724e-09
1903,2.543503780927381e-07,1.4580594953628179e-08
1904,3.257022891389738e-07,8.599400302955473e-09
1905,3.158384638268785e-07,5.676835002077496e-09
1906,2.6441109790553696e-07,1.0288368990085672e-08
1907,3.342848184928471e-07,6.685696163355459e-09
1908,3.153111804987674e-07,4.4202501658929805e-09
1909,3.2455802134734313e-07,1.1552065692921332e-08
1910,3.014100866671754e-07,8.550641084070776e-09
1911,2.2185960579790276e-07,9.576673454247953e-09
1912,2.7870402474761136e-07,5.730363294986773e-09
1913,2.487102257475726e-07,4.772690687104841e-09
1914,2.2634993790404678e-07,2.0090231700464756e-09
1915,4.1703897180056515e-07,7.068456930880984e-09
1916,2.5820535798359856e-07,8.789969863087777e-09
1917,2.9499682341338485e-07,5.483212106582869e-09
1918,2.6533529240424514e-07,5.743188147278033e-09
1919,2.0349345597470148e-07,1.1049418047193171e-08
1920,2.1126525950876385e-07,1.4387239843927091e-08
1921,2.0219235352669784e-07,5.300923366924337e-09
1922,2.7150802139885855e-07,4.426761346376651e-09
1923,2.590291372506215e-07,8.492758496458919e-09
1924,2.6427831256725653e-07,1.1602461658100083e-08
1925,2.111650161396028e-07,7.698724324711748e-09
1926,3.2546725425852685e-07,1.0031524610987219e-08
1927,3.177529165343529e-07,1.0034302277972529e-08
1928,2.742249889386983e-07,2.2852082448565625e-09
1929,2.428608536497734e-07,6.684243603061191e-09
1930,2.2897855211923002e-07,9.453243299262226e-09
1931,2.2582605918586296e-07,4.5621426636444085e-09
1932,1.9727166034044785e-07,7.671675850140502e-09
1933,2.7070761943193133e-07,5.735331320977366e-09
1934,2.132721306224994e-07,7.188948103475923e-09
1935,2.1901960156611722e-07,7.180970484910176e-09
1936,2.012702564613278e-07,3.6374143697059935e-09
1937,2.0523522925586235e-07,2.5182236296217297e-09
1938,1.9966430764295495e-07,3.8895642262559704e-09
1939,3.3646911745677244e-07,3.058810094103137e-09
1940,3.575453888515767e-07,5.0715658339584024e-09
1941,2.774412468653509e-07,5.9030051957620344e-09
1942,2.973527655214525e-07,3.034211770724937e-09
1943,3.280655676007882e-07,2.9032352077962287e-09
1944,2.634812688029342e-07,1.6065930807940276e-08
1945,3.7034567412774777e-07,0.0
1946,3.549881455455761e-07,1.3921104269343232e-09
1947,3.0159803565688037e-07,1.3112958274774655e-08
1948,2.989769223304961e-07,7.61032148410834e-09
1949,2.7487622922262034e-07,7.853606653895895e-09
1950,2.190884502706325e-07,9.571825110299415e-09
1951,2.9851923954993254e-07,3.1984206394497505e-09
1952,2.4463944647834523e-07,6.326882129314981e-09
1953,2.95202881805956e-07,4.3095309543161875e-09
1954,3.3422074663391754e-07,1.9545072227344917e-09
1955,3.0127802119750413e-07,4.6928039232341234e-09
1956,2.9739092788361177e-07,4.360570571293465e-09
1957,2.9509026200358335e-07,8.835037701437898e-10
1958,2.4072228282934205e-07,4.136121722897457e-09
1959,2.7437647753814076e-07,1.5501495642666896e-09
1960,2.6368374606011713e-07,2.076250060767393e-09
1961,2.9668640832980486e-07,2.779263708063695e-09
1962,2.3592077491585428e-07,3.170978146727066e-09
1963,2.586421374850545e-07,1.939815863494232e-09
1964,2.482258998348641e-07,5.475571496216247e-09
1965,2.8016862541058174e-07,2.188817349590977e-09
1966,2.902475080279743e-07,4.431259803538978e-09
1967,2.9434104042991294e-07,2.9582012395223956e-09
1968,2.748746443514971e-07,4.940557296606585e-09
1969,2.566093195155439e-07,3.633406214786916e-09
1970,2.3085599709649074e-07,4.5987250119061684e-10
