year,divers_DET yeux_NOUN,divers_DET dieux_NOUN
1800,0.0,0.0
1801,9.524730337773235e-09,1.4287095950749062e-08
1802,2.2378401354217203e-09,4.475680270843441e-09
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,2.2660739951163578e-09,4.5321479902327155e-09
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,2.5070767684098882e-09
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,2.3176038865813098e-09
1817,0.0,0.0
1818,0.0,9.536941680821087e-09
1819,2.070210003424222e-09,0.0
1820,0.0,0.0
1821,0.0,0.0
1822,1.0025615893027862e-09,1.9048670196752937e-08
1823,0.0,9.882686891060644e-10
1824,9.263223965660927e-09,0.0
1825,0.0,1.7610886970942374e-08
1826,0.0,1.145037931138404e-08
1827,0.0,3.6869092223668076e-09
1828,2.7516904310687096e-09,9.172301251858528e-10
1829,0.0,2.5719527840806222e-08
1830,0.0,2.0873671680021744e-09
1831,0.0,4.677361609140007e-09
1832,4.058990921151917e-09,0.0
1833,0.0,1.1583628500844156e-09
1834,0.0,7.467624740797874e-09
1835,0.0,1.5126175867408165e-09
1836,0.0,0.0
1837,0.0,6.957890930081589e-10
1838,0.0,1.8936485712828244e-09
1839,6.9914751765765e-10,1.3982949909063791e-08
1840,0.0,1.9109065441114126e-09
1841,0.0,1.2841097074556274e-09
1842,0.0,0.0
1843,3.5441467538532834e-09,6.497602011990011e-09
1844,1.6465684371524958e-09,1.097712254427563e-09
1845,0.0,1.0602432709561072e-08
1846,0.0,3.5127007969038004e-09
1847,5.393223645455691e-10,8.629157832729106e-09
1848,0.0,1.769948809737798e-08
1849,0.0,9.217356655710773e-09
1850,0.0,1.1541293254424545e-08
1851,0.0,3.8696632564949596e-09
1852,3.906327261660181e-09,1.0416872697760482e-08
1853,1.1943863675867306e-09,5.971931837933653e-10
1854,0.0,3.117398783558656e-09
1855,5.306937111981824e-10,1.0083180512765466e-08
1856,1.0354378465748937e-09,5.177189232874468e-10
1857,9.763018171682347e-10,7.322263795295214e-09
1858,2.936205500958522e-09,1.1744822003834088e-08
1859,0.0,1.7313388944728558e-08
1860,4.119465657481669e-09,1.0069804545764782e-08
1861,4.715963730639317e-10,4.715963730639317e-10
1862,0.0,3.162590411776023e-09
1863,4.994620828036034e-10,1.9978483312144135e-09
1864,0.0,6.712618905169165e-09
1865,0.0,4.23615986733239e-09
1866,0.0,1.3137154475373336e-08
1867,0.0,8.73506067478047e-09
1868,0.0,1.7289560005906424e-08
1869,4.883519144627257e-10,7.325278494896281e-09
1870,0.0,4.587239033071455e-09
1871,0.0,5.3105884134652115e-09
1872,0.0,2.7213027387062994e-08
1873,0.0,2.0352414864532875e-08
1874,0.0,0.0
1875,0.0,6.865832347102696e-09
1876,0.0,1.3905833817773328e-08
1877,0.0,1.2369631985365004e-09
1878,6.039088673581716e-10,6.039088784604019e-09
1879,0.0,7.94212251520321e-09
1880,2.5671385017744797e-09,1.1552122813895949e-08
1881,0.0,8.367009307619355e-09
1882,0.0,3.3276925659464496e-09
1883,0.0,1.516641390253426e-08
1884,5.281357573494461e-09,1.9144920315739e-08
1885,6.445635691854079e-10,8.379326565943757e-09
1886,0.0,1.2261581083805595e-08
