year,moindres_ADJ essais_NOUN
1800,6.288328968651058e-09
1801,4.7623651688866175e-09
1802,6.713520406265161e-09
1803,1.950339267864365e-08
1804,0.0
1805,1.7057265822018053e-08
1806,5.187004603612877e-08
1807,8.540865792383556e-09
1808,0.0
1809,0.0
1810,0.0
1811,1.7549536934780008e-08
1812,5.3344164641089264e-09
1813,2.8757416448144113e-09
1814,9.440030979135372e-09
1815,1.3486118000116676e-08
1816,2.3176038865813098e-09
1817,1.556873407970727e-09
1818,2.384235475716423e-09
1819,1.0351049795076506e-08
1820,7.119888678630559e-09
1821,1.97229765852569e-09
1822,3.0076847679083585e-09
1823,3.9530747564242574e-09
1824,5.052667617633233e-09
1825,3.522177216552791e-09
1826,1.7615968683770689e-09
1827,0.0
1828,9.172301251858528e-10
1829,8.57317605795771e-10
1830,1.0436835840010872e-09
1831,1.091384405071949e-08
1832,2.0294953273491956e-08
1833,1.0425265983826648e-08
1834,2.8003592777992026e-09
1835,5.294161553592858e-09
1836,6.048674894287842e-09
1837,6.957890930081589e-10
1838,5.049729523420865e-09
1839,5.5931801412612e-09
1840,5.095750932326837e-09
1841,6.420548537278137e-09
1842,0.0
1843,3.5441467538532834e-09
1844,3.841992946007622e-09
1845,1.0602432709561072e-08
1846,3.5127007969038004e-09
1847,8.089835468183537e-09
1848,4.02261068899179e-09
1849,7.54147322368226e-09
1850,2.7155984128057753e-09
1851,6.449438760824933e-09
1852,0.0
1853,0.0
1854,5.195664343204953e-09
1855,4.776243400783642e-09
1856,7.765783571755946e-09
1857,3.905207268672939e-09
1858,9.787352039936081e-10
1859,2.036869339860914e-09
1860,3.204028820036342e-09
1861,7.545541969022906e-09
1862,2.2589932147099034e-09
1863,1.748117206545885e-08
1864,8.63051052846231e-09
1865,1.7886009118228685e-08
1866,7.298419202328432e-09
1867,7.76449837758264e-09
1868,1.4819621974027086e-08
1869,1.12320943657096e-08
1870,2.8670243956696595e-09
1871,0.0
1872,5.442605477412599e-09
1873,5.387403856360606e-09
1874,4.182226565063729e-09
1875,8.58229043387837e-09
1876,6.04601479992084e-10
1877,5.566334504436554e-09
1878,8.4547240319921e-09
1879,3.665595160740054e-09
