year,autres_ADJ yeux_NOUN,autres_ADJ dieux_NOUN
1800,3.018398047061055e-07,4.213180417877993e-07
1801,5.738650088460417e-07,6.191074675143682e-07
1802,2.2602185367759375e-07,8.839468534915795e-07
1803,3.8031615190448065e-07,8.483975761919282e-07
1804,4.0291169511874614e-07,1.1939039836761367e-06
1805,3.894742519605643e-07,8.045343520279857e-07
1806,2.507052272449073e-07,8.616190712018579e-07
1807,1.8505208743135881e-07,6.462588260092161e-07
1808,2.4020383193601447e-07,8.565760083456553e-07
1809,1.4457795316502597e-07,6.076792260500952e-07
1810,3.8378078670575633e-07,8.564863662741118e-07
1811,1.5293167621166504e-07,6.693894931686373e-07
1812,1.2802598803318688e-07,6.588004310970064e-07
1813,2.7894694198948855e-07,4.6011867027573317e-07
1814,1.321604372606089e-07,4.3738810973081854e-07
1815,2.454473531088297e-07,4.234641011180429e-07
1816,2.201723674488676e-07,4.310743264568373e-07
1817,5.184388669476903e-07,7.239461297103844e-07
1818,2.8491612624748086e-07,5.257239124034641e-07
1819,3.5711121881831787e-07,6.283087117253672e-07
1820,3.35821425778704e-07,7.784411621969411e-07
1821,3.717780998613307e-07,6.469136195619285e-07
1822,2.7770954602601705e-07,7.749801511636178e-07
1823,2.480554428530013e-07,5.50465660609234e-07
1824,3.4273929827577376e-07,4.909508675154939e-07
1825,2.6944655928673455e-07,7.167630897697563e-07
1826,2.8714029554066656e-07,4.0780967580644756e-07
1827,2.0278000079088088e-07,4.074034762879819e-07
1828,1.990389364436851e-07,5.338279152056202e-07
1829,2.7434163030193304e-07,5.058173861982596e-07
1830,1.847319879288989e-07,4.0912395959935566e-07
1831,1.980083226271745e-07,5.940249465652414e-07
1832,2.9495333819795633e-07,6.088486479427502e-07
1833,2.2703912350152677e-07,7.772614765144681e-07
1834,1.8295681059044e-07,7.140916018499865e-07
1835,2.821031728217349e-07,6.542070991599758e-07
1836,2.130477838591105e-07,5.13465295171045e-07
1837,1.746430626781148e-07,5.364533990359632e-07
1838,2.0072674544735492e-07,4.071344399392274e-07
1839,1.3423633049569617e-07,4.201876535603333e-07
1840,1.3057861281140504e-07,5.216774994210027e-07
1841,1.6308193551139993e-07,5.810596448441174e-07
1842,1.8179397898165917e-07,6.171603814664195e-07
1843,1.9374668625005143e-07,6.893365451787759e-07
1844,1.5807056286121224e-07,4.626857119660599e-07
1845,1.5401428754557855e-07,4.821316839098699e-07
1846,1.5631518124337163e-07,5.614466900283333e-07
1847,1.0301057074002529e-07,5.776142799618356e-07
1848,1.3515972341338056e-07,3.853661141306475e-07
1849,1.349085749779988e-07,3.5109747287265236e-07
1850,1.262753244191117e-07,4.969544988853158e-07
1851,9.158203084780325e-08,4.514607052641395e-07
1852,1.9271215023763943e-07,4.505297432899624e-07
1853,1.7736637403231725e-07,3.8996715545636107e-07
1854,2.1250266968309006e-07,3.704508628743497e-07
1855,1.772517066456203e-07,5.285709363533897e-07
1856,1.8586109717944055e-07,3.427299262170891e-07
1857,1.9867742651058506e-07,4.871746028811685e-07
1858,2.0210882212268189e-07,5.906667013277911e-07
1859,1.6193111207485344e-07,4.2621491047611926e-07
1860,1.6157459015175846e-07,3.661747172145624e-07
1861,1.5185403867690184e-07,5.211139928462671e-07
1862,2.706273676267301e-07,4.1791374627564437e-07
1863,1.7531118601255002e-07,5.56900197068444e-07
1864,2.1911907310823153e-07,4.952953887027434e-07
1865,1.882737734604234e-07,4.749205899656772e-07
1866,1.7078301084438863e-07,4.734241301207476e-07
1867,1.5917221674044413e-07,3.4649073654691165e-07
1868,1.975949572852187e-07,4.6089024863249506e-07
1869,2.0901461539324373e-07,4.5074882137896566e-07
1870,1.4392462333034928e-07,4.7076540354851204e-07
1871,1.5719342627562582e-07,3.504988370650608e-07
1872,1.6388290191571286e-07,4.3782736725006544e-07
1873,1.436641099417102e-07,3.5736447401291116e-07
1874,1.3980584867567813e-07,4.2539216948966896e-07
1875,2.0883574336494348e-07,3.547346718590916e-07
1876,2.15238131318074e-07,4.570787268676213e-07
