year,les_DET âmes_NOUN,les_DET ames_NOUN,les_DET dames_NOUN
1800,2.260654270003215e-06,9.3727544183686e-06,6.307194013288608e-06
1801,1.0834380965718537e-06,1.0943914865890747e-05,7.345947977910328e-06
1802,2.10804543598897e-06,9.41459333603234e-06,7.429629476973787e-06
1803,2.1999826884666618e-06,7.251361406446222e-06,6.356155395792484e-06
1804,1.9107407780438734e-06,1.0737720697262532e-05,8.498223635911017e-06
1805,2.126472580243899e-06,7.772427629282319e-06,8.881150151296424e-06
1806,3.287984441158187e-06,6.636483860233966e-06,1.1405646318962681e-05
1807,1.7565712795430954e-06,9.221287797345212e-06,7.570053469407867e-06
1808,2.4700206182615148e-06,9.170801399172035e-06,8.685861416779517e-06
1809,1.746230537946758e-06,9.006754829954389e-06,8.588833964040532e-06
1810,2.8385738488623247e-06,1.285431617192856e-05,1.2201421370150456e-05
1811,2.747756241205934e-06,6.445694239687327e-06,8.586738090343715e-06
1812,4.691619153618376e-06,5.846520461538773e-06,9.644625052374067e-06
1813,4.333742737117063e-06,5.878016001048536e-06,1.0203131324715287e-05
1814,6.340554563166734e-06,6.007006756902911e-06,1.112979717277085e-05
1815,5.715416790508243e-06,6.01480858186676e-06,8.36409013516004e-06
1816,8.011956538211962e-06,7.439508488360502e-06,7.88448850386203e-06
1817,6.168332305378499e-06,7.335987465162397e-06,9.65261497043457e-06
1818,5.791308097968795e-06,7.680814652522017e-06,8.274489289306075e-06
1819,8.46612340410502e-06,4.41679306217857e-06,8.213558182035285e-06
1820,9.497931841906393e-06,7.771358505159753e-06,9.140750336200654e-06
1821,1.0321033528271073e-05,7.467119041315584e-06,9.054818804088427e-06
1822,8.111725890103116e-06,6.7733062394381705e-06,1.0275253643499127e-05
1823,6.394098349460364e-06,7.259821962812829e-06,1.0925310178322434e-05
1824,6.837101466317108e-06,5.603408302690127e-06,1.0343652988353824e-05
1825,8.307935445373005e-06,6.273878066398453e-06,1.5084604548576408e-05
1826,6.4694642958329496e-06,5.2416313519598745e-06,1.0758952811329436e-05
1827,5.373670234121164e-06,5.338644690766614e-06,8.896511900502446e-06
1828,7.527707424515029e-06,5.575841877658583e-06,1.0448168637822164e-05
1829,5.432821865269943e-06,5.948069716432691e-06,1.392283827783558e-05
1830,6.3048926222109e-06,6.208873529089942e-06,1.103904141075418e-05
1831,5.578533560424148e-06,6.780615677826063e-06,8.818386220355023e-06
1832,5.532404429686721e-06,5.56217023650607e-06,9.798404107641545e-06
1833,6.552858735631162e-06,6.932801867365335e-06,1.0359239254853492e-05
1834,6.7124612996849464e-06,6.377351707165246e-06,9.410140876298101e-06
1835,6.411986134935432e-06,8.089478690465057e-06,1.0434792365288104e-05
1836,8.232247182604624e-06,8.249720887754108e-06,1.0029375623332726e-05
1837,8.333466126941858e-06,4.468357631459696e-06,1.0309506720318495e-05
1838,8.194448696485779e-06,4.241141802641124e-06,1.2044867787608382e-05
1839,8.58343406662243e-06,3.617389163768081e-06,9.124574106067485e-06
1840,1.1971830019774643e-05,2.290540136229424e-06,8.91501611377521e-06
1841,1.2319748520894791e-05,2.8584283064958527e-06,8.092459395925289e-06
1842,1.3415188789167587e-05,3.007986017600217e-06,9.245330829799059e-06
1843,1.4910815991697746e-05,2.3533133464148648e-06,7.59924127891054e-06
1844,1.524283220533107e-05,2.3617279802934377e-06,7.3239359856813735e-06
1845,1.679592833170318e-05,1.6271944369705693e-06,7.0634524149681965e-06
1846,1.613851753745621e-05,1.5807153441738109e-06,7.5880191943156206e-06
1847,1.2582390866100468e-05,1.2808905776040547e-06,6.7647202826037756e-06
1848,1.2601230650943762e-05,2.5438991454462823e-06,8.189231301969357e-06
1849,1.4105907212069724e-05,1.4647217341234864e-06,7.48952109930201e-06
1850,1.3706304400784575e-05,1.6605884765041878e-06,7.0836384864492175e-06
1851,1.4052036760858755e-05,1.2563506874840868e-06,6.588101562954307e-06
1852,1.490654500457822e-05,1.9505593726876214e-06,7.90119788263155e-06
1853,1.6800238427094882e-05,7.793371121778137e-07,8.89280353533195e-06
1854,1.881661836478088e-05,1.4890774249209926e-06,1.1274072363676169e-05
1855,1.821818449343482e-05,9.679853185673437e-07,1.0951926526558964e-05
1856,2.1424243811907218e-05,1.3750614833440977e-06,1.1950505736990635e-05
1857,1.8111375425178267e-05,1.3809788832475078e-06,1.1725384709393438e-05
1858,1.776893708438365e-05,1.3756123671271325e-06,1.1223645756786027e-05
1859,1.9921091165997495e-05,8.514113929436462e-07,9.85488333782314e-06
1860,1.9396731772758358e-05,6.174620885701643e-07,1.1212727372367226e-05
1861,2.0830883158851066e-05,8.512314746411676e-07,9.080588391441324e-06
1862,1.8001012563217955e-05,9.22121015989319e-07,9.982490681181844e-06
1863,1.9833140413538786e-05,9.864376195878322e-07,8.871445444924575e-06
1864,1.9877023646586167e-05,1.5961648980322707e-06,7.845133900730161e-06
1865,1.980169349735661e-05,1.0402125836250775e-06,8.89828942973736e-06
1866,1.9162242551828967e-05,6.816723772118394e-07,8.290517655495933e-06
1867,1.6668922683038545e-05,5.672936751466295e-07,8.17019348176018e-06
1868,1.6361356415472983e-05,8.52622273228576e-07,8.167093788813418e-06
1869,1.877957362239613e-05,4.5758573108400924e-07,8.051946402076737e-06
1870,1.7669471674253145e-05,4.4954941369468315e-07,7.616537054389028e-06
1871,1.4008270738941064e-05,5.151270929815155e-07,7.353041141300309e-06
1872,1.7128484500972263e-05,5.696593570192476e-07,7.631137421526546e-06
1873,1.5090119006799796e-05,6.369108964676684e-07,8.116423487081192e-06
1874,1.3473938736296986e-05,5.490665753171697e-07,9.39447545533767e-06
1875,1.3919903778969456e-05,9.062899053446927e-07,7.63823880589598e-06
1876,1.3484426403920224e-05,5.145158681330031e-07,8.819321777764344e-06
1877,1.2845244668824307e-05,5.219984582360837e-07,7.67350138630718e-06
1878,1.3921307129294291e-05,6.335003934765382e-07,7.615894773493892e-06
1879,1.3888329362998775e-05,5.64501639210846e-07,9.380258092051008e-06
1880,1.2263220867225755e-05,3.902050655923972e-07,7.758534550816876e-06
