year,aurez_VERB eu_VERB,aurez_VERB dû_VERB
1800,1.4148740490327327e-07,3.144164484325529e-09
1801,2.524053570596152e-07,0.0
1802,6.937304419807333e-08,1.1189200677108602e-08
1803,9.361627917314763e-08,9.751696339321825e-09
1804,1.0134588990240445e-07,7.4155526164076946e-09
1805,2.388017321663938e-07,2.842877711017877e-09
1806,2.564685530614952e-07,2.305335300434308e-08
1807,1.0249038240317532e-07,2.2775640928784924e-08
1808,9.064295625194063e-08,2.2660739951163578e-09
1809,9.93973401364201e-08,2.259030518203531e-09
1810,1.3338723192646285e-07,1.1700633351097167e-08
1811,6.016983888912364e-08,1.504245972228091e-08
1812,1.893717893608482e-07,6.401299401659344e-08
1813,5.463909147351842e-08,0.0
1814,1.5733385794192145e-07,3.1466771410748606e-09
1815,1.0788894400093341e-07,0.0
1816,8.57513455798653e-08,2.3176038865813098e-09
1817,1.3856173097792635e-07,1.401186100480345e-08
1818,1.5259107044585107e-07,3.695565098382758e-08
1819,1.604412744882211e-07,3.726378139390363e-08
1820,1.9105034709809843e-07,9.493184904840746e-09
1821,1.4299158124231326e-07,4.930744257336528e-09
1822,2.0151487944986002e-07,7.017931125119503e-09
1823,1.363810753218786e-07,2.9648061783404955e-09
1824,7.494790565942822e-08,1.6000115010683658e-08
1825,7.57268097117958e-08,7.044354433105582e-09
1826,7.48678701256722e-08,7.0463874735082754e-09
1827,1.1429418833586169e-07,9.217273166939322e-09
1828,1.1098484264948638e-07,5.503380862137419e-09
1829,1.0202079181453882e-07,8.57317605795771e-10
1830,8.34946831673733e-08,6.262101504006523e-09
1831,1.153749238369528e-07,2.182768810143898e-08
1832,9.335678896604804e-08,1.3529969367098715e-09
1833,4.749287541017111e-08,4.749287541017111e-08
1834,5.787409307345115e-08,2.42697808516823e-08
1835,7.260564416355919e-08,1.0588323107185715e-08
1836,1.1895727425326186e-07,1.68018754465038e-08
1837,1.4124518088465265e-07,1.3219993100221927e-08
1838,9.405120948713375e-08,7.574594285131298e-09
1839,1.7408773089755414e-07,2.0974426639952526e-09
1840,1.0892167523479657e-07,3.821813088222825e-09
1841,5.521671653241356e-08,7.704658244733764e-09
1842,8.519496930148307e-08,1.341653010911159e-08
1843,1.0396163219184018e-07,1.1223130869097986e-08
1844,8.562155784375136e-08,5.488561161115513e-09
1845,9.374782905524626e-08,6.696273757711424e-09
1846,1.0186832355429942e-07,1.8148954339380907e-08
1847,1.1595430748911895e-07,2.7505439703645607e-08
1848,1.0861049304367043e-07,2.091757700384278e-08
1849,8.882179969305071e-08,1.1731181359664333e-08
1850,1.0726613908218496e-07,9.504594444820214e-09
1851,9.803147094089582e-08,2.3862924081186065e-08
1852,8.203286938623933e-08,7.812654523320361e-09
1853,8.659301187208257e-08,6.569124799682413e-09
1854,9.248282850649048e-08,2.0782657816909023e-09
1855,1.2365163115646283e-07,7.429711956774554e-09
1856,8.490590630572115e-08,7.765783571755946e-09
1857,6.345961622855611e-08,1.3180074809326925e-08
1858,1.3604419280000002e-07,1.761723389392955e-08
1859,9.726051075631403e-08,1.629495471888731e-08
1860,1.3456920555654506e-07,9.612086238064421e-09
1861,1.4760966848825774e-07,1.226150558863992e-08
1862,1.5451513490916113e-07,2.0782737308877586e-08
1863,1.2536497706605587e-07,1.897955925755923e-08
1864,1.0356612278883404e-07,6.13725177345259e-08
1865,1.162590521630591e-07,4.142022902442477e-08
1866,9.293320601955202e-08,4.379051787850585e-09
1867,9.365925990323376e-08,8.73506067478047e-09
1868,1.0818324369665788e-07,1.6301584082611953e-08
1869,1.0548401263577034e-07,4.395167341186834e-09
1870,9.919904186972417e-08,5.734048791339319e-09
1871,8.284518315804235e-08,5.3105884134652115e-09
1872,9.191955996357137e-08,1.3304146229131675e-08
1873,1.472557045190115e-07,8.380406590902112e-09
1874,7.946230340394322e-08,7.169530746864439e-09
1875,1.3788880437459738e-07,6.293679799540541e-09
1876,1.3422152278508293e-07,5.441413541973361e-09
1877,1.1874846705950404e-07,8.040260901509555e-09
1878,6.34104324603868e-08,4.831270938865373e-09
1879,1.3807074594751612e-07,1.8327975581655664e-08
1880,1.01401973040538e-07,1.7328185109022343e-08
1881,8.506459181489845e-08,1.3945014920579979e-08
1882,9.051323957010027e-08,9.317538740560849e-09
1883,8.278333751832179e-08,1.1374810426900694e-08
1884,7.988053596363898e-08,7.922036360241691e-09
1885,6.767917426486747e-08,9.023890079618013e-09
1886,7.873225627008651e-08,5.808117542471791e-09
1887,7.377684596576728e-08,1.1099172247952538e-08
1888,7.481925479169149e-08,9.510921827882157e-09
