year,pouvais_VERB écrire_VERB,pouvais_VERB décrire_VERB
1800,6.288328968651058e-09,0.0
1801,0.0,0.0
1802,2.2378401354217203e-09,0.0
1803,3.900678446910888e-09,0.0
1804,1.4831105232815389e-08,0.0
1805,1.421438877713399e-08,0.0
1806,2.881669125542885e-09,0.0
1807,5.693910232196231e-09,0.0
1808,4.5321479902327155e-09,0.0
1809,4.518061036407062e-09,1.129515236897305e-08
1810,2.3401267590372754e-09,0.0
1811,2.5070768572277302e-08,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,8.091670444798638e-09,0.0
1816,4.8669683394564345e-08,0.0
1817,2.80237220096069e-08,0.0
1818,7.152706427149269e-09,0.0
1819,3.1053151161586356e-09,1.035105001712111e-09
1820,2.3732962262101864e-09,0.0
1821,2.7612166775270452e-08,1.97229765852569e-09
1822,2.3058916553964082e-08,0.0
1823,5.731958552246397e-08,9.882686891060644e-10
1824,3.2842340402794434e-08,0.0
1825,1.3208164340028361e-08,0.0
1826,1.0569580766173203e-08,0.0
1827,1.8434546111834038e-09,0.0
1828,1.1923991571904935e-08,0.0
1829,2.2290258527846163e-08,1.714635211591542e-09
1830,1.0436835395921662e-08,1.0436835840010872e-09
1831,2.6505050598757407e-08,0.0
1832,5.547287429408243e-08,0.0
1833,2.3167256557599103e-08,0.0
1834,1.213489042584115e-08,5.600718555598405e-09
1835,3.554651328840919e-08,0.0
1836,1.2097349788575684e-08,0.0
1837,1.8090515752078318e-08,0.0
1838,1.64116205070286e-08,0.0
1839,8.38977065598101e-09,0.0
1840,3.1848443882154243e-09,0.0
1841,8.988767952189392e-09,1.2841097074556274e-09
1842,6.708265054555795e-09,1.341653010911159e-09
1843,2.2446261738195972e-08,0.0
1844,1.5916826967554698e-08,0.0
1845,1.0044410636567136e-08,1.1160455892778032e-09
1846,1.6978054517835517e-08,5.854501328173001e-10
1847,1.1325769655456952e-08,7.550513103637968e-09
1848,1.206783295515379e-08,8.045221711050488e-10
1849,1.4245005175439474e-08,0.0
1850,2.4440385715251978e-08,0.0
1851,1.2898877521649865e-08,5.8044946626978344e-09
1852,1.3021090872200602e-09,5.208436348880241e-09
1853,8.957897534855874e-09,1.7915795513800958e-09
1854,4.676098175337984e-09,0.0
1855,1.0083180512765466e-08,1.5920811335945473e-09
1856,7.248064815001953e-09,1.2942972915652717e-08
1857,2.3431244500216053e-08,9.763018171682347e-10
1858,2.7893953813418193e-08,0.0
1859,1.782260738991681e-08,0.0
1860,1.2816115280145368e-08,1.373155145145688e-09
1861,2.971057178058345e-08,1.4147891747029462e-09
1862,8.132375661773494e-09,9.035972858839614e-09
1863,7.491931519609807e-09,4.994620717013731e-09
1864,7.671564716815737e-09,4.794727948009836e-10
1865,1.1296426905005319e-08,1.882737743486018e-09
1866,1.3623716377253459e-08,4.865612912574591e-10
1867,1.6014277903764196e-08,0.0
1868,2.9639244392143382e-09,0.0
1869,1.1720445947105418e-08,0.0
1870,1.204150201772336e-08,4.587239033071455e-09
