year,ses_DET eaux_NOUN,ses_DET do_NOUN
1800,7.29131750176748e-06,1.8864987794131594e-08
1801,6.350613830363727e-06,9.524730337773235e-09
1802,9.786074770090636e-06,1.1189200677108602e-08
1803,7.477600348693159e-06,1.3652374342143503e-08
1804,9.55370396127364e-06,2.2246657849223084e-08
1805,6.604005093890919e-06,2.842877711017877e-09
1806,6.0025169261734845e-06,2.0171682990621775e-08
1807,7.222724946132075e-06,1.9928686256776018e-08
1808,6.415255626279759e-06,1.1330369531492579e-08
1809,6.250737442314858e-06,2.25903047379461e-08
1810,6.056247940477988e-06,9.360507036149102e-09
1811,6.232593023014488e-06,4.262030373070047e-08
1812,7.428174882306848e-06,1.600324850414836e-08
1813,6.306501518338337e-06,1.7254450312975678e-08
1814,5.210897285223837e-06,1.8880061958270744e-08
1815,4.34252993386508e-06,2.4275012222574333e-08
1816,5.0037069598829476e-06,1.622322720606917e-08
1817,4.376371066427964e-06,2.0239355080775567e-08
1818,5.666135464821309e-06,2.026600220972341e-08
1819,4.332949657737117e-06,2.070209959015301e-08
1820,5.325676738721086e-06,1.1866481131050932e-08
1821,4.665470214604284e-06,8.875339574387908e-09
1822,5.791798173504503e-06,1.5038423839541792e-08
1823,4.699217583947757e-06,1.7788837070042973e-08
1824,4.559190628583565e-06,5.894778887238772e-09
1825,5.242760593660023e-06,2.3774695989686734e-08
1826,6.053727787502794e-06,1.145037931138404e-08
1827,4.123807855194173e-06,2.027800150017356e-08
1828,4.8539817782966566e-06,2.384798314380987e-08
1829,5.31022510585899e-06,2.0575622983187714e-08
1830,5.133879398044883e-06,1.982998831806526e-08
1831,5.466277002597053e-06,1.4032085715598441e-08
1832,5.0480313689149625e-06,1.7588959622116818e-08
1833,7.221234170629032e-06,5.791814139399776e-09
1834,5.709932622721681e-06,1.9602515166639023e-08
1835,5.971057817077963e-06,1.1344631900556124e-08
1836,5.223366983386768e-06,1.2097349788575684e-08
1837,5.070911015536694e-06,1.87863058442872e-08
1838,5.344507485460781e-06,1.1361890983607736e-08
1839,4.167618499195669e-06,5.5931801412612e-09
1840,4.895742691246596e-06,1.1465439264668476e-08
1841,4.443019719246877e-06,1.0272877659645019e-08
1842,4.607236263609593e-06,1.341653010911159e-08
1843,4.280147635427056e-06,1.2995204023980023e-08
1844,3.849127978128308e-06,1.2623690537338916e-08
1845,4.2560396451563065e-06,1.3950569588416784e-08
1846,4.042533049641861e-06,7.610851504580296e-09
1847,3.7757957898065797e-06,1.5101026207275936e-08
1848,4.015369981402728e-06,8.04522137798358e-09
1849,3.980222174959636e-06,8.379414495607307e-09
1850,3.942370099707659e-06,1.0183494048021657e-08
1851,4.119901419130656e-06,9.029214709244116e-09
1852,4.3275595658087695e-06,1.1067927019325907e-08
1853,4.1289937087185535e-06,2.20961471342207e-08
1854,4.1461400144271465e-06,1.3508727469968562e-08
1855,4.2359970109373535e-06,1.3798036491152743e-08
1856,4.155729655508367e-06,9.836659486950339e-09
1857,4.142448688071454e-06,1.7085282522089074e-08
1858,3.978558709150093e-06,1.1744822003834088e-08
1859,4.140446108635842e-06,1.6804172275897145e-08
1860,3.826067924705967e-06,1.1442959468865865e-08
1861,4.2778507634011476e-06,1.3204698667834691e-08
1862,4.4524755082875345e-06,1.355395884417021e-08
1863,3.770439263917069e-06,1.39849385405455e-08
1864,4.161344378417198e-06,7.671564716815737e-09
1865,3.77018224639869e-06,1.2237795665726026e-08
1866,3.763064995609966e-06,8.271541673821048e-09
1867,3.5808896683420244e-06,1.0190904120577216e-08
1868,3.7473885186045663e-06,7.409810987013543e-09
1869,3.711474647616342e-06,9.767038733343725e-09
1870,3.5453623326020534e-06,1.204150201772336e-08
1871,3.5092370609390855e-06,1.274541272522356e-08
1872,3.4149324648069523e-06,1.269941218851045e-08
1873,3.577834775114752e-06,7.183205141814142e-09
1874,3.416281614931904e-06,7.169530746864439e-09
1875,3.694962131817192e-06,1.3159512590732447e-08
1876,4.102220998447592e-06,8.464420275799966e-09
1877,4.404207629704615e-06,1.2369632429454214e-08
1878,3.4531508958934864e-06,6.039088784604019e-09
1879,3.714469713145263e-06,9.774920428640144e-09
1880,3.897558059406947e-06,9.626769603698904e-09
1881,4.195357604430683e-06,8.367009307619355e-09
1882,3.5526445998357303e-06,9.983077475794744e-09
1883,3.6816469730638346e-06,1.0742875922176154e-08
1884,3.677145201663734e-06,8.582206056928499e-09
1885,3.5670148719191275e-06,9.023890079618013e-09
1886,3.4713181236156743e-06,4.5174246565693466e-09
1887,3.410710263551664e-06,6.528924512139156e-09
1888,3.1373361650821607e-06,1.0779045211961602e-08
1889,3.5454407765200813e-06,5.6386229019267375e-09
1890,3.3938612631345677e-06,5.243509182406569e-09
1891,2.7708734151588033e-06,5.099376032546843e-09
1892,3.497203081792577e-06,5.014809900671935e-09
1893,3.103226063672082e-06,6.15841644346915e-09
1894,3.398420233224897e-06,4.411077725308132e-09
1895,3.113429173140503e-06,6.6204757231957956e-09
1896,3.1112725480397785e-06,6.486732040400511e-09
